reference_symbol,matrix_symbol,entrez_id,n_aliases_in_vocabulary,resolution
Antkmt,Fam173a,214917,1,accepted
Atp5f1a,Atp5a1,11946,1,accepted
Atp5f1b,Atp5b,11947,1,accepted
Atp5f1c,Atp5c1,11949,1,accepted
Atp5f1d,Atp5d,66043,1,accepted
Atp5f1e,Atp5e,67126,1,accepted
Atp5if1,Atpif1,11983,1,accepted
Atp5mc1,Atp5g1,11951,1,accepted
Atp5mc2,Atp5g2,67942,1,accepted
Atp5mc3,Atp5g3,228033,1,accepted
Atp5me,Atp5k,11958,1,accepted
Atp5mf,Atp5j2,57423,1,accepted
Atp5mg,Atp5l,27425,1,accepted
Atp5pd,Atp5h,71679,1,accepted
Atp5pf,Atp5j,11957,1,accepted
Atp5po,Atp5o,28080,1,accepted
Coa8,Apopt1,68020,1,accepted
Ddx39a,Ddx39,68278,1,accepted
Ero1a,Ero1l,50527,1,accepted
Gars1,Gars,353172,1,accepted
Gfus,Tsta3,22122,1,accepted
Hycc2,Fam126b,213056,1,accepted
Irag2,Lrmp,16970,1,accepted
Kars1,Kars,85305,1,accepted
Myo15a,Myo15,17910,1,accepted
Niban1,Fam129a,63913,1,accepted
Nrdc,Nrd1,230598,1,accepted
Pals1,Mpp5,56217,1,accepted
Polr1h,Znrd1,66136,1,accepted
Rigi,Ddx58,230073,1,accepted
Skp1,Skp1a,21402,1,accepted
Srpra,Srpr,67398,1,accepted
Sypl1,Sypl,19027,1,accepted
Wars1,Wars,22375,1,accepted
H2ac25,H2aw,319162,1,flagged_for_review
Ndufb1,Ndufb1-ps,102631912,1,flagged_for_review
Adh7,Adh4,11529,1,rejected_symbol_belongs_to_another_gene
Aldh1a1,Aldh1a2,11668,1,rejected_symbol_belongs_to_another_gene
Aox1,Aox2,11761,1,rejected_symbol_belongs_to_another_gene
Cfb,C2,14962,1,rejected_symbol_belongs_to_another_gene
Fxyd1,Pml,56188,1,rejected_symbol_belongs_to_another_gene
Fzd2,Fzd10,57265,1,rejected_symbol_belongs_to_another_gene
Gck,Gk,103988,1,rejected_symbol_belongs_to_another_gene
Hcn4,Hcn3,330953,1,rejected_symbol_belongs_to_another_gene
Igf2,M6pr,16002,1,rejected_symbol_belongs_to_another_gene
Il4i1b,Il4i1,100328588,1,rejected_symbol_belongs_to_another_gene
Klk1b8,Klk8,16624,1,rejected_symbol_belongs_to_another_gene
Klk1b9,Klk9,13648,1,rejected_symbol_belongs_to_another_gene
Krt1,Krt86,16678,1,rejected_symbol_belongs_to_another_gene
Mal,Mpv17,17153,1,rejected_symbol_belongs_to_another_gene
Ms4a2,Ms4a1,14126,1,rejected_symbol_belongs_to_another_gene
Nkx3-1,Bax,18095,1,rejected_symbol_belongs_to_another_gene
Oas1g,Oas1b,23960,1,rejected_symbol_belongs_to_another_gene
Pak3,Stk4,18481,1,rejected_symbol_belongs_to_another_gene
Pcsk1n,Pan3,30052,1,rejected_symbol_belongs_to_another_gene
Prok2,Prok1,50501,1,rejected_symbol_belongs_to_another_gene
Scn7a,Nav2,20272,1,rejected_symbol_belongs_to_another_gene
Slc18a1,Vat1,110877,1,rejected_symbol_belongs_to_another_gene
Slc6a4,Htt,15567,1,rejected_symbol_belongs_to_another_gene
Smpx,Csl,66106,1,rejected_symbol_belongs_to_another_gene
Sparcl1,Ecm2,13602,1,rejected_symbol_belongs_to_another_gene
Tacr1,Spr,21336,1,rejected_symbol_belongs_to_another_gene
Thsd4,Adamtsl4,207596,1,rejected_symbol_belongs_to_another_gene
