"Package","Version"
"decoupleR","2.16.0"
"logger","0.4.2"
"OmnipathR","3.18.4"
"abind","1.4-8"
"alabaster.base","1.10.0"
"alabaster.matrix","1.10.0"
"alabaster.ranges","1.10.0"
"alabaster.schemas","1.10.0"
"alabaster.se","1.10.0"
"anndataR","1.0.2"
"annotate","1.88.0"
"AnnotationDbi","1.72.0"
"AnnotationFilter","1.34.0"
"AnnotationHub","4.0.0"
"aod","1.3.3"
"ape","5.8-1"
"aplot","0.2.9"
"AsioHeaders","1.30.2-1"
"askpass","1.2.1"
"assertthat","0.2.1"
"assorthead","1.4.0"
"Azimuth","0.5.1"
"babelgene","22.9"
"backports","1.5.1"
"base","4.5.3"
"base64enc","0.1-6"
"basilisk","1.22.0"
"bayesplot","1.15.0"
"bcellViper","1.46.0"
"beachmat","2.26.0"
"beeswarm","0.4.0"
"benchmarkme","1.0.8"
"benchmarkmeData","2.0.0"
"BH","1.90.0-1"
"Biobase","2.70.0"
"BiocBaseUtils","1.12.0"
"BiocFileCache","3.0.0"
"BiocGenerics","0.56.0"
"BiocIO","1.20.0"
"BiocManager","1.30.27"
"BiocNeighbors","2.4.0"
"BiocParallel","1.44.0"
"BiocSingular","1.26.1"
"BiocVersion","3.22.0"
"biomaRt","2.66.2"
"Biostrings","2.78.0"
"bit","4.6.0"
"bit64","4.8.2"
"bitops","1.0-9"
"blme","1.0-7"
"blob","1.3.0"
"bluster","1.20.0"
"boot","1.3-32"
"BPCells","0.3.1"
"brew","1.0-10"
"bridgesampling","1.2-1"
"brio","1.1.5"
"brms","2.23.0"
"Brobdingnag","1.2-9"
"broom","1.0.13"
"broom.mixed","0.2.9.7"
"BSgenome","1.78.0"
"BSgenome.Hsapiens.UCSC.hg38","1.4.5"
"bslib","0.11.0"
"cachem","1.1.0"
"Cairo","1.7-0"
"callr","3.7.6"
"car","3.1-5"
"carData","3.0-6"
"caTools","1.18.3"
"celldex","1.20.0"
"cellranger","1.1.0"
"checkmate","2.3.4"
"cigarillo","1.0.0"
"circlize","0.4.18"
"class","7.3-23"
"cli","3.6.6"
"clipr","0.8.1"
"clue","0.3-68"
"cluster","2.1.8.2"
"clusterProfiler","4.18.4"
"coda","0.19-4.1"
"codetools","0.2-20"
"collections","0.3.12"
"colorspace","2.1-2"
"commonmark","2.0.0"
"compiler","4.5.3"
"ComplexHeatmap","2.26.1"
"conflicted","1.2.0"
"corpcor","1.6.10"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"credentials","2.0.3"
"crescendo","1.0"
"crosstalk","1.2.2"
"curl","7.1.0"
"data.table","1.18.4"
"datasets","4.5.3"
"DBI","1.3.0"
"dbplyr","2.5.2"
"decoupleR","2.16.0"
"DelayedArray","0.36.1"
"DelayedMatrixStats","1.32.0"
"deldir","2.0-4"
"dendextend","1.19.1"
"Deriv","4.2.0"
"desc","1.4.3"
"DescTools","0.99.60"
"DESeq2","1.50.2"
"devtools","2.5.2"
"diffobj","0.3.6"
"digest","0.6.39"
"dir.expiry","1.18.0"
"DirichletMultinomial","1.52.0"
"distributional","0.7.0"
"dittoSeq","1.22.0"
"doBy","4.7.1"
"doParallel","1.0.17"
"dorothea","1.22.0"
"DOSE","4.4.0"
"dotCall64","1.2"
"downlit","0.4.5"
"dplyr","1.2.1"
"dqrng","0.4.1"
"DropletUtils","1.30.0"
"DT","0.34.0"
"dtplyr","1.3.3"
"dynamicTreeCut","1.63-1"
"e1071","1.7-17"
"easy.utils","0.1.0"
"edgeR","4.8.2"
"ellipse","0.5.0"
"ellipsis","0.3.3"
"enrichplot","1.30.5"
"EnsDb.Hsapiens.v86","2.99.0"
"EnsDb.Mmusculus.v79","2.99.0"
"ensembldb","2.34.0"
"EnvStats","3.1.0"
"evaluate","1.0.5"
"Exact","3.3"
"ExperimentHub","3.0.0"
"expm","1.0-0"
"fANCOVA","0.6-1"
"fansi","1.0.7"
"farver","2.1.2"
"fastcluster","1.3.0"
"fastDummies","1.7.5"
"fastmap","1.2.0"
"fastmatch","1.1-8"
"fdrtool","1.2.18"
"fgsea","1.36.2"
"filelock","1.0.3"
"fitdistrplus","1.2-6"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.1"
"foreach","1.5.2"
"forecast","9.0.2"
"foreign","0.8-91"
"formatR","1.14"
"Formula","1.2-5"
"fracdiff","1.5-4"
"fs","2.1.0"
"furrr","0.4.0"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.70.0"
"future.apply","1.20.2"
"gargle","1.6.1"
"gdtools","0.5.0"
"GeneNMF","0.9.4"
"generics","0.1.4"
"GenomeInfoDb","1.46.2"
"GenomicAlignments","1.46.0"
"GenomicFeatures","1.62.0"
"GenomicRanges","1.62.1"
"gert","2.3.1"
"GetoptLong","1.1.1"
"ggbeeswarm","0.7.3"
"ggforce","0.5.0"
"ggfun","0.2.0"
"ggiraph","0.9.6"
"ggnewscale","0.5.2"
"ggplot2","4.0.3"
"ggplotify","0.1.3"
"ggpubr","0.6.3"
"ggrastr","1.0.2"
"ggrepel","0.9.8"
"ggridges","0.5.7"
"ggsci","5.0.0"
"ggsignif","0.6.4"
"ggtangle","0.1.1"
"ggtree","4.0.5"
"gh","1.6.0"
"gitcreds","0.1.2"
"gld","2.6.8"
"glmGamPoi","1.22.0"
"glmmTMB","1.1.14"
"glmnet","4.1-10"
"GlobalOptions","0.1.4"
"globals","0.19.1"
"glue","1.8.1"
"GO.db","3.22.0"
"goftest","1.2-3"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"GOSemSim","2.36.0"
"gplots","3.3.0"
"graph","1.88.1"
"graphics","4.5.3"
"grDevices","4.5.3"
"grid","4.5.3"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"GSEABase","1.72.0"
"gsignal","0.3-7"
"gson","0.1.0"
"GSVA","2.4.9"
"gtable","0.3.6"
"gtools","3.9.5"
"gypsum","1.6.0"
"h5mread","1.2.1"
"harmony","1.2.4"
"haven","2.5.5"
"HDF5Array","1.38.0"
"hdf5r","1.3.12"
"hdf5r.Extra","0.1.0"
"here","1.0.2"
"hexbin","1.28.5"
"HighFive","3.3.0"
"highr","0.12"
"Hmisc","5.2-5"
"hms","1.1.4"
