"library_id","lib","cgas_value","inferred_genotype","inferred_temp","inferred_group"
"12630-RS-021","021",3.63209719829936,"WT","37","WT_37"
"12630-RS-022","022",3.58576617656241,"WT","37","WT_37"
"12630-RS-023","023",3.61473277866208,"WT","37","WT_37"
"12630-RS-024","024",3.65038667400296,"WT","37","WT_37"
"12630-RS-025","025",3.55420012498988,"WT","37","WT_37"
"12630-RS-026","026",2.53360453270794,"cGASKO","37","cGASKO_37"
"12630-RS-027","027",2.59463752096293,"cGASKO","37","cGASKO_37"
"12630-RS-028","028",2.6604006299294,"cGASKO","37","cGASKO_37"
"12630-RS-029","029",2.580995139578,"cGASKO","37","cGASKO_37"
"12630-RS-030","030",2.55499691556796,"cGASKO","37","cGASKO_37"
"12630-RS-031","031",4.00688472685425,"WT","39","WT_39"
"12630-RS-032","032",4.01825415268397,"WT","39","WT_39"
"12630-RS-033","033",4.08497738290815,"WT","39","WT_39"
"12630-RS-034","034",4.21149161595001,"WT","39","WT_39"
"12630-RS-035","035",4.17237291783255,"WT","39","WT_39"
"12630-RS-036","036",2.74772717501489,"cGASKO","39","cGASKO_39"
"12630-RS-037","037",2.83938705663555,"cGASKO","39","cGASKO_39"
"12630-RS-038","038",3.02602879149028,"cGASKO","39","cGASKO_39"
"12630-RS-039","039",2.92262556405188,"cGASKO","39","cGASKO_39"
"12630-RS-040","040",2.77802223230801,"cGASKO","39","cGASKO_39"
