"PC","pct_var","n_genes","n_zerovar_dropped","pc1_pct_var_top2000","pc1_cor_vs_top2000"
"PC1",57.3482156247455,19657,22,78.9071477308796,0.999954414922422
"PC2",4.44935035455271,19657,22,78.9071477308796,0.999954414922422
"PC3",3.52580366311434,19657,22,78.9071477308796,0.999954414922422
"PC4",3.25737932020444,19657,22,78.9071477308796,0.999954414922422
"PC5",2.89998479554668,19657,22,78.9071477308796,0.999954414922422
"PC6",2.59324036737434,19657,22,78.9071477308796,0.999954414922422
"PC7",2.57585364697964,19657,22,78.9071477308796,0.999954414922422
"PC8",2.35889389389586,19657,22,78.9071477308796,0.999954414922422
"PC9",2.19902696155421,19657,22,78.9071477308796,0.999954414922422
"PC10",2.13297013652923,19657,22,78.9071477308796,0.999954414922422
"PC11",2.06137993312311,19657,22,78.9071477308796,0.999954414922422
"PC12",2.03374926232157,19657,22,78.9071477308796,0.999954414922422
"PC13",1.99822111738458,19657,22,78.9071477308796,0.999954414922422
"PC14",1.89638046654669,19657,22,78.9071477308796,0.999954414922422
"PC15",1.87576552508828,19657,22,78.9071477308796,0.999954414922422
"PC16",1.80839459432815,19657,22,78.9071477308796,0.999954414922422
"PC17",1.75774874005058,19657,22,78.9071477308796,0.999954414922422
"PC18",1.63747973328143,19657,22,78.9071477308796,0.999954414922422
"PC19",1.59016186337864,19657,22,78.9071477308796,0.999954414922422
"PC20",1.88802230455243e-28,19657,22,78.9071477308796,0.999954414922422
