ensembl,gene_symbol,logFC_WT_heat,adjP_WT_heat,sig_WT_heat,logFC_KO_heat,adjP_KO_heat,sig_KO_heat,logFC_Interaction,adjP_Interaction,sig_Interaction,logFC_Temp_main,adjP_Temp_main,sig_Temp_main,heat_responsive,cgas_dependent,wt_minus_ko,interaction_rank
ENSMUSG00000064215.13,Ifi27,0.582784383,1.34920964e-8,TRUE,-0.237013687,0.00265731081,TRUE,0.81979807,1.33747159e-5,TRUE,0.172885348,0.00143616668,TRUE,TRUE,TRUE,0.81979807,1
ENSMUSG00000027580.17,Helz2,0.139802565,0.00673534438,TRUE,-0.306770003,4.00534042e-7,TRUE,0.446572568,1.96747816e-4,TRUE,-0.0834837189,0.0162970096,TRUE,TRUE,TRUE,0.446572568,2
ENSMUSG00000025498.15,Irf7,0.0924178961,0.52156737500000006,FALSE,-0.99400174,6.39649453e-9,TRUE,1.08641964,3.93746858e-4,TRUE,-0.450791922,7.07748949e-6,TRUE,TRUE,TRUE,1.08641964,3
ENSMUSG00000057596.13,Trim30d,0.00925004718,0.956235428,FALSE,-1.02180476,2.000769e-9,TRUE,1.03105481,3.98395988e-4,TRUE,-0.506277356,6.02077901e-7,TRUE,TRUE,TRUE,1.03105481,4
ENSMUSG00000029561.17,Oasl2,-0.102763435,0.567685714,FALSE,-1.39538439,5.50654508e-10,TRUE,1.29262096,4.76484744e-4,TRUE,-0.749073915,4.61097985e-8,TRUE,TRUE,TRUE,1.29262096,5
ENSMUSG00000037849.8,Ifi206,-0.200501852,0.246553847,FALSE,-1.49586556,2.35156171e-10,TRUE,1.29536371,6.45081503e-4,TRUE,-0.848183707,7.44091335e-9,TRUE,TRUE,TRUE,1.29536371,6
ENSMUSG00000033355.6,Rtp4,-0.20404958,0.321558049,FALSE,-1.74207791,1.14828829e-9,TRUE,1.53802833,8.88331459e-4,TRUE,-0.973063744,3.15609063e-8,TRUE,TRUE,TRUE,1.53802833,7
ENSMUSG00000066677.12,Ifi208,-0.560637783,8.70251763e-4,TRUE,-1.70626846,9.74786276e-12,TRUE,1.14563068,0.00265755315,TRUE,-1.13345312,1.0891559e-11,TRUE,TRUE,TRUE,1.14563068,8
ENSMUSG00000040483.15,Xaf1,-0.431745938,0.00529452687,TRUE,-1.52574058,2.0893459e-10,TRUE,1.09399464,0.0031160991,TRUE,-0.978743259,4.3635395e-10,TRUE,TRUE,TRUE,1.09399464,9
ENSMUSG00000034459.8,Ifit1,0.496594484,0.001050019,TRUE,-0.510561814,7.61570388e-4,TRUE,1.0071563,0.00327810716,TRUE,-0.00698366507,0.953824393,FALSE,TRUE,TRUE,1.0071563,10
ENSMUSG00000000386.16,Mx1,0.756314805,2.62727249e-5,TRUE,-0.333136454,0.0425869909,TRUE,1.08945126,0.00520624316,TRUE,0.211589176,0.0571840327,FALSE,TRUE,TRUE,1.08945126,11
ENSMUSG00000047735.14,Samd9l,-1.02976478,3.24402928e-10,TRUE,-1.75246667,1.37109181e-14,TRUE,0.722701889,0.00680724228,TRUE,-1.39111573,2.23310724e-16,TRUE,TRUE,TRUE,0.722701889,12
ENSMUSG00000024079.4,Eif2ak2,-0.083272798,0.223405125,FALSE,-0.507212996,6.1342064e-9,TRUE,0.423940198,0.00762717084,TRUE,-0.295242897,9.96377853e-8,TRUE,TRUE,TRUE,0.423940198,13
ENSMUSG00000026222.16,Sp100,-0.46333785,5.63419233e-12,TRUE,-0.736437706,3.06083646e-16,TRUE,0.273099856,0.00762717084,TRUE,-0.599887778,1.9423977799999998e-18,TRUE,TRUE,TRUE,0.273099856,14
ENSMUSG00000033880.11,Lgals3bp,0.0431343416,0.694687406,FALSE,-0.55669026,2.29495924e-6,TRUE,0.599824601,0.0180002168,TRUE,-0.256777959,3.06885376e-4,TRUE,TRUE,TRUE,0.599824601,15
ENSMUSG00000057143.15,Trim12c,-0.134126289,0.00810521588,TRUE,-0.434058933,4.92287675e-10,TRUE,0.299932645,0.0180002168,TRUE,-0.284092611,8.66262342e-10,TRUE,TRUE,TRUE,0.299932645,16
ENSMUSG00000070327.14,Rnf213,-0.18401395,0.159158114,FALSE,-1.00970761,1.67388785e-7,TRUE,0.825693663,0.0252948738,TRUE,-0.596860781,9.12896009e-7,TRUE,TRUE,TRUE,0.825693663,17
ENSMUSG00000001123.15,Lgals9,-0.542248265,4.10013946e-11,TRUE,-0.860431023,2.8067113200000004e-15,TRUE,0.318182759,0.026293037,TRUE,-0.701339644,1.9408451199999998e-17,TRUE,TRUE,TRUE,0.318182759,18
ENSMUSG00000023341.15,Mx2,0.375452553,0.0238858586,TRUE,-0.564859544,9.35607839e-4,TRUE,0.940312097,0.0307560701,TRUE,-0.094703495100000007,0.419254111,FALSE,TRUE,TRUE,0.940312097,19
ENSMUSG00000056144.14,Trim34a,-0.14333921,0.110458284,FALSE,-0.636380643,1.69872603e-8,TRUE,0.493041433,0.0389906852,TRUE,-0.389859927,1.13429069e-7,TRUE,TRUE,TRUE,0.493041433,20
ENSMUSG00000040296.15,Ddx58,-0.597048251,1.55544299e-5,TRUE,-1.27979169,2.99167032e-11,TRUE,0.682743437,0.0430540129,TRUE,-0.938419969,4.57030116e-12,TRUE,TRUE,TRUE,0.682743437,21
ENSMUSG00000017830.15,Dhx58,0.408949538,2.16258335e-4,TRUE,-0.158723246,0.133312073,FALSE,0.567672784,0.048742511,TRUE,0.125113146,0.0779572946,FALSE,TRUE,TRUE,0.567672784,22
ENSMUSG00000030921.17,Trim30a,-0.0914173068,0.371939951,FALSE,-0.648189206,5.85720655e-7,TRUE,0.556771899,0.048742511,TRUE,-0.369803256,6.03904161e-6,TRUE,TRUE,TRUE,0.556771899,23
ENSMUSG00000030107.10,Usp18,0.167965147,0.300277145,FALSE,-0.658901123,7.2534392e-5,TRUE,0.82686627,0.0553715844,FALSE,-0.245467988,0.0198051248,TRUE,TRUE,FALSE,0.82686627,NA
