"gene_symbol","ensembl","logFC_Temp_main","adjP_Temp_main","logFC_Interaction","adjP_Interaction","heat_responsive","cgas_dependent","interaction_rank"
"Ifi27","ENSMUSG00000064215.13",0.172885348,0.00143616668,0.81979807,1.33747159e-05,TRUE,TRUE,1
"Helz2","ENSMUSG00000027580.17",-0.0834837189,0.0162970096,0.446572568,0.000196747816,TRUE,TRUE,2
"Irf7","ENSMUSG00000025498.15",-0.450791922,7.07748949e-06,1.08641964,0.000393746858,TRUE,TRUE,3
"Trim30d","ENSMUSG00000057596.13",-0.506277356,6.02077901e-07,1.03105481,0.000398395988,TRUE,TRUE,4
"Oasl2","ENSMUSG00000029561.17",-0.749073915,4.61097985e-08,1.29262096,0.000476484744,TRUE,TRUE,5
"Ifi206","ENSMUSG00000037849.8",-0.848183707,7.44091335e-09,1.29536371,0.000645081503,TRUE,TRUE,6
"Rtp4","ENSMUSG00000033355.6",-0.973063744,3.15609063e-08,1.53802833,0.000888331459,TRUE,TRUE,7
"Ifi208","ENSMUSG00000066677.12",-1.13345312,1.0891559e-11,1.14563068,0.00265755315,TRUE,TRUE,8
"Xaf1","ENSMUSG00000040483.15",-0.978743259,4.3635395e-10,1.09399464,0.0031160991,TRUE,TRUE,9
"Ifit1","ENSMUSG00000034459.8",-0.00698366507,0.953824393,1.0071563,0.00327810716,TRUE,TRUE,10
"Mx1","ENSMUSG00000000386.16",0.211589176,0.0571840327,1.08945126,0.00520624316,TRUE,TRUE,11
"Samd9l","ENSMUSG00000047735.14",-1.39111573,2.23310724e-16,0.722701889,0.00680724228,TRUE,TRUE,12
"Eif2ak2","ENSMUSG00000024079.4",-0.295242897,9.96377853e-08,0.423940198,0.00762717084,TRUE,TRUE,13
"Sp100","ENSMUSG00000026222.16",-0.599887778,1.94239778e-18,0.273099856,0.00762717084,TRUE,TRUE,14
"Lgals3bp","ENSMUSG00000033880.11",-0.256777959,0.000306885376,0.599824601,0.0180002168,TRUE,TRUE,15
"Trim12c","ENSMUSG00000057143.15",-0.284092611,8.66262342e-10,0.299932645,0.0180002168,TRUE,TRUE,16
"Rnf213","ENSMUSG00000070327.14",-0.596860781,9.12896009e-07,0.825693663,0.0252948738,TRUE,TRUE,17
"Lgals9","ENSMUSG00000001123.15",-0.701339644,1.94084512e-17,0.318182759,0.026293037,TRUE,TRUE,18
"Mx2","ENSMUSG00000023341.15",-0.0947034951,0.419254111,0.940312097,0.0307560701,TRUE,TRUE,19
"Trim34a","ENSMUSG00000056144.14",-0.389859927,1.13429069e-07,0.493041433,0.0389906852,TRUE,TRUE,20
"Ddx58","ENSMUSG00000040296.15",-0.938419969,4.57030116e-12,0.682743437,0.0430540129,TRUE,TRUE,21
"Dhx58","ENSMUSG00000017830.15",0.125113146,0.0779572946,0.567672784,0.048742511,TRUE,TRUE,22
"Trim30a","ENSMUSG00000030921.17",-0.369803256,6.03904161e-06,0.556771899,0.048742511,TRUE,TRUE,23
"Usp18","ENSMUSG00000030107.10",-0.245467988,0.0198051248,0.82686627,0.0553715844,TRUE,FALSE,NA
"Isg15","ENSMUSG00000035692.7",0.114178623,0.336341713,0.884315486,0.074818007,TRUE,FALSE,NA
"Cbx3-ps6","ENSMUSG00000057886.5",-0.232826006,0.0356287729,-0.832231296,0.0930885849,TRUE,FALSE,NA
"Ifi27l2a","ENSMUSG00000079017.3",0.450030561,4.41053811e-05,0.698685656,0.144091385,TRUE,FALSE,NA
"Gm7887","ENSMUSG00000044211.9",0.194553652,1.87188283e-06,-0.245735258,0.211435348,TRUE,FALSE,NA
"Wdfy1","ENSMUSG00000073643.11",0.080087209,0.0736523177,0.304533955,0.263066529,TRUE,FALSE,NA
"Stat2","ENSMUSG00000040033.16",-0.567736259,2.76134067e-15,0.253425263,0.312710446,TRUE,FALSE,NA
"Trim25","ENSMUSG00000000275.16",0.00134718663,0.965868,0.169635001,0.312710446,TRUE,FALSE,NA
"Cbx3-ps7","ENSMUSG00000059647.5",-0.170647247,0.00858839625,-0.425471403,0.32038531,TRUE,FALSE,NA
"Gm12786","ENSMUSG00000085581.1",-0.127495879,0.102353249,-0.512395652,0.330262085,TRUE,FALSE,NA
"Gm37569","ENSMUSG00000102556.1",0.362080425,0.000137355801,-0.582087953,0.33407694,TRUE,FALSE,NA
"Slfn5","ENSMUSG00000054404.13",-0.879919658,1.34028612e-12,0.503762761,0.357841186,TRUE,FALSE,NA
"Oas2","ENSMUSG00000032690.16",0.105585608,0.314039281,0.657781019,0.379174547,TRUE,FALSE,NA
"Oas3","ENSMUSG00000032661.9",0.837717846,4.14076978e-06,0.950068366,0.38382056,TRUE,FALSE,NA
"Slfn1","ENSMUSG00000078763.2",-0.278086073,0.001238725,0.531614131,0.38382056,TRUE,FALSE,NA
"Bax","ENSMUSG00000003873.11",-0.0253818404,0.44581269,-0.20176133,0.400016029,TRUE,FALSE,NA
"Gm9392","ENSMUSG00000087298.3",-0.0884843832,0.0126730271,-0.22305037,0.400016029,TRUE,FALSE,NA
"Ifi203","ENSMUSG00000039997.16",-1.08834547,2.11522692e-13,0.385738668,0.400016029,TRUE,FALSE,NA
"Ifit3","ENSMUSG00000074896.3",-0.790041844,2.31240496e-07,0.793295817,0.423739852,TRUE,FALSE,NA
"Rps2-ps10","ENSMUSG00000091957.3",-0.135983623,0.000665997848,-0.239201686,0.423739852,TRUE,FALSE,NA
"Pde8b","ENSMUSG00000021684.17",-0.244163196,0.00261243663,0.491556596,0.45107861,TRUE,FALSE,NA
"Ifi214","ENSMUSG00000070501.14",-0.896028522,3.39584106e-08,0.799184643,0.456069301,TRUE,FALSE,NA
"Oasl1","ENSMUSG00000041827.15",0.136603448,0.0595512185,0.447441566,0.456069301,TRUE,FALSE,NA
"Oas1a","ENSMUSG00000052776.10",0.116103823,0.20576041,0.552594413,0.486221187,TRUE,FALSE,NA
"Rpl13-ps6","ENSMUSG00000059776.7",0.10040853,0.272538649,-0.54765853,0.486221187,TRUE,FALSE,NA
"2900041M22Rik","ENSMUSG00000054418.6",0.159423352,0.0605009125,0.505830985,0.533927464,TRUE,FALSE,NA
"Gm10257","ENSMUSG00000114759.1",-0.319314876,2.3801832e-07,-0.308243999,0.533927464,TRUE,FALSE,NA
"Gm12430","ENSMUSG00000081152.1",0.125426832,0.0319399587,-0.351349388,0.533927464,TRUE,FALSE,NA
"Gm7666","ENSMUSG00000067547.6",-0.267735046,3.27421036e-06,-0.291216537,0.533927464,TRUE,FALSE,NA
