"gene_symbol","ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","contrast"
"Cgas","ENSMUSG00000032344.17",1.236038,3.28847947,20.1717122,7.9616633e-19,1.56677572e-14,"Geno_at_39"
"Ifi27","ENSMUSG00000064215.13",0.992926687,5.11836604,15.8847716,3.01810174e-15,2.96966121e-11,"Geno_at_39"
"Ifit1","ENSMUSG00000034459.8",1.68951473,0.415313199,14.1329802,1.10809143e-14,7.2687104e-11,"Geno_at_39"
"Irf7","ENSMUSG00000025498.15",1.48121668,1.96495256,13.8394013,1.90412417e-14,9.36781486e-11,"Geno_at_39"
"5830416I19Rik","ENSMUSG00000106219.1",1.6094815,0.316741469,13.6876803,2.52732668e-14,9.94705233e-11,"Geno_at_39"
"Helz2","ENSMUSG00000027580.17",0.523287594,6.32792908,12.5849871,2.12560967e-13,6.97164546e-10,"Geno_at_39"
"Oasl2","ENSMUSG00000029561.17",1.57471623,1.3023181,11.9144007,8.28036737e-13,2.32784785e-09,"Geno_at_39"
"Isg15","ENSMUSG00000035692.7",1.49989826,0.675632447,10.8201515,8.52676885e-12,1.86442538e-08,"Geno_at_39"
"Rell1","ENSMUSG00000047881.14",0.598190083,3.88965963,10.8510603,7.96728631e-12,1.86442538e-08,"Geno_at_39"
"Ifi206","ENSMUSG00000037849.8",1.45241773,1.24764544,10.6808556,1.1594609e-11,2.28170311e-08,"Geno_at_39"
"Ifi208","ENSMUSG00000066677.12",1.39643362,0.996970835,10.5388936,1.58989758e-11,2.84432677e-08,"Geno_at_39"
"Mx1","ENSMUSG00000000386.16",1.37534419,0.252481613,10.277675,2.86126961e-11,4.69224372e-08,"Geno_at_39"
"Trim30d","ENSMUSG00000057596.13",1.04985378,2.81280405,10.2183416,3.84493347e-11,5.40460327e-08,"Geno_at_39"
"Trim12c","ENSMUSG00000057143.15",0.416130664,5.21816241,10.1752968,3.6108133e-11,5.40460327e-08,"Geno_at_39"
"Rtp4","ENSMUSG00000033355.6",1.71577229,1.43571706,10.7907762,5.0371513e-11,6.60840669e-08,"Geno_at_39"
"Samd9l","ENSMUSG00000047735.14",0.893633317,3.84848685,10.1330294,1.56745134e-10,1.92786718e-07,"Geno_at_39"
