"gene_symbol","ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","contrast"
"Ifi27","ENSMUSG00000064215.13",0.81979807,5.11836604,9.2737564,6.79644085e-10,1.33747159e-05,"Interaction"
"Helz2","ENSMUSG00000027580.17",0.446572568,6.32792908,7.59432853,1.99957128e-08,0.000196747816,"Interaction"
"Irf7","ENSMUSG00000025498.15",1.08641964,1.96495256,7.17763411,6.0025437e-08,0.000393746858,"Interaction"
"Trim30d","ENSMUSG00000057596.13",1.03105481,2.81280405,7.09607754,8.0978909e-08,0.000398395988,"Interaction"
"Oasl2","ENSMUSG00000029561.17",1.29262096,1.3023181,6.91553996,1.21064267e-07,0.000476484744,"Interaction"
"Ifi206","ENSMUSG00000037849.8",1.29536371,1.24764544,6.73583177,1.96681184e-07,0.000645081503,"Interaction"
"Rtp4","ENSMUSG00000033355.6",1.53802833,1.43571706,6.83978377,3.15987612e-07,0.000888331459,"Interaction"
"Ifi208","ENSMUSG00000066677.12",1.14563068,0.996970835,6.11370339,1.08036105e-06,0.00265755315,"Interaction"
"Xaf1","ENSMUSG00000040483.15",1.09399464,2.86632137,6.35777412,1.42511773e-06,0.0031160991,"Interaction"
"Ifit1","ENSMUSG00000034459.8",1.0071563,0.415313199,5.95735721,1.6657895e-06,0.00327810716,"Interaction"
"Mx1","ENSMUSG00000000386.16",1.08945126,0.252481613,5.75673573,2.91014151e-06,0.00520624316,"Interaction"
"Samd9l","ENSMUSG00000047735.14",0.722701889,3.84848685,5.79460909,4.15096841e-06,0.00680724228,"Interaction"
"Eif2ak2","ENSMUSG00000024079.4",0.423940198,5.52471814,5.56323172,5.42610863e-06,0.00762717084,"Interaction"
"Sp100","ENSMUSG00000026222.16",0.273099856,7.15706725,5.55781666,5.0704771e-06,0.00762717084,"Interaction"
"Lgals3bp","ENSMUSG00000033880.11",0.599824601,4.7830016,5.46452441,1.46350662e-05,0.0180002168,"Interaction"
"Trim12c","ENSMUSG00000057143.15",0.299932645,5.21816241,5.1859235,1.43683294e-05,0.0180002168,"Interaction"
"Rnf213","ENSMUSG00000070327.14",0.825693663,5.15950369,5.71983825,2.1851357e-05,0.0252948738,"Interaction"
"Lgals9","ENSMUSG00000001123.15",0.318182759,5.61263214,5.00224061,2.40497314e-05,0.026293037,"Interaction"
"Mx2","ENSMUSG00000023341.15",0.940312097,1.1444422,4.92702776,2.96948692e-05,0.0307560701,"Interaction"
"Trim34a","ENSMUSG00000056144.14",0.493041433,3.55362799,4.82404342,3.96266936e-05,0.0389906852,"Interaction"
"Ddx58","ENSMUSG00000040296.15",0.682743437,3.2364048,4.84380087,4.59441167e-05,0.0430540129,"Interaction"
"Dhx58","ENSMUSG00000017830.15",0.567672784,3.08158754,4.70720813,5.49517191e-05,0.048742511,"Interaction"
"Trim30a","ENSMUSG00000030921.17",0.556771899,5.38903517,5.06163116,5.69682277e-05,0.048742511,"Interaction"
"Usp18","ENSMUSG00000030107.10",0.82686627,1.62427597,4.63345154,6.75297538e-05,0.0553715844,"Interaction"
"Isg15","ENSMUSG00000035692.7",0.884315486,0.675632447,4.51090593,9.50480297e-05,0.074818007,"Interaction"
"Cbx3-ps6","ENSMUSG00000057886.5",-0.832231296,0.654270652,-4.41827851,0.000122989136,0.0930885849,"Interaction"
"Ifi27l2a","ENSMUSG00000079017.3",0.698685656,5.54915277,4.7228831,0.000197696397,0.144091385,"Interaction"
"Gm7887","ENSMUSG00000044211.9",-0.245735258,4.89632383,-4.09462695,0.000300837936,0.211435348,"Interaction"
"Wdfy1","ENSMUSG00000073643.11",0.304533955,4.20084427,4.00208372,0.000387668547,0.263066529,"Interaction"
"Stat2","ENSMUSG00000040033.16",0.253425263,6.26184898,3.91425489,0.000492607542,0.312710446,"Interaction"
"Trim25","ENSMUSG00000000275.16",0.169635001,6.59911236,3.92174395,0.000482668523,0.312710446,"Interaction"
"Cbx3-ps7","ENSMUSG00000059647.5",-0.425471403,3.31842803,-3.8936646,0.000520978197,0.32038531,"Interaction"
"Gm12786","ENSMUSG00000085581.1",-0.512395652,-0.408707946,-3.87115693,0.000553821271,0.330262085,"Interaction"
"Gm37569","ENSMUSG00000102556.1",-0.582087953,-0.278104239,-3.85592068,0.000577194774,0.33407694,"Interaction"
"Slfn5","ENSMUSG00000054404.13",0.503762761,3.1442341,3.82114428,0.000636436887,0.357841186,"Interaction"
"Oas2","ENSMUSG00000032690.16",0.657781019,-0.205922023,3.78800958,0.000693647222,0.379174547,"Interaction"
"Oas3","ENSMUSG00000032661.9",0.950068366,2.60192756,4.02345648,0.000721890275,0.38382056,"Interaction"
"Slfn1","ENSMUSG00000078763.2",0.531614131,3.95962975,3.89384603,0.000741154596,0.38382056,"Interaction"
"Ifi203","ENSMUSG00000039997.16",0.385738668,7.17787893,3.97687256,0.000833409075,0.400016029,"Interaction"
"Gm9392","ENSMUSG00000087298.3",-0.22305037,5.28544521,-3.72036386,0.000832332046,0.400016029,"Interaction"
"Bax","ENSMUSG00000003873.11",-0.20176133,6.14793601,-3.73645535,0.000797074961,0.400016029,"Interaction"
"Ifit3","ENSMUSG00000074896.3",0.793295817,0.350058146,3.68067928,0.000925901399,0.423739852,"Interaction"
"Rps2-ps10","ENSMUSG00000091957.3",-0.239201686,7.72898964,-3.73256735,0.000916689103,0.423739852,"Interaction"
