"gene_symbol","ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","contrast"
"Gja5","ENSMUSG00000057123.14",1.75090571,4.75423573,40.1882009,2.39298376e-27,4.70915275e-23,"Temp_main"
"Rbm3","ENSMUSG00000031167.16",-1.03134431,7.17539717,-36.6283977,3.51876213e-26,3.462286e-22,"Temp_main"
"Galm","ENSMUSG00000035473.10",0.993845075,5.36387702,35.9387283,6.09703287e-26,3.99945033e-22,"Temp_main"
"Timp1","ENSMUSG00000001131.11",2.11708407,2.66864123,34.9667956,1.34616994e-25,6.62281957e-22,"Temp_main"
"Sgk3","ENSMUSG00000025915.14",-1.04584108,4.54435272,-32.5874745,1.02619577e-24,4.03890131e-21,"Temp_main"
"Sdc1","ENSMUSG00000020592.14",1.47033227,3.40988543,31.8805472,1.92807265e-24,5.82092847e-21,"Temp_main"
"Cirbp","ENSMUSG00000045193.13",-1.0392828,5.87533316,-31.8015475,2.07055741e-24,5.82092847e-21,"Temp_main"
"Serpinb6a","ENSMUSG00000060147.15",0.867897649,6.42971479,31.2141503,3.53689558e-24,8.70032103e-21,"Temp_main"
"Hsph1","ENSMUSG00000029657.15",1.07533718,7.38336961,33.8255082,6.65028888e-24,1.45412261e-20,"Temp_main"
"Plek2","ENSMUSG00000021118.7",2.02168995,1.77815404,30.0872215,1.01514045e-23,1.87603703e-20,"Temp_main"
"Rbm3-ps","ENSMUSG00000099875.1",-1.21012208,6.82378532,-34.9722011,1.04865122e-23,1.87603703e-20,"Temp_main"
"Cd40","ENSMUSG00000017652.16",-1.27598035,4.48298757,-29.2488659,2.27900506e-23,3.73737838e-20,"Temp_main"
"Slco4a1","ENSMUSG00000038963.15",0.875204506,5.22422456,28.6525023,4.10549631e-23,6.214774e-20,"Temp_main"
"Gm10156","ENSMUSG00000066245.5",-1.15541852,4.97639496,-28.3496938,5.55988247e-23,7.81520908e-20,"Temp_main"
"Abca1","ENSMUSG00000015243.4",-0.82410371,5.61469483,-28.2369086,6.22951595e-23,8.17270963e-20,"Temp_main"
"Gramd1b","ENSMUSG00000040111.17",0.810236842,6.71334162,27.737545,1.03598761e-22,1.27420001e-19,"Temp_main"
"Csgalnact1","ENSMUSG00000036356.15",0.978096004,4.83609554,27.6637617,1.11765156e-22,1.2937803e-19,"Temp_main"
"Pde1b","ENSMUSG00000022489.6",-0.971365088,4.3741631,-27.257059,1.70379654e-22,1.76468485e-19,"Temp_main"
"Zfp944","ENSMUSG00000033972.9",-0.776613561,5.66800071,-27.2775861,1.66768969e-22,1.76468485e-19,"Temp_main"
"Slc44a1","ENSMUSG00000028412.17",-0.75150575,6.30542843,-27.013245,2.19992636e-22,2.16461754e-19,"Temp_main"
"Rhob","ENSMUSG00000054364.5",-1.05532519,4.26596589,-26.9412603,2.37331113e-22,2.22401855e-19,"Temp_main"
"Usp22","ENSMUSG00000042506.15",-0.65198606,7.11450913,-26.7419873,2.93079564e-22,2.6215967e-19,"Temp_main"
"Dot1l","ENSMUSG00000061589.14",0.663286885,8.12014758,26.1831055,5.33796609e-22,4.37690978e-19,"Temp_main"
"Acsl6","ENSMUSG00000020333.17",-0.596160343,6.69275219,-26.1960083,5.26388876e-22,4.37690978e-19,"Temp_main"
"Zc3h6","ENSMUSG00000042851.17",-1.12398169,3.24750655,-26.0865175,5.92782518e-22,4.66614687e-19,"Temp_main"
"Itga5","ENSMUSG00000000555.8",0.873660157,4.97252475,25.6423661,9.64333527e-22,7.29889211e-19,"Temp_main"
"Ahr","ENSMUSG00000019256.17",-1.12018439,3.99799298,-25.5936264,1.01770582e-21,7.41756775e-19,"Temp_main"
