"gene","arm","hif_class","group","genotype","temp","mean_log2cpm","inter_logFC","inter_adjP"
"Ifit1","IFN / ISG arm",NA,"WT_37","WT","37C",0.759984248536053,1.00715629877501,0.00327810716048088
"Ifit1","IFN / ISG arm",NA,"cGASKO_37","cGASKO","37C",0.0776258146890702,1.00715629877501,0.00327810716048088
"Ifit1","IFN / ISG arm",NA,"WT_39","WT","39C",1.25657873284936,1.00715629877501,0.00327810716048088
"Ifit1","IFN / ISG arm",NA,"cGASKO_39","cGASKO","39C",-0.432935999772635,1.00715629877501,0.00327810716048088
"Isg15","IFN / ISG arm",NA,"WT_37","WT","37C",0.926334524761379,0.884315485866984,0.0748180070260787
"Isg15","IFN / ISG arm",NA,"cGASKO_37","cGASKO","37C",0.310751747223328,0.884315485866984,0.0748180070260787
"Isg15","IFN / ISG arm",NA,"WT_39","WT","39C",1.48267089064186,0.884315485866984,0.0748180070260787
"Isg15","IFN / ISG arm",NA,"cGASKO_39","cGASKO","39C",-0.017227372763172,0.884315485866984,0.0748180070260787
"Irf7","IFN / ISG arm",NA,"WT_37","WT","37C",2.38774704026545,1.08641963587141,0.000393746858353036
"Irf7","IFN / ISG arm",NA,"cGASKO_37","cGASKO","37C",1.99294999528516,1.08641963587141,0.000393746858353036
"Irf7","IFN / ISG arm",NA,"WT_39","WT","39C",2.48016493634635,1.08641963587141,0.000393746858353036
"Irf7","IFN / ISG arm",NA,"cGASKO_39","cGASKO","39C",0.998948255494657,1.08641963587141,0.000393746858353036
"Oasl2","IFN / ISG arm",NA,"WT_37","WT","37C",1.81790268880652,1.29262096005193,0.000476484743833312
"Oasl2","IFN / ISG arm",NA,"cGASKO_37","cGASKO","37C",1.53580741607652,1.29262096005193,0.000476484743833312
"Oasl2","IFN / ISG arm",NA,"WT_39","WT","39C",1.71513925423278,1.29262096005193,0.000476484743833312
"Oasl2","IFN / ISG arm",NA,"cGASKO_39","cGASKO","39C",0.140423021450847,1.29262096005193,0.000476484743833312
"Mx1","IFN / ISG arm",NA,"WT_37","WT","37C",0.289633488054565,1.08945125866778,0.00520624315796608
"Mx1","IFN / ISG arm",NA,"cGASKO_37","cGASKO","37C",0.00374056141679207,1.08945125866778,0.00520624315796608
"Mx1","IFN / ISG arm",NA,"WT_39","WT","39C",1.04594829311844,1.08945125866778,0.00520624315796608
"Mx1","IFN / ISG arm",NA,"cGASKO_39","cGASKO","39C",-0.329395892187109,1.08945125866778,0.00520624315796608
"Stat1","IFN / ISG arm",NA,"WT_37","WT","37C",7.96874425173963,0.121844271772969,0.999999999999996
"Stat1","IFN / ISG arm",NA,"cGASKO_37","cGASKO","37C",7.99228135011202,0.121844271772969,0.999999999999996
