"contrast","source","score","padj","direction","rank","axis","key_tf","sig","row_key"
"WT_heat","Aip",-3.7094207,0.00428327635,"Down",1,"other",FALSE,TRUE,"Aip"
"WT_heat","Hic1",-3.60463329,0.0058912794,"Down",2,"other",FALSE,TRUE,"Hic1"
"WT_heat","Foxo3",-3.52000815,0.00729719607,"Down",3,"other",FALSE,TRUE,"Foxo3"
"WT_heat","Tbx3",-3.3418309,0.0116735831,"Down",4,"other",FALSE,TRUE,"Tbx3"
"WT_heat","Smarca4",-3.31261773,0.0119464189,"Down",5,"other",FALSE,TRUE,"Smarca4"
"WT_heat","Zeb1",-3.22616852,0.0150340493,"Down",6,"other",FALSE,TRUE,"Zeb1"
"WT_heat","Klf17",-3.0807869,0.0203036386,"Down",7,"other",FALSE,TRUE,"Klf17"
"WT_heat","Smad7",-2.99836139,0.0238436998,"Down",8,"other",FALSE,TRUE,"Smad7"
"WT_heat","Foxf2",-2.91406395,0.029748142,"Down",9,"other",FALSE,TRUE,"Foxf2"
"WT_heat","Srebf2",-2.87310017,0.030832746,"Down",10,"other",FALSE,TRUE,"Srebf2"
"WT_heat","Spib",-2.87250492,0.030832746,"Down",11,"other",FALSE,TRUE,"Spib"
"WT_heat","Tbx1",-2.82467105,0.0338846994,"Down",12,"other",FALSE,TRUE,"Tbx1"
"WT_heat","Hif1a",5.11034559,1.7797704e-05,"Up",12,"HIF",TRUE,TRUE,"Hif1a"
"WT_heat","Jund",5.12578022,1.7797704e-05,"Up",11,"other",FALSE,TRUE,"Jund"
"WT_heat","Hoxd3",5.2006174,1.32005535e-05,"Up",10,"other",FALSE,TRUE,"Hoxd3"
"WT_heat","Nfkb",5.23485404,1.21957481e-05,"Up",9,"other",FALSE,TRUE,"Nfkb"
"WT_heat","Ncoa1",5.28558185,1.04163013e-05,"Up",8,"other",FALSE,TRUE,"Ncoa1"
"WT_heat","Sp1",5.3040085,1.04163013e-05,"Up",7,"other",FALSE,TRUE,"Sp1"
"WT_heat","Nfkb1",5.48818193,4.50845045e-06,"Up",6,"IFN",TRUE,TRUE,"Nfkb1"
"WT_heat","Stat5a",5.52373633,4.42263896e-06,"Up",5,"other",FALSE,TRUE,"Stat5a"
"WT_heat","Fos",5.55136501,4.42263896e-06,"Up",4,"other",FALSE,TRUE,"Fos"
"WT_heat","Rela",5.59206501,4.42263896e-06,"Up",3,"IFN",TRUE,TRUE,"Rela"
"WT_heat","Egr1",5.67579848,4.42263896e-06,"Up",2,"other",FALSE,TRUE,"Egr1"
"WT_heat","Jun",6.07261671,8.4323723e-07,"Up",1,"other",FALSE,TRUE,"Jun"
"KO_heat","Foxo3",-3.82063597,0.00337900912,"Down",1,"other",FALSE,TRUE,"Foxo3"
"KO_heat","Srebf1",-3.65672078,0.00503552876,"Down",2,"other",FALSE,TRUE,"Srebf1"
"KO_heat","Srebf2",-3.65586639,0.00503552876,"Down",3,"other",FALSE,TRUE,"Srebf2"
"KO_heat","Hic1",-3.65267658,0.00503552876,"Down",4,"other",FALSE,TRUE,"Hic1"
"KO_heat","Irf9",-3.63932381,0.00513335777,"Down",5,"other",FALSE,TRUE,"Irf9"
"KO_heat","Aip",-3.63300463,0.00513335777,"Down",6,"other",FALSE,TRUE,"Aip"
"KO_heat","Zeb1",-3.62446637,0.0051624295,"Down",7,"other",FALSE,TRUE,"Zeb1"
"KO_heat","Foxf2",-3.46833262,0.00820401226,"Down",8,"other",FALSE,TRUE,"Foxf2"
"KO_heat","Klf17",-3.32214406,0.0122677664,"Down",9,"other",FALSE,TRUE,"Klf17"
"KO_heat","Tbx3",-3.24157585,0.0150667518,"Down",10,"other",FALSE,TRUE,"Tbx3"
"KO_heat","Irf3",-3.16342362,0.0177163484,"Down",11,"IFN",TRUE,TRUE,"Irf3"
"KO_heat","Rfxap",-3.14640124,0.0184618581,"Down",12,"other",FALSE,TRUE,"Rfxap"
"KO_heat","Nfkb1",4.63660859,0.000195452171,"Up",12,"IFN",TRUE,TRUE,"Nfkb1"
"KO_heat","Hsf2",4.70945705,0.000149588546,"Up",11,"other",FALSE,TRUE,"Hsf2"
"KO_heat","Rela",4.77832812,0.000117146392,"Up",10,"IFN",TRUE,TRUE,"Rela"
"KO_heat","Stat5a",4.89182799,7.36176741e-05,"Up",9,"other",FALSE,TRUE,"Stat5a"
"KO_heat","Jund",4.94173065,6.42111264e-05,"Up",8,"other",FALSE,TRUE,"Jund"
"KO_heat","Hif1a",5.02615077,4.74523185e-05,"Up",7,"HIF",TRUE,TRUE,"Hif1a"
"KO_heat","Hoxd3",5.06437588,4.53407527e-05,"Up",6,"other",FALSE,TRUE,"Hoxd3"
"KO_heat","Ncoa1",5.07574569,4.53407527e-05,"Up",5,"other",FALSE,TRUE,"Ncoa1"
"KO_heat","Sp1",5.14324847,4.48456226e-05,"Up",4,"other",FALSE,TRUE,"Sp1"
"KO_heat","Fos",5.21823032,4.0022472e-05,"Up",3,"other",FALSE,TRUE,"Fos"
"KO_heat","Egr1",5.26581217,4.0022472e-05,"Up",2,"other",FALSE,TRUE,"Egr1"
"KO_heat","Jun",5.89085213,2.56926426e-06,"Up",1,"other",FALSE,TRUE,"Jun"
"Temp_main","Foxo3",-3.72215718,0.0042857565,"Down",1,"other",FALSE,TRUE,"Foxo3"
"Temp_main","Aip",-3.72033662,0.0042857565,"Down",2,"other",FALSE,TRUE,"Aip"
"Temp_main","Hic1",-3.67810338,0.00484453733,"Down",3,"other",FALSE,TRUE,"Hic1"
"Temp_main","Zeb1",-3.47453596,0.0084362057,"Down",4,"other",FALSE,TRUE,"Zeb1"
"Temp_main","Tbx3",-3.33551308,0.0122015506,"Down",5,"other",FALSE,TRUE,"Tbx3"
"Temp_main","Srebf2",-3.31427798,0.0124822917,"Down",6,"other",FALSE,TRUE,"Srebf2"
"Temp_main","Smarca4",-3.26711314,0.0137719812,"Down",7,"other",FALSE,TRUE,"Smarca4"
"Temp_main","Klf17",-3.24652274,0.0142590513,"Down",8,"other",FALSE,TRUE,"Klf17"
"Temp_main","Foxf2",-3.23836613,0.0144060954,"Down",9,"other",FALSE,TRUE,"Foxf2"
"Temp_main","Srebf1",-3.21487709,0.0148289334,"Down",10,"other",FALSE,TRUE,"Srebf1"
"Temp_main","Smad7",-3.01603097,0.0228018334,"Down",11,"other",FALSE,TRUE,"Smad7"
"Temp_main","Rfxap",-2.99003256,0.0241651744,"Down",12,"other",FALSE,TRUE,"Rfxap"
"Temp_main","Nfkb",4.81159529,8.27105293e-05,"Up",12,"other",FALSE,TRUE,"Nfkb"
"Temp_main","Jund",5.10057669,2.04437237e-05,"Up",11,"other",FALSE,TRUE,"Jund"
"Temp_main","Nfkb1",5.12470586,1.97940072e-05,"Up",10,"IFN",TRUE,TRUE,"Nfkb1"
"Temp_main","Hif1a",5.13626311,1.97940072e-05,"Up",9,"HIF",TRUE,TRUE,"Hif1a"
"Temp_main","Hoxd3",5.20100597,1.64662745e-05,"Up",8,"other",FALSE,TRUE,"Hoxd3"
"Temp_main","Ncoa1",5.24929183,1.45013882e-05,"Up",7,"other",FALSE,TRUE,"Ncoa1"
"Temp_main","Rela",5.24945295,1.45013882e-05,"Up",6,"IFN",TRUE,TRUE,"Rela"
"Temp_main","Stat5a",5.27368752,1.45013882e-05,"Up",5,"other",FALSE,TRUE,"Stat5a"
"Temp_main","Sp1",5.29319701,1.45013882e-05,"Up",4,"other",FALSE,TRUE,"Sp1"
"Temp_main","Fos",5.4552984,1.08526686e-05,"Up",3,"other",FALSE,TRUE,"Fos"
"Temp_main","Egr1",5.54191188,9.96947108e-06,"Up",2,"other",FALSE,TRUE,"Egr1"
"Temp_main","Jun",6.06145105,9.03804066e-07,"Up",1,"other",FALSE,TRUE,"Jun"
"Interaction","Znf331",-2.55753652,0.388866417,"Down",1,"other",FALSE,FALSE,"Znf331"
"Interaction","Mtf2",-2.55462508,0.388866417,"Down",2,"other",FALSE,FALSE,"Mtf2"
"Interaction","Meox2",-2.50223547,0.389027909,"Down",3,"other",FALSE,FALSE,"Meox2"
"Interaction","Hsf1",-2.28752997,0.514892993,"Down",4,"other",FALSE,FALSE,"Hsf1"
"Interaction","Kat2b",-2.23583516,0.556530655,"Down",5,"other",FALSE,FALSE,"Kat2b"
"Interaction","Ehf",-2.13164082,0.597687199,"Down",6,"other",FALSE,FALSE,"Ehf"
"Interaction","Kdm5a",-2.10611799,0.597687199,"Down",7,"other",FALSE,FALSE,"Kdm5a"
"Interaction","Nfe2l3",-2.07390071,0.597687199,"Down",8,"other",FALSE,FALSE,"Nfe2l3"
"Interaction","Klf1",-2.07337638,0.597687199,"Down",9,"other",FALSE,FALSE,"Klf1"
"Interaction","Dmap1",-2.06052081,0.602328505,"Down",10,"other",FALSE,FALSE,"Dmap1"
