"target","in_dorothea","in_collectri","t_wt","membership","abs_t","high_t"
"Timp1",TRUE,TRUE,24.92499,"shared (both)",24.92499,TRUE
"Sdc1",FALSE,TRUE,22.8929997,"CollecTRI-only",22.8929997,TRUE
"Abca1",TRUE,TRUE,-18.9943599,"shared (both)",18.9943599,TRUE
"Itga5",FALSE,TRUE,18.4582531,"CollecTRI-only",18.4582531,TRUE
"Glb1",FALSE,TRUE,17.3885345,"CollecTRI-only",17.3885345,TRUE
"Lgals3",FALSE,TRUE,16.8033147,"CollecTRI-only",16.8033147,TRUE
"Bcl2l1",TRUE,TRUE,16.0796093,"shared (both)",16.0796093,TRUE
"Spp1",FALSE,TRUE,15.3649512,"CollecTRI-only",15.3649512,TRUE
"Ets1",TRUE,FALSE,-14.833931,"DoRothEA-only",14.833931,TRUE
"Hspa1b",TRUE,FALSE,13.6570975,"DoRothEA-only",13.6570975,TRUE
"Bcr",FALSE,TRUE,13.575037,"CollecTRI-only",13.575037,TRUE
"Stat3",FALSE,TRUE,-13.479087,"CollecTRI-only",13.479087,TRUE
"Adora2b",TRUE,TRUE,13.2383987,"shared (both)",13.2383987,TRUE
"Ar",FALSE,TRUE,13.1463934,"CollecTRI-only",13.1463934,TRUE
"Slc22a5",FALSE,TRUE,-13.0061095,"CollecTRI-only",13.0061095,TRUE
"Abcc8",FALSE,TRUE,-12.8288852,"CollecTRI-only",12.8288852,TRUE
"Cd44",FALSE,TRUE,12.5050003,"CollecTRI-only",12.5050003,TRUE
"Pcx",FALSE,TRUE,12.5002699,"CollecTRI-only",12.5002699,TRUE
"Pak1",FALSE,TRUE,12.3992924,"CollecTRI-only",12.3992924,TRUE
"Pecam1",FALSE,TRUE,-12.3299572,"CollecTRI-only",12.3299572,TRUE
"Cdkn1a",TRUE,TRUE,12.3278744,"shared (both)",12.3278744,TRUE
"Sphk1",TRUE,TRUE,12.1468456,"shared (both)",12.1468456,TRUE
"Furin",TRUE,TRUE,11.6903423,"shared (both)",11.6903423,TRUE
"Serpine1",TRUE,TRUE,11.2113044,"shared (both)",11.2113044,TRUE
"Lpin1",FALSE,TRUE,-11.2064445,"CollecTRI-only",11.2064445,TRUE
"Ccl4",FALSE,TRUE,11.0280306,"CollecTRI-only",11.0280306,TRUE
"Eno2",TRUE,TRUE,11.0047832,"shared (both)",11.0047832,TRUE
"Mapk9",FALSE,TRUE,-10.9569605,"CollecTRI-only",10.9569605,TRUE
"Rora",TRUE,TRUE,10.9548796,"shared (both)",10.9548796,TRUE
"F3",FALSE,TRUE,10.8903537,"CollecTRI-only",10.8903537,TRUE
"Hspa1a",TRUE,TRUE,10.8117413,"shared (both)",10.8117413,TRUE
"Nr4a3",TRUE,FALSE,10.7986447,"DoRothEA-only",10.7986447,TRUE
"Hsf1",FALSE,TRUE,10.7310453,"CollecTRI-only",10.7310453,TRUE
"Kdm2b",FALSE,TRUE,10.7251076,"CollecTRI-only",10.7251076,TRUE
"Nr4a1",TRUE,TRUE,10.2439985,"shared (both)",10.2439985,TRUE
"Slc29a1",FALSE,TRUE,10.1803238,"CollecTRI-only",10.1803238,TRUE
"Plaur",TRUE,TRUE,9.82270186,"shared (both)",9.82270186,TRUE
"Hk2",TRUE,TRUE,9.71988286,"shared (both)",9.71988286,TRUE
"Rgcc",FALSE,TRUE,9.47465229,"CollecTRI-only",9.47465229,TRUE
"Vegfa",TRUE,TRUE,9.39257455,"shared (both)",9.39257455,TRUE
"Itgb1",TRUE,FALSE,9.21862559,"DoRothEA-only",9.21862559,TRUE
"Gfpt1",TRUE,FALSE,9.20124103,"DoRothEA-only",9.20124103,TRUE
"Hbegf",FALSE,TRUE,9.03125921,"CollecTRI-only",9.03125921,TRUE
"Cdkn1b",TRUE,TRUE,-9.02931744,"shared (both)",9.02931744,TRUE
"Ceacam1",TRUE,FALSE,-8.8626874,"DoRothEA-only",8.8626874,TRUE
"Tigar",FALSE,TRUE,8.84588213,"CollecTRI-only",8.84588213,TRUE
"Cx3cr1",FALSE,TRUE,-8.80400383,"CollecTRI-only",8.80400383,TRUE
"Mat2a",FALSE,TRUE,8.79326324,"CollecTRI-only",8.79326324,TRUE
"Map3k11",FALSE,TRUE,8.75497357,"CollecTRI-only",8.75497357,TRUE
"Kdm6b",FALSE,TRUE,8.73982428,"CollecTRI-only",8.73982428,TRUE
"Pdgfb",FALSE,TRUE,8.59721986,"CollecTRI-only",8.59721986,TRUE
"Itgb3",FALSE,TRUE,-8.45825156,"CollecTRI-only",8.45825156,TRUE
"Btg2",FALSE,TRUE,-8.45541237,"CollecTRI-only",8.45541237,TRUE
"Adam17",TRUE,FALSE,8.35396411,"DoRothEA-only",8.35396411,TRUE
"Eif4e",FALSE,TRUE,8.28793214,"CollecTRI-only",8.28793214,TRUE
"Msh6",FALSE,TRUE,8.2798084,"CollecTRI-only",8.2798084,TRUE
"Cd274",FALSE,TRUE,8.24783234,"CollecTRI-only",8.24783234,TRUE
"Eif4ebp1",FALSE,TRUE,8.17276436,"CollecTRI-only",8.17276436,TRUE
"Cd36",TRUE,TRUE,8.08069431,"shared (both)",8.08069431,TRUE
"Tfrc",TRUE,TRUE,7.85207599,"shared (both)",7.85207599,TRUE
"Cox4i2",TRUE,FALSE,7.81866888,"DoRothEA-only",7.81866888,TRUE
"Tcirg1",FALSE,TRUE,-7.81673644,"CollecTRI-only",7.81673644,TRUE
"Itgb2",TRUE,TRUE,7.76554069,"shared (both)",7.76554069,TRUE
"Sdc4",FALSE,TRUE,7.75176122,"CollecTRI-only",7.75176122,TRUE
"Gsn",FALSE,TRUE,7.74840421,"CollecTRI-only",7.74840421,TRUE
"Gata1",FALSE,TRUE,-7.67014518,"CollecTRI-only",7.67014518,TRUE
"Ptgs2",TRUE,TRUE,7.60821714,"shared (both)",7.60821714,TRUE
"Foxp3",FALSE,TRUE,-7.60676755,"CollecTRI-only",7.60676755,TRUE
"Bhlhe40",TRUE,TRUE,7.55695153,"shared (both)",7.55695153,TRUE
"Nfe2l2",FALSE,TRUE,-7.53589203,"CollecTRI-only",7.53589203,TRUE
"Hif1a",FALSE,TRUE,7.48596014,"CollecTRI-only",7.48596014,TRUE
"Sat1",FALSE,TRUE,-7.44100477,"CollecTRI-only",7.44100477,TRUE
"Thbs1",FALSE,TRUE,7.24984774,"CollecTRI-only",7.24984774,TRUE
"Hsp90b1",TRUE,TRUE,7.23463625,"shared (both)",7.23463625,TRUE
"S100a11",FALSE,TRUE,7.10063263,"CollecTRI-only",7.10063263,TRUE
"Mmut",FALSE,TRUE,-7.08371318,"CollecTRI-only",7.08371318,TRUE
"Muc1",TRUE,TRUE,7.03772058,"shared (both)",7.03772058,TRUE
"Mlh1",FALSE,TRUE,-6.97795647,"CollecTRI-only",6.97795647,TRUE
"Ppp1r10",TRUE,TRUE,6.96199273,"shared (both)",6.96199273,TRUE
"Lrp1",FALSE,TRUE,6.84869392,"CollecTRI-only",6.84869392,TRUE
"Egln3",TRUE,TRUE,6.807492,"shared (both)",6.807492,TRUE
"Mst1r",FALSE,TRUE,6.79789154,"CollecTRI-only",6.79789154,TRUE
"Angptl4",FALSE,TRUE,-6.76846142,"CollecTRI-only",6.76846142,TRUE
"Atp13a2",FALSE,TRUE,-6.68900006,"CollecTRI-only",6.68900006,TRUE
"Twist1",TRUE,TRUE,6.60200754,"shared (both)",6.60200754,TRUE
"Ccn1",FALSE,TRUE,6.54985351,"CollecTRI-only",6.54985351,TRUE
"Slc2a1",TRUE,TRUE,6.53352096,"shared (both)",6.53352096,TRUE
"Kdm5c",FALSE,TRUE,6.53026318,"CollecTRI-only",6.53026318,TRUE
"Fscn1",FALSE,TRUE,6.46572249,"CollecTRI-only",6.46572249,TRUE
"Ntn1",TRUE,FALSE,-6.44196964,"DoRothEA-only",6.44196964,TRUE
"Nrp2",FALSE,TRUE,6.41956917,"CollecTRI-only",6.41956917,TRUE
"Timp2",FALSE,TRUE,-6.37389556,"CollecTRI-only",6.37389556,TRUE
"Hsp90aa1",FALSE,TRUE,6.3038171,"CollecTRI-only",6.3038171,TRUE
"Kdm4b",TRUE,TRUE,-6.22222729,"shared (both)",6.22222729,TRUE
"Nedd9",FALSE,TRUE,6.19323314,"CollecTRI-only",6.19323314,TRUE
"Ass1",FALSE,TRUE,-6.15310839,"CollecTRI-only",6.15310839,TRUE
"Xpc",FALSE,TRUE,-6.11794462,"CollecTRI-only",6.11794462,TRUE
"Apex1",FALSE,TRUE,-6.11666362,"CollecTRI-only",6.11666362,TRUE
"Aldoart1",TRUE,FALSE,6.10286287,"DoRothEA-only",6.10286287,TRUE
"Cybb",FALSE,TRUE,-6.00850931,"CollecTRI-only",6.00850931,TRUE
"Ppp5c",TRUE,TRUE,5.96265591,"shared (both)",5.96265591,TRUE
"Men1",FALSE,TRUE,5.78552029,"CollecTRI-only",5.78552029,TRUE
"Cxcr4",TRUE,TRUE,-5.75780146,"shared (both)",5.75780146,TRUE
"Abl1",FALSE,TRUE,-5.66066284,"CollecTRI-only",5.66066284,TRUE
"Apln",TRUE,TRUE,-5.59297404,"shared (both)",5.59297404,TRUE
"Nos2",TRUE,TRUE,5.51788649,"shared (both)",5.51788649,TRUE
"Sp1",FALSE,TRUE,5.47154245,"CollecTRI-only",5.47154245,TRUE
"Prmt1",FALSE,TRUE,-5.42759804,"CollecTRI-only",5.42759804,TRUE
"Abcg3",TRUE,FALSE,-5.41964832,"DoRothEA-only",5.41964832,TRUE
"Dnase1",FALSE,TRUE,-5.35269764,"CollecTRI-only",5.35269764,TRUE
"Bsg",FALSE,TRUE,5.34587272,"CollecTRI-only",5.34587272,TRUE
"Msh2",FALSE,TRUE,-5.32941152,"CollecTRI-only",5.32941152,TRUE
"Trp53",TRUE,TRUE,-5.30949686,"shared (both)",5.30949686,TRUE
"Reck",FALSE,TRUE,-5.29012661,"CollecTRI-only",5.29012661,TRUE
"Adm",TRUE,TRUE,5.2771674,"shared (both)",5.2771674,TRUE
"Fam162a",TRUE,TRUE,5.25882655,"shared (both)",5.25882655,TRUE
"Fasn",FALSE,TRUE,-5.24567748,"CollecTRI-only",5.24567748,TRUE
"E2f3",TRUE,TRUE,5.23054714,"shared (both)",5.23054714,TRUE
"Kdm5a",FALSE,TRUE,-5.12400834,"CollecTRI-only",5.12400834,TRUE
"Hdac2",FALSE,TRUE,5.08322697,"CollecTRI-only",5.08322697,TRUE
"Mad1l1",FALSE,TRUE,-5.06650414,"CollecTRI-only",5.06650414,TRUE
"Pgf",FALSE,TRUE,5.0198835,"CollecTRI-only",5.0198835,TRUE
"Tm9sf4",FALSE,TRUE,4.9590935,"CollecTRI-only",4.9590935,TRUE
"Ppia",TRUE,FALSE,-4.95177323,"DoRothEA-only",4.95177323,TRUE
