"source","target","mor","t_wt","contrib","class","rank","legend_class"
"Hif1a","Pdk1",1,-4.15782848,-4.15782848,"hypoxic HIF core",53,"hypoxic HIF core (repressed)"
"Hif1a","Bnip3l",1,-1.81453926,-1.81453926,"hypoxic HIF core",100,"hypoxic HIF core (repressed)"
"Hif1a","Bnip3",1,-1.42890799,-1.42890799,"hypoxic HIF core",108,"hypoxic HIF core (repressed)"
"Hif1a","Car9",1,-1.06121839,-1.06121839,"hypoxic HIF core",127,"hypoxic HIF core (repressed)"
"Hif1a","Slc2a1",1,6.53352096,6.53352096,"shared/glycolytic",298,"shared/glycolytic"
"Hif1a","Egln3",1,6.807492,6.807492,"shared/glycolytic",302,"shared/glycolytic"
"Hif1a","Vegfa",1,9.39257455,9.39257455,"shared/glycolytic",325,"shared/glycolytic"
"Hif1a","Hspa1a",1,10.8117413,10.8117413,"other",332,"heat-shock/stress"
"Hif1a","Eno2",1,11.0047832,11.0047832,"other",335,"heat-shock/stress"
"Hif1a","Serpine1",1,11.2113044,11.2113044,"other",337,"heat-shock/stress"
"Hif1a","Cdkn1a",1,12.3278744,12.3278744,"other",340,"heat-shock/stress"
"Hif1a","Sdc1",1,22.8929997,22.8929997,"other",352,"heat-shock/stress"
"Hif1a","Timp1",1,24.92499,24.92499,"other",353,"heat-shock/stress"
