"source","statistic","score","axis","key_tf"
"Znf331","ULM",-2.55753652,"other",FALSE
"Mtf2","ULM",-2.55462508,"other",FALSE
"Meox2","ULM",-2.50223547,"other",FALSE
"Hsf1","ULM",-2.28752997,"other",FALSE
"Kat2b","ULM",-2.23583516,"other",FALSE
"Ehf","ULM",-2.13164082,"other",FALSE
"Kdm5a","ULM",-2.10611799,"other",FALSE
"Nfe2l3","ULM",-2.07390071,"other",FALSE
"Klf1","ULM",-2.07337638,"other",FALSE
"Dmap1","ULM",-2.06052081,"other",FALSE
"Dmtf1","ULM",-1.87970603,"other",FALSE
"Pitx1","ULM",-1.80505235,"other",FALSE
"Zfp148","ULM",2.62217281,"other",FALSE
"Usf1","ULM",2.66579017,"other",FALSE
"Srebf2","ULM",2.67855792,"other",FALSE
"Gata3","ULM",2.90188735,"other",FALSE
"Srebf1","ULM",3.28387908,"other",FALSE
"Usf2","ULM",3.31342847,"other",FALSE
"Irf1","ULM",3.38168907,"IFN",TRUE
"Irf2","ULM",3.39797316,"other",FALSE
"Stat1","ULM",5.30465365,"IFN",TRUE
"Stat2","ULM",5.8487094,"IFN",TRUE
"Irf3","ULM",5.9251867,"IFN",TRUE
"Irf9","ULM",5.98616828,"other",FALSE
"Pml","MLM",-2.96931612,"other",FALSE
"Dmap1","MLM",-2.68211894,"other",FALSE
"Hsf1","MLM",-2.66528458,"other",FALSE
"Kdm5a","MLM",-2.49440511,"other",FALSE
"Pknox1","MLM",-2.41624127,"other",FALSE
"Ascl1","MLM",-2.381005,"other",FALSE
"Foxf1","MLM",-2.33265281,"other",FALSE
"Egr3","MLM",-2.27487186,"other",FALSE
"Mtf2","MLM",-2.27066427,"other",FALSE
"Ahrr","MLM",-2.26738351,"other",FALSE
"Irf5","MLM",-2.1256103,"other",FALSE
"Prox1","MLM",-2.07999919,"other",FALSE
"Nr2e1","MLM",2.21374505,"other",FALSE
"Maz","MLM",2.26634685,"other",FALSE
"Eomes","MLM",2.37066918,"other",FALSE
"Deaf1","MLM",2.42468486,"other",FALSE
"Foxa1","MLM",2.43950739,"other",FALSE
"Mef2d","MLM",2.4829677,"other",FALSE
"Rfxank","MLM",2.49920012,"other",FALSE
"Hand2","MLM",2.66111742,"other",FALSE
"Esr1","MLM",2.79426938,"other",FALSE
"Irf3","MLM",3.18473002,"IFN",TRUE
"Stat1","MLM",3.29567761,"IFN",TRUE
"Irf9","MLM",4.37741254,"other",FALSE
"Hsf1","wsum",-16.5959791,"other",FALSE
"Pparg","wsum",-14.1702214,"other",FALSE
"Lef1","wsum",-12.3641666,"other",FALSE
"Znf331","wsum",-10.6301536,"other",FALSE
"Ascl1","wsum",-9.84838177,"other",FALSE
"Myog","wsum",-9.34776914,"other",FALSE
"Sox17","wsum",-9.16358693,"other",FALSE
"E2f4","wsum",-9.08005965,"other",FALSE
"Pou2f1","wsum",-8.5654405,"other",FALSE
"Nr3c1","wsum",-8.15046358,"other",FALSE
"E2f2","wsum",-8.06034239,"other",FALSE
"Kat2b","wsum",-7.94828453,"other",FALSE
"Hnf4a","wsum",33.6372413,"other",FALSE
"Srebf1","wsum",34.7980629,"other",FALSE
"Usf1","wsum",36.9090876,"other",FALSE
"Gata3","wsum",39.2474146,"other",FALSE
"Cebpb","wsum",39.4972536,"other",FALSE
"Irf1","wsum",41.7603234,"IFN",TRUE
"Irf3","wsum",46.9562951,"IFN",TRUE
"Nfkb1","wsum",48.6617408,"IFN",TRUE
"Rela","wsum",53.6413317,"IFN",TRUE
"Esr1","wsum",57.5457783,"other",FALSE
"Nfkb","wsum",80.4564516,"other",FALSE
"Stat1","wsum",89.1968158,"IFN",TRUE
"Znf331","norm_wsum",-2.48540596,"other",FALSE
"Kat2b","norm_wsum",-2.42941023,"other",FALSE
"Mtf2","norm_wsum",-2.40636235,"other",FALSE
"Klf1","norm_wsum",-2.40525267,"other",FALSE
"Meox2","norm_wsum",-2.35335809,"other",FALSE
"Hsf1","norm_wsum",-2.19896745,"other",FALSE
"Kdm5a","norm_wsum",-2.1435231,"other",FALSE
"Dmap1","norm_wsum",-2.04871351,"other",FALSE
"Nfe2l3","norm_wsum",-2.0161004,"other",FALSE
"Dmtf1","norm_wsum",-1.99550499,"other",FALSE
"Pitx1","norm_wsum",-1.8858849,"other",FALSE
"Ehf","norm_wsum",-1.86523253,"other",FALSE
"Zfp148","norm_wsum",2.7873324,"other",FALSE
"Usf1","norm_wsum",2.82064187,"other",FALSE
"Gata3","norm_wsum",2.83569833,"other",FALSE
"Srebf2","norm_wsum",2.89160428,"other",FALSE
"Irf2","norm_wsum",3.19730889,"other",FALSE
"Usf2","norm_wsum",3.37921743,"other",FALSE
"Srebf1","norm_wsum",3.39271345,"other",FALSE
"Irf1","norm_wsum",3.56085972,"IFN",TRUE
"Stat1","norm_wsum",4.96165063,"IFN",TRUE
"Irf9","norm_wsum",5.69560703,"other",FALSE
"Irf3","norm_wsum",6.13702314,"IFN",TRUE
"Stat2","norm_wsum",6.3512997,"IFN",TRUE
"Znf331","corr_wsum",-18.0603121,"other",FALSE
"Hsf1","corr_wsum",-14.1708413,"other",FALSE
"Kat2b","corr_wsum",-9.71160151,"other",FALSE
"Meox2","corr_wsum",-8.23394456,"other",FALSE
"Klf1","corr_wsum",-8.0793311,"other",FALSE
"Pitx1","corr_wsum",-8.07617878,"other",FALSE
"Sox17","corr_wsum",-7.82452997,"other",FALSE
"Mtf2","corr_wsum",-7.60975298,"other",FALSE
"Dmap1","corr_wsum",-7.40128907,"other",FALSE
"Kdm5a","corr_wsum",-6.55323447,"other",FALSE
"Nfe2l3","corr_wsum",-6.33192619,"other",FALSE
"Ehf","corr_wsum",-5.66674938,"other",FALSE
"Stat2","corr_wsum",57.0791724,"IFN",TRUE
"Hnf4a","corr_wsum",57.1486641,"other",FALSE
"Srebf1","corr_wsum",59.120865,"other",FALSE
"Usf1","corr_wsum",62.7074327,"other",FALSE
"Gata3","corr_wsum",66.6801802,"other",FALSE
"Irf1","corr_wsum",70.9495368,"IFN",TRUE
"Irf3","corr_wsum",79.7773369,"IFN",TRUE
"Nfkb1","corr_wsum",82.6748379,"IFN",TRUE
"Rela","corr_wsum",91.1350135,"IFN",TRUE
"Esr1","corr_wsum",97.7685512,"other",FALSE
"Nfkb","corr_wsum",136.693098,"other",FALSE
"Stat1","corr_wsum",151.542715,"IFN",TRUE
"Hsf1","consensus",-3.55629674,"other",FALSE
"Znf331","consensus",-3.3586948,"other",FALSE
"Mtf2","consensus",-2.45268811,"other",FALSE
"Klf1","consensus",-2.4309294,"other",FALSE
"Kdm5a","consensus",-2.30962218,"other",FALSE
"Dmap1","consensus",-2.27060266,"other",FALSE
"Kat2b","consensus",-2.21545991,"other",FALSE
"Pitx1","consensus",-2.2093231,"other",FALSE
"Ascl1","consensus",-2.20726885,"other",FALSE
"Meox2","consensus",-2.116116,"other",FALSE
"Sox17","consensus",-2.10479181,"other",FALSE
"Lef1","consensus",-1.97069242,"other",FALSE
"Nfkb1","consensus",2.44589219,"IFN",TRUE
"Rela","consensus",2.47373031,"IFN",TRUE
"Srebf1","consensus",2.48438342,"other",FALSE
"Usf2","consensus",2.50235395,"other",FALSE
"Gata3","consensus",2.59984659,"other",FALSE
