"source","statistic","score","axis","key_tf"
"Aip","ULM",-3.7094207,"other",FALSE
"Hic1","ULM",-3.60463329,"other",FALSE
"Foxo3","ULM",-3.52000815,"other",FALSE
"Tbx3","ULM",-3.3418309,"other",FALSE
"Smarca4","ULM",-3.31261773,"other",FALSE
"Zeb1","ULM",-3.22616852,"other",FALSE
"Klf17","ULM",-3.0807869,"other",FALSE
"Smad7","ULM",-2.99836139,"other",FALSE
"Foxf2","ULM",-2.91406395,"other",FALSE
"Srebf2","ULM",-2.87310017,"other",FALSE
"Spib","ULM",-2.87250492,"other",FALSE
"Tbx1","ULM",-2.82467105,"other",FALSE
"Hif1a","ULM",5.11034559,"HIF",TRUE
"Jund","ULM",5.12578022,"other",FALSE
"Hoxd3","ULM",5.2006174,"other",FALSE
"Nfkb","ULM",5.23485404,"other",FALSE
"Ncoa1","ULM",5.28558185,"other",FALSE
"Sp1","ULM",5.3040085,"other",FALSE
"Nfkb1","ULM",5.48818193,"IFN",TRUE
"Stat5a","ULM",5.52373633,"other",FALSE
"Fos","ULM",5.55136501,"other",FALSE
"Rela","ULM",5.59206501,"IFN",TRUE
"Egr1","ULM",5.67579848,"other",FALSE
"Jun","ULM",6.07261671,"other",FALSE
"Foxo3","MLM",-4.51618206,"other",FALSE
"Spib","MLM",-4.25162445,"other",FALSE
"Mitf","MLM",-4.07617389,"other",FALSE
"Trps1","MLM",-3.78931116,"other",FALSE
"Nr1d1","MLM",-3.74954408,"other",FALSE
"Brca1","MLM",-3.67931978,"other",FALSE
"Hoxa9","MLM",-3.14435455,"other",FALSE
"Irf1","MLM",-3.11175021,"IFN",TRUE
"Hic1","MLM",-2.85193288,"other",FALSE
"Klf7","MLM",-2.82850719,"other",FALSE
"Runx3","MLM",-2.82595578,"other",FALSE
"Ppard","MLM",-2.73222907,"other",FALSE
"Ybx1","MLM",2.86491228,"other",FALSE
"Msx1","MLM",2.86899329,"other",FALSE
"Rarg","MLM",2.90372743,"other",FALSE
"Hoxa10","MLM",3.13984537,"other",FALSE
"Hsf2","MLM",3.17465569,"other",FALSE
"Sin3a","MLM",3.21967616,"other",FALSE
"Tbx5","MLM",3.3528887,"other",FALSE
"Hoxd3","MLM",3.49239199,"other",FALSE
"Onecut1","MLM",3.65977768,"other",FALSE
"Sirt1","MLM",3.66855253,"other",FALSE
"Tox3","MLM",4.39061492,"other",FALSE
"Thap11","MLM",4.55902734,"other",FALSE
"Foxo3","wsum",-197.792888,"other",FALSE
"Srebf1","wsum",-115.752029,"other",FALSE
"Zeb1","wsum",-92.7941422,"other",FALSE
"Smad7","wsum",-90.1726822,"other",FALSE
"Srebf2","wsum",-89.3858996,"other",FALSE
"Foxo1","wsum",-81.6482773,"other",FALSE
"Klf2","wsum",-75.3831932,"other",FALSE
"Hdac1","wsum",-71.2364214,"other",FALSE
"Ppara","wsum",-68.1133126,"other",FALSE
"Hic1","wsum",-64.194698,"other",FALSE
"Ikzf1","wsum",-62.0668212,"other",FALSE
"Sox2","wsum",-62.016247,"other",FALSE
"Sp3","wsum",310.817083,"other",FALSE
"Stat3","wsum",315.311116,"other",FALSE
"Ap1","wsum",336.499419,"other",FALSE
"Trp53","wsum",344.740542,"other",FALSE
"Fos","wsum",354.820007,"other",FALSE
"Hif1a","wsum",382.77625,"HIF",TRUE
"Egr1","wsum",385.913553,"other",FALSE
"Nfkb1","wsum",401.611326,"IFN",TRUE
"Rela","wsum",460.58597,"IFN",TRUE
"Nfkb","wsum",506.136828,"other",FALSE
"Jun","wsum",535.471132,"other",FALSE
"Sp1","wsum",628.431485,"other",FALSE
"Foxo3","norm_wsum",-4.02685132,"other",FALSE
"Smarca4","norm_wsum",-3.74908751,"other",FALSE
"Srebf2","norm_wsum",-3.63349231,"other",FALSE
"Spib","norm_wsum",-3.56910429,"other",FALSE
"Tbx3","norm_wsum",-3.44034604,"other",FALSE
"Hic1","norm_wsum",-3.40831575,"other",FALSE
"Zeb1","norm_wsum",-3.36767109,"other",FALSE
"Smad7","norm_wsum",-3.24487019,"other",FALSE
"Aip","norm_wsum",-3.18861805,"other",FALSE
"Mlxip","norm_wsum",-3.08898125,"other",FALSE
"Klf17","norm_wsum",-3.08635126,"other",FALSE
"Tbx1","norm_wsum",-2.97092235,"other",FALSE
"Hsf2","norm_wsum",5.16451207,"other",FALSE
"Rel","norm_wsum",5.22051918,"other",FALSE
"Ncoa1","norm_wsum",5.25813592,"other",FALSE
"Stat5a","norm_wsum",5.28527909,"other",FALSE
"Hoxd3","norm_wsum",5.37602845,"other",FALSE
"Nfkb1","norm_wsum",5.41239605,"IFN",TRUE
"Sp1","norm_wsum",5.75280484,"other",FALSE
"Nfkb","norm_wsum",5.7978966,"other",FALSE
"Jun","norm_wsum",5.84054603,"other",FALSE
"Hif1a","norm_wsum",5.84933517,"HIF",TRUE
"Rela","norm_wsum",6.69703892,"IFN",TRUE
"Egr1","norm_wsum",7.13392196,"other",FALSE
"Foxo3","corr_wsum",-336.044184,"other",FALSE
"Srebf1","corr_wsum",-196.659225,"other",FALSE
"Zeb1","corr_wsum",-157.654464,"other",FALSE
"Smad7","corr_wsum",-153.200682,"other",FALSE
"Srebf2","corr_wsum",-151.863962,"other",FALSE
"Klf2","corr_wsum",-128.073784,"other",FALSE
"Hic1","corr_wsum",-109.064866,"other",FALSE
"Ikzf1","corr_wsum",-105.449667,"other",FALSE
"Tbx3","corr_wsum",-88.0002448,"other",FALSE
"Hdac1","corr_wsum",-87.0401325,"other",FALSE
"Sox2","corr_wsum",-86.6949929,"other",FALSE
"Spib","corr_wsum",-82.9009524,"other",FALSE
"Sp3","corr_wsum",528.068901,"other",FALSE
"Stat3","corr_wsum",535.704128,"other",FALSE
"Ap1","corr_wsum",571.702419,"other",FALSE
"Trp53","corr_wsum",585.70384,"other",FALSE
"Fos","corr_wsum",602.828549,"other",FALSE
"Hif1a","corr_wsum",650.325367,"HIF",TRUE
"Egr1","corr_wsum",655.655551,"other",FALSE
"Nfkb1","corr_wsum",682.325596,"IFN",TRUE
"Rela","corr_wsum",782.521747,"IFN",TRUE
"Nfkb","corr_wsum",859.911288,"other",FALSE
"Jun","corr_wsum",909.749392,"other",FALSE
"Sp1","corr_wsum",1067.68624,"other",FALSE
"Foxo3","consensus",-4.64698446,"other",FALSE
