"tf","target","aligned_contrib","is_stress_contaminant","member_class"
"Hif1a","Vegfa",9.39257455,FALSE,"HIF-specific member"
"Hif1a","Egln3",6.807492,FALSE,"HIF-specific member"
"Hif1a","Slc2a1",6.53352096,FALSE,"HIF-specific member"
"Hif1a","Car9",-1.06121839,FALSE,"HIF-specific member"
"Hif1a","Bnip3",-1.42890799,FALSE,"HIF-specific member"
"Hif1a","Bnip3l",-1.81453926,FALSE,"HIF-specific member"
"Hif1a","Pdk1",-4.15782848,FALSE,"HIF-specific member"
"Hif1a","Timp1",24.92499,TRUE,"heat-shock/stress contaminant"
"Hif1a","Sdc1",22.8929997,TRUE,"heat-shock/stress contaminant"
"Hif1a","Itga5",18.4582531,FALSE,"regulon member"
"Hif1a","Glb1",17.3885345,FALSE,"regulon member"
"Hif1a","Lgals3",16.8033147,FALSE,"regulon member"
"Hif1a","Bcl2l1",16.0796093,FALSE,"regulon member"
"Hif1a","Spp1",15.3649512,TRUE,"heat-shock/stress contaminant"
"Hif1a","Bcr",13.575037,FALSE,"regulon member"
"Hif1a","Adora2b",13.2383987,FALSE,"regulon member"
"Hif1a","Ar",13.1463934,FALSE,"regulon member"
"Hif1a","Cd44",12.5050003,FALSE,"regulon member"
"Hif1a","Pcx",12.5002699,FALSE,"regulon member"
"Hif1a","Pak1",12.3992924,FALSE,"regulon member"
"Hif1a","Cdkn1a",12.3278744,TRUE,"heat-shock/stress contaminant"
"Hif1a","Sphk1",12.1468456,FALSE,"regulon member"
"Hif1a","Furin",11.6903423,FALSE,"regulon member"
"Hif1a","Serpine1",11.2113044,TRUE,"heat-shock/stress contaminant"
"Hif1a","Ccl4",11.0280306,FALSE,"regulon member"
"Hif1a","Eno2",11.0047832,TRUE,"heat-shock/stress contaminant"
"Hif1a","Rora",10.9548796,FALSE,"regulon member"
"Hif1a","F3",10.8903537,FALSE,"regulon member"
"Hif1a","Hspa1a",10.8117413,TRUE,"heat-shock/stress contaminant"
"Hif1a","Hsf1",10.7310453,FALSE,"regulon member"
"Hif1a","Kdm2b",10.7251076,FALSE,"regulon member"
"Hif1a","Nr4a1",10.2439985,FALSE,"regulon member"
"Hif1a","Plaur",9.82270186,FALSE,"regulon member"
"Hif1a","Rgcc",9.47465229,FALSE,"regulon member"
"Hif1a","Hbegf",9.03125921,FALSE,"regulon member"
"Hif1a","Tigar",8.84588213,FALSE,"regulon member"
"Hif1a","Mat2a",8.79326324,FALSE,"regulon member"
"Hif1a","Map3k11",8.75497357,FALSE,"regulon member"
"Hif1a","Kdm6b",8.73982428,FALSE,"regulon member"
"Hif1a","Pdgfb",8.59721986,FALSE,"regulon member"
"Hif1a","Eif4e",8.28793214,FALSE,"regulon member"
"Hif1a","Cd274",8.24783234,FALSE,"regulon member"
"Hif1a","Eif4ebp1",8.17276436,FALSE,"regulon member"
"Hif1a","Cd36",8.08069431,FALSE,"regulon member"
"Hif1a","Tfrc",7.85207599,FALSE,"regulon member"
"Hif1a","Itgb2",7.76554069,FALSE,"regulon member"
"Hif1a","Sdc4",7.75176122,FALSE,"regulon member"
"Hif1a","Gsn",7.74840421,FALSE,"regulon member"
"Hif1a","Ptgs2",7.60821714,FALSE,"regulon member"
"Hif1a","Bhlhe40",7.55695153,FALSE,"regulon member"
"Hif1a","Thbs1",7.24984774,FALSE,"regulon member"
"Hif1a","Hsp90b1",7.23463625,FALSE,"regulon member"
"Hif1a","S100a11",7.10063263,FALSE,"regulon member"
"Hif1a","Muc1",7.03772058,FALSE,"regulon member"
"Hif1a","Ppp1r10",6.96199273,FALSE,"regulon member"
"Hif1a","Lrp1",6.84869392,FALSE,"regulon member"
"Hif1a","Mst1r",6.79789154,FALSE,"regulon member"
"Hif1a","Twist1",6.60200754,FALSE,"regulon member"
"Hif1a","Ccn1",6.54985351,FALSE,"regulon member"
"Hif1a","Kdm5c",6.53026318,FALSE,"regulon member"
"Hif1a","Fscn1",6.46572249,FALSE,"regulon member"
"Hif1a","Hsp90aa1",6.3038171,FALSE,"regulon member"
"Hif1a","Nedd9",6.19323314,FALSE,"regulon member"
"Hif1a","Apex1",6.11666362,FALSE,"regulon member"
"Hif1a","Ppp5c",5.96265591,FALSE,"regulon member"
"Hif1a","Men1",5.78552029,FALSE,"regulon member"
"Hif1a","Nos2",5.51788649,FALSE,"regulon member"
"Hif1a","Bsg",5.34587272,FALSE,"regulon member"
"Hif1a","Msh2",5.32941152,FALSE,"regulon member"
"Hif1a","Reck",5.29012661,FALSE,"regulon member"
"Hif1a","Adm",5.2771674,FALSE,"regulon member"
"Hif1a","Fam162a",5.25882655,FALSE,"regulon member"
"Hif1a","E2f3",5.23054714,FALSE,"regulon member"
"Hif1a","Hdac2",5.08322697,FALSE,"regulon member"
"Hif1a","Pgf",5.0198835,FALSE,"regulon member"
"Hif1a","Mdm2",4.93090001,FALSE,"regulon member"
"Hif1a","Aurka",4.89570384,FALSE,"regulon member"
"Hif1a","Eln",4.77706556,FALSE,"regulon member"
