"tf","axis","contrast","score","padj","sig"
"Hsf1","heatshock","Temp_main",3.20200106,0.0149907187,TRUE
"Hif1a","HIF","Temp_main",5.13626311,1.97940072e-05,TRUE
"Epas1","HIF","Temp_main",4.16592168,0.000890931835,TRUE
"Rela","IFN","Temp_main",5.24945295,1.45013882e-05,TRUE
"Nfkb1","IFN","Temp_main",5.12470586,1.97940072e-05,TRUE
"Stat1","IFN","Temp_main",1.13587066,0.479954826,FALSE
"Stat2","IFN","Temp_main",-1.73438202,0.25360845,FALSE
"Irf3","IFN","Temp_main",-2.27088956,0.105118547,FALSE
"Hsf1","heatshock","WT_heat",2.82557892,0.0338846994,TRUE
"Hif1a","HIF","WT_heat",5.11034559,1.7797704e-05,TRUE
"Epas1","HIF","WT_heat",4.02708406,0.00138142545,TRUE
"Rela","IFN","WT_heat",5.59206501,4.42263896e-06,TRUE
"Nfkb1","IFN","WT_heat",5.48818193,4.50845045e-06,TRUE
"Stat1","IFN","WT_heat",2.01600339,0.161240784,FALSE
"Stat2","IFN","WT_heat",-0.767050591,0.66107532,FALSE
"Irf3","IFN","WT_heat",-1.29130233,0.424170598,FALSE
"Hsf1","heatshock","KO_heat",3.48359222,0.00815604041,TRUE
"Hif1a","HIF","KO_heat",5.02615077,4.74523185e-05,TRUE
"Epas1","HIF","KO_heat",4.19116226,0.00101895134,TRUE
"Rela","IFN","KO_heat",4.77832812,0.000117146392,TRUE
"Nfkb1","IFN","KO_heat",4.63660859,0.000195452171,TRUE
"Stat1","IFN","KO_heat",0.250774409,0.897466283,FALSE
"Stat2","IFN","KO_heat",-2.62905622,0.0558249524,FALSE
"Irf3","IFN","KO_heat",-3.16342362,0.0177163484,TRUE
