"source","score","padj","p_value","axis","sig","direction"
"Irf9",5.98616827907856,1.0433893066926e-06,2.1856807075434e-09,"other",TRUE,"Up"
"Irf3",5.92518669575007,1.0433893066926e-06,3.17139606897447e-09,"IFN",TRUE,"Up"
"Stat2",5.8487093973095,1.10378376904365e-06,5.03244879503185e-09,"IFN",TRUE,"Up"
"Stat1",5.30465364972135,1.87707358224349e-05,1.14107816549756e-07,"IFN",TRUE,"Up"
"Irf2",3.39797316082186,0.0791594093162233,0.000680215697136171,"other",FALSE,"Up"
"Irf1",3.38168906879224,0.0791594093162233,0.000721818322032431,"IFN",FALSE,"Up"
"Usf2",3.31342846646262,0.0843618070116346,0.000923259543982549,"other",FALSE,"Up"
"Srebf1",3.28387908233416,0.0843618070116346,0.00102567546518705,"other",FALSE,"Up"
"Gata3",2.90188734519781,0.271485881240973,0.00371333272214096,"other",FALSE,"Up"
"Srebf2",2.67855791743555,0.388866416726545,0.00740013780201388,"other",FALSE,"Up"
"Usf1",2.66579017082341,0.388866416726545,0.0076870350903059,"other",FALSE,"Up"
"Zfp148",2.62217280936019,0.388866416726545,0.00874383968039572,"other",FALSE,"Up"
"Nfkb1",2.15832256124354,0.597687199255728,0.0309148176858666,"IFN",FALSE,"Up"
"Rela",2.03180109262798,0.630890461725632,0.0421872041275499,"IFN",FALSE,"Up"
"Irf7",0.881016753599741,0.912978395970896,0.378319512894803,"IFN",FALSE,"Up"
"Hif1a",-0.18557966660011,0.974129662814756,0.852776313088122,"HIF",FALSE,"Down"
"Epas1",-0.860323598542533,0.912978395970896,0.389621169982695,"HIF",FALSE,"Down"
"Pitx1",-1.80505235102637,0.804304337923335,0.0710817705218168,"other",FALSE,"Down"
"Dmtf1",-1.87970603259926,0.753076741279291,0.060162916314497,"other",FALSE,"Down"
"Dmap1",-2.06052081293361,0.602328505498866,0.0393618932164913,"other",FALSE,"Down"
"Klf1",-2.07337637547626,0.597687199255728,0.0381502467610039,"other",FALSE,"Down"
"Nfe2l3",-2.07390070555319,0.597687199255728,0.0381015089753428,"other",FALSE,"Down"
"Kdm5a",-2.10611798559902,0.597687199255728,0.0352067368816093,"other",FALSE,"Down"
"Ehf",-2.13164082002042,0.597687199255728,0.0330487383780547,"other",FALSE,"Down"
"Kat2b",-2.23583516389785,0.556530654534268,0.0253737380486748,"other",FALSE,"Down"
"Hsf1",-2.28752996922945,0.514892992664448,0.0221754694706619,"other",FALSE,"Down"
"Meox2",-2.50223546514378,0.389027908897802,0.0123492299377577,"other",FALSE,"Down"
"Mtf2",-2.55462508080796,0.388866416726545,0.0106376831323371,"other",FALSE,"Down"
"Znf331",-2.55753651904743,0.388866416726545,0.010549076910109,"other",FALSE,"Down"
