"target","in_dorothea","in_collectri","t_wt","membership","abs_t","high_t"
"Timp1",TRUE,TRUE,24.9249900286913,"both",24.9249900286913,TRUE
"Sdc1",FALSE,TRUE,22.8929996902441,"collectri_only",22.8929996902441,TRUE
"Abca1",TRUE,TRUE,-18.9943599269988,"both",18.9943599269988,TRUE
"Itga5",FALSE,TRUE,18.4582530987312,"collectri_only",18.4582530987312,TRUE
"Glb1",FALSE,TRUE,17.3885344920755,"collectri_only",17.3885344920755,TRUE
"Lgals3",FALSE,TRUE,16.8033146701733,"collectri_only",16.8033146701733,TRUE
"Bcl2l1",TRUE,TRUE,16.0796092768292,"both",16.0796092768292,TRUE
"Spp1",FALSE,TRUE,15.3649511654676,"collectri_only",15.3649511654676,TRUE
"Ets1",TRUE,FALSE,-14.8339309521686,"dorothea_only",14.8339309521686,TRUE
"Hspa1b",TRUE,FALSE,13.6570974900917,"dorothea_only",13.6570974900917,TRUE
"Bcr",FALSE,TRUE,13.5750369655157,"collectri_only",13.5750369655157,TRUE
"Stat3",FALSE,TRUE,-13.4790869880396,"collectri_only",13.4790869880396,TRUE
"Adora2b",TRUE,TRUE,13.2383986587328,"both",13.2383986587328,TRUE
"Ar",FALSE,TRUE,13.14639338402,"collectri_only",13.14639338402,TRUE
"Slc22a5",FALSE,TRUE,-13.0061095285552,"collectri_only",13.0061095285552,TRUE
"Abcc8",FALSE,TRUE,-12.8288852140129,"collectri_only",12.8288852140129,TRUE
"Cd44",FALSE,TRUE,12.505000321005,"collectri_only",12.505000321005,TRUE
"Pcx",FALSE,TRUE,12.5002699175979,"collectri_only",12.5002699175979,TRUE
"Pak1",FALSE,TRUE,12.3992923863106,"collectri_only",12.3992923863106,TRUE
"Pecam1",FALSE,TRUE,-12.3299572135026,"collectri_only",12.3299572135026,TRUE
"Cdkn1a",TRUE,TRUE,12.3278744148841,"both",12.3278744148841,TRUE
"Sphk1",TRUE,TRUE,12.1468455558043,"both",12.1468455558043,TRUE
"Furin",TRUE,TRUE,11.6903423050384,"both",11.6903423050384,TRUE
"Serpine1",TRUE,TRUE,11.2113044225909,"both",11.2113044225909,TRUE
"Lpin1",FALSE,TRUE,-11.206444522066,"collectri_only",11.206444522066,TRUE
"Ccl4",FALSE,TRUE,11.0280305807477,"collectri_only",11.0280305807477,TRUE
"Eno2",TRUE,TRUE,11.0047832347513,"both",11.0047832347513,TRUE
"Mapk9",FALSE,TRUE,-10.9569604822314,"collectri_only",10.9569604822314,TRUE
"Rora",TRUE,TRUE,10.9548796224002,"both",10.9548796224002,TRUE
"F3",FALSE,TRUE,10.890353700073,"collectri_only",10.890353700073,TRUE
"Hspa1a",TRUE,TRUE,10.8117412630598,"both",10.8117412630598,TRUE
"Nr4a3",TRUE,FALSE,10.798644716223,"dorothea_only",10.798644716223,TRUE
"Hsf1",FALSE,TRUE,10.7310453498021,"collectri_only",10.7310453498021,TRUE
"Kdm2b",FALSE,TRUE,10.7251075942042,"collectri_only",10.7251075942042,TRUE
"Nr4a1",TRUE,TRUE,10.2439985201011,"both",10.2439985201011,TRUE
"Slc29a1",FALSE,TRUE,10.1803237635447,"collectri_only",10.1803237635447,TRUE
"Plaur",TRUE,TRUE,9.82270186219284,"both",9.82270186219284,TRUE
"Hk2",TRUE,TRUE,9.71988286026395,"both",9.71988286026395,TRUE
"Rgcc",FALSE,TRUE,9.47465228696217,"collectri_only",9.47465228696217,TRUE
"Vegfa",TRUE,TRUE,9.39257455459016,"both",9.39257455459016,TRUE
"Itgb1",TRUE,FALSE,9.21862559374428,"dorothea_only",9.21862559374428,TRUE
"Gfpt1",TRUE,FALSE,9.20124103113946,"dorothea_only",9.20124103113946,TRUE
