"source","target","mor","t_wt","contrib","class","rank","legend_class"
"Hif1a","Pdk1",1,-4.15782847557273,-4.15782847557273,"hypoxic HIF core",53,"hypoxic HIF core (repressed)"
"Hif1a","Bnip3l",1,-1.81453925883996,-1.81453925883996,"hypoxic HIF core",100,"hypoxic HIF core (repressed)"
"Hif1a","Bnip3",1,-1.42890798808254,-1.42890798808254,"hypoxic HIF core",108,"hypoxic HIF core (repressed)"
"Hif1a","Car9",1,-1.06121838888087,-1.06121838888087,"hypoxic HIF core",127,"hypoxic HIF core (repressed)"
"Hif1a","Slc2a1",1,6.53352095750106,6.53352095750106,"shared/glycolytic",298,"shared/glycolytic"
"Hif1a","Egln3",1,6.8074920041606,6.8074920041606,"shared/glycolytic",302,"shared/glycolytic"
"Hif1a","Vegfa",1,9.39257455459016,9.39257455459016,"shared/glycolytic",325,"shared/glycolytic"
"Hif1a","Hspa1a",1,10.8117412630598,10.8117412630598,"other",332,"heat-shock/stress"
"Hif1a","Eno2",1,11.0047832347513,11.0047832347513,"other",335,"heat-shock/stress"
"Hif1a","Serpine1",1,11.2113044225909,11.2113044225909,"other",337,"heat-shock/stress"
"Hif1a","Cdkn1a",1,12.3278744148841,12.3278744148841,"other",340,"heat-shock/stress"
"Hif1a","Sdc1",1,22.8929996902441,22.8929996902441,"other",352,"heat-shock/stress"
"Hif1a","Timp1",1,24.9249900286913,24.9249900286913,"other",353,"heat-shock/stress"
