"source","target","t_wt","contrib","module","isoform_attribution","direction"
"Hif1a","Timp1",24.9249900286913,24.9249900286913,"heatshock_stress","non-HIF (stress)","Up"
"Hif1a","Sdc1",22.8929996902441,22.8929996902441,"heatshock_stress","non-HIF (stress)","Up"
"Hif1a","Spp1",15.3649511654676,15.3649511654676,"heatshock_stress","non-HIF (stress)","Up"
"Hif1a","Cdkn1a",12.3278744148841,12.3278744148841,"heatshock_stress","non-HIF (stress)","Up"
"Hif1a","Serpine1",11.2113044225909,11.2113044225909,"heatshock_stress","non-HIF (stress)","Up"
"Hif1a","Eno2",11.0047832347513,11.0047832347513,"heatshock_stress","non-HIF (stress)","Up"
"Hif1a","Hspa1a",10.8117412630598,10.8117412630598,"heatshock_stress","non-HIF (stress)","Up"
"Hif1a","Vegfa",9.39257455459016,9.39257455459016,"shared_angio_glucose","shared HIF1/HIF2","Up"
"Hif1a","Slc2a1",6.53352095750106,6.53352095750106,"shared_angio_glucose","shared HIF1/HIF2","Up"
"Hif1a","Egln3",6.8074920041606,6.8074920041606,"autoreg_feedback","HIF1a-preferential-feedback","Up"
"Hif1a","Car9",-1.06121838888087,-1.06121838888087,"hif1a_hypoxic_core","HIF1a-selective","Down"
"Hif1a","Bnip3",-1.42890798808254,-1.42890798808254,"hif1a_hypoxic_core","HIF1a-selective","Down"
"Hif1a","Bnip3l",-1.81453925883996,-1.81453925883996,"hif1a_hypoxic_core","HIF1a-selective","Down"
"Hif1a","Pdk1",-4.15782847557273,-4.15782847557273,"hif1a_hypoxic_core","HIF1a-selective","Down"
"Hif1a","Itga5",18.4582530987312,18.4582530987312,"other_unclassified","unclassified","Up"
"Hif1a","Glb1",17.3885344920755,17.3885344920755,"other_unclassified","unclassified","Up"
"Hif1a","Lgals3",16.8033146701733,16.8033146701733,"other_unclassified","unclassified","Up"
"Hif1a","Bcl2l1",16.0796092768292,16.0796092768292,"other_unclassified","unclassified","Up"
"Hif1a","Bcr",13.5750369655157,13.5750369655157,"other_unclassified","unclassified","Up"
"Hif1a","Adora2b",13.2383986587328,13.2383986587328,"other_unclassified","unclassified","Up"
"Hif1a","Ar",13.14639338402,13.14639338402,"other_unclassified","unclassified","Up"
"Hif1a","Cd44",12.505000321005,12.505000321005,"other_unclassified","unclassified","Up"
"Hif1a","Pcx",12.5002699175979,12.5002699175979,"other_unclassified","unclassified","Up"
"Hif1a","Pak1",12.3992923863106,12.3992923863106,"other_unclassified","unclassified","Up"
"Hif1a","Sphk1",12.1468455558043,12.1468455558043,"other_unclassified","unclassified","Up"
"Hif1a","Furin",11.6903423050384,11.6903423050384,"other_unclassified","unclassified","Up"
"Hif1a","Ccl4",11.0280305807477,11.0280305807477,"other_unclassified","unclassified","Up"
"Hif1a","Rora",10.9548796224002,10.9548796224002,"other_unclassified","unclassified","Up"
"Hif1a","F3",10.890353700073,10.890353700073,"other_unclassified","unclassified","Up"
"Hif1a","Hsf1",10.7310453498021,10.7310453498021,"other_unclassified","unclassified","Up"
"Hif1a","Kdm2b",10.7251075942042,10.7251075942042,"other_unclassified","unclassified","Up"
"Hif1a","Nr4a1",10.2439985201011,10.2439985201011,"other_unclassified","unclassified","Up"
"Hif1a","Plaur",9.82270186219284,9.82270186219284,"other_unclassified","unclassified","Up"
"Hif1a","Hk2",9.71988286026395,9.71988286026395,"other_unclassified","unclassified","Up"
"Hif1a","Rgcc",9.47465228696217,9.47465228696217,"other_unclassified","unclassified","Up"
"Hif1a","Hbegf",9.03125920758172,9.03125920758172,"other_unclassified","unclassified","Up"
"Hif1a","Tigar",8.84588212600348,8.84588212600348,"other_unclassified","unclassified","Up"
"Hif1a","Mat2a",8.79326323606181,8.79326323606181,"other_unclassified","unclassified","Up"
"Hif1a","Map3k11",8.75497357009651,8.75497357009651,"other_unclassified","unclassified","Up"
"Hif1a","Kdm6b",8.73982428022684,8.73982428022684,"other_unclassified","unclassified","Up"
"Hif1a","Pdgfb",8.59721986328183,8.59721986328183,"other_unclassified","unclassified","Up"
"Hif1a","Eif4e",8.28793214468405,8.28793214468405,"other_unclassified","unclassified","Up"
"Hif1a","Cd274",8.24783233670247,8.24783233670247,"other_unclassified","unclassified","Up"
"Hif1a","Eif4ebp1",8.17276435844034,8.17276435844034,"other_unclassified","unclassified","Up"
"Hif1a","Cd36",8.08069430806098,8.08069430806098,"other_unclassified","unclassified","Up"
"Hif1a","Tfrc",7.85207598565601,7.85207598565601,"other_unclassified","unclassified","Up"
"Hif1a","Itgb2",7.76554069186266,7.76554069186266,"other_unclassified","unclassified","Up"
"Hif1a","Sdc4",7.75176121578575,7.75176121578575,"other_unclassified","unclassified","Up"
"Hif1a","Gsn",7.74840421106114,7.74840421106114,"other_unclassified","unclassified","Up"
"Hif1a","Ptgs2",7.60821713681234,7.60821713681234,"other_unclassified","unclassified","Up"
"Hif1a","Bhlhe40",7.55695152643009,7.55695152643009,"other_unclassified","unclassified","Up"
"Hif1a","Thbs1",7.24984774055891,7.24984774055891,"other_unclassified","unclassified","Up"
"Hif1a","Hsp90b1",7.23463625379693,7.23463625379693,"other_unclassified","unclassified","Up"
"Hif1a","S100a11",7.10063262508495,7.10063262508495,"other_unclassified","unclassified","Up"
"Hif1a","Muc1",7.0377205827393,7.0377205827393,"other_unclassified","unclassified","Up"
"Hif1a","Ppp1r10",6.96199272774724,6.96199272774724,"other_unclassified","unclassified","Up"
"Hif1a","Lrp1",6.84869392028163,6.84869392028163,"other_unclassified","unclassified","Up"
