"tf","regulon_class","target","mor","t_wt","aligned_contrib","is_stress_contaminant"
"Hif1a","promiscuous","Vegfa",1,9.39257455459016,9.39257455459016,FALSE
"Hif1a","promiscuous","Egln3",1,6.8074920041606,6.8074920041606,FALSE
"Hif1a","promiscuous","Slc2a1",1,6.53352095750106,6.53352095750106,FALSE
"Hif1a","promiscuous","Car9",1,-1.06121838888087,-1.06121838888087,FALSE
"Hif1a","promiscuous","Bnip3",1,-1.42890798808254,-1.42890798808254,FALSE
"Hif1a","promiscuous","Bnip3l",1,-1.81453925883996,-1.81453925883996,FALSE
"Hif1a","promiscuous","Pdk1",1,-4.15782847557273,-4.15782847557273,FALSE
"Hif1a","promiscuous","Timp1",1,24.9249900286913,24.9249900286913,TRUE
"Hif1a","promiscuous","Sdc1",1,22.8929996902441,22.8929996902441,TRUE
"Hif1a","promiscuous","Itga5",1,18.4582530987312,18.4582530987312,FALSE
"Hif1a","promiscuous","Glb1",1,17.3885344920755,17.3885344920755,FALSE
"Hif1a","promiscuous","Lgals3",1,16.8033146701733,16.8033146701733,FALSE
"Hif1a","promiscuous","Bcl2l1",1,16.0796092768292,16.0796092768292,FALSE
"Hif1a","promiscuous","Spp1",1,15.3649511654676,15.3649511654676,TRUE
"Hif1a","promiscuous","Bcr",1,13.5750369655157,13.5750369655157,FALSE
"Hif1a","promiscuous","Adora2b",1,13.2383986587328,13.2383986587328,FALSE
"Hif1a","promiscuous","Ar",1,13.14639338402,13.14639338402,FALSE
"Hif1a","promiscuous","Cd44",1,12.505000321005,12.505000321005,FALSE
"Hif1a","promiscuous","Pcx",1,12.5002699175979,12.5002699175979,FALSE
"Hif1a","promiscuous","Pak1",1,12.3992923863106,12.3992923863106,FALSE
"Hif1a","promiscuous","Cdkn1a",1,12.3278744148841,12.3278744148841,TRUE
"Hif1a","promiscuous","Sphk1",1,12.1468455558043,12.1468455558043,FALSE
"Hif1a","promiscuous","Furin",1,11.6903423050384,11.6903423050384,FALSE
"Hif1a","promiscuous","Serpine1",1,11.2113044225909,11.2113044225909,TRUE
"Hif1a","promiscuous","Ccl4",1,11.0280305807477,11.0280305807477,FALSE
"Hif1a","promiscuous","Eno2",1,11.0047832347513,11.0047832347513,TRUE
"Hif1a","promiscuous","Rora",1,10.9548796224002,10.9548796224002,FALSE
"Hif1a","promiscuous","F3",1,10.890353700073,10.890353700073,FALSE
"Hif1a","promiscuous","Hspa1a",1,10.8117412630598,10.8117412630598,TRUE
"Hif1a","promiscuous","Hsf1",1,10.7310453498021,10.7310453498021,FALSE
"Hif1a","promiscuous","Kdm2b",1,10.7251075942042,10.7251075942042,FALSE
"Hif1a","promiscuous","Nr4a1",1,10.2439985201011,10.2439985201011,FALSE
"Hif1a","promiscuous","Plaur",1,9.82270186219284,9.82270186219284,FALSE
"Hif1a","promiscuous","Rgcc",1,9.47465228696217,9.47465228696217,FALSE
"Hif1a","promiscuous","Hbegf",1,9.03125920758172,9.03125920758172,FALSE
"Hif1a","promiscuous","Tigar",1,8.84588212600348,8.84588212600348,FALSE
"Hif1a","promiscuous","Mat2a",1,8.79326323606181,8.79326323606181,FALSE
"Hif1a","promiscuous","Map3k11",1,8.75497357009651,8.75497357009651,FALSE
"Hif1a","promiscuous","Kdm6b",1,8.73982428022684,8.73982428022684,FALSE
"Hif1a","promiscuous","Pdgfb",1,8.59721986328183,8.59721986328183,FALSE
"Hif1a","promiscuous","Eif4e",1,8.28793214468405,8.28793214468405,FALSE
"Hif1a","promiscuous","Cd274",1,8.24783233670247,8.24783233670247,FALSE
"Hif1a","promiscuous","Eif4ebp1",1,8.17276435844034,8.17276435844034,FALSE
"Hif1a","promiscuous","Cd36",1,8.08069430806098,8.08069430806098,FALSE
"Hif1a","promiscuous","Tfrc",1,7.85207598565601,7.85207598565601,FALSE
"Hif1a","promiscuous","Itgb2",1,7.76554069186266,7.76554069186266,FALSE
"Hif1a","promiscuous","Sdc4",1,7.75176121578575,7.75176121578575,FALSE
"Hif1a","promiscuous","Gsn",1,7.74840421106114,7.74840421106114,FALSE
"Hif1a","promiscuous","Ptgs2",1,7.60821713681234,7.60821713681234,FALSE
"Hif1a","promiscuous","Bhlhe40",1,7.55695152643009,7.55695152643009,FALSE
"Hif1a","promiscuous","Thbs1",1,7.24984774055891,7.24984774055891,FALSE
"Hif1a","promiscuous","Hsp90b1",1,7.23463625379693,7.23463625379693,FALSE
"Hif1a","promiscuous","S100a11",1,7.10063262508495,7.10063262508495,FALSE
"Hif1a","promiscuous","Muc1",1,7.0377205827393,7.0377205827393,FALSE
"Hif1a","promiscuous","Ppp1r10",1,6.96199272774724,6.96199272774724,FALSE
"Hif1a","promiscuous","Lrp1",1,6.84869392028163,6.84869392028163,FALSE
"Hif1a","promiscuous","Mst1r",1,6.79789154295383,6.79789154295383,FALSE
"Hif1a","promiscuous","Twist1",1,6.6020075401085,6.6020075401085,FALSE
"Hif1a","promiscuous","Ccn1",1,6.54985351186068,6.54985351186068,FALSE
