"gene","tf","in_regulon","gene_heat_t","tf_heatmain_score","gene_contrib","tf_family"
"Timp1","Hif1a",1,34.9667956450584,5.13626310899169,24.9249900286913,"HIF axis"
"Sdc1","Hif1a",1,31.8805471524107,5.13626310899169,22.8929996902441,"HIF axis"
"Itga5","Hif1a",1,25.6423661286299,5.13626310899169,18.4582530987312,"HIF axis"
"Glb1","Hif1a",1,23.177999891248,5.13626310899169,17.3885344920755,"HIF axis"
"Lgals3","Hif1a",1,24.5416627598424,5.13626310899169,16.8033146701733,"HIF axis"
"Bcl2l1","Hif1a",1,21.9815051784887,5.13626310899169,16.0796092768292,"HIF axis"
"Spp1","Hif1a",1,21.5604773272749,5.13626310899169,15.3649511654676,"HIF axis"
"Bcr","Hif1a",1,18.0259595851548,5.13626310899169,13.5750369655157,"HIF axis"
"Adora2b","Hif1a",1,18.3350333260031,5.13626310899169,13.2383986587328,"HIF axis"
"Ar","Hif1a",1,19.9423456888893,5.13626310899169,13.14639338402,"HIF axis"
"Cd44","Hif1a",1,16.9222666087092,5.13626310899169,12.505000321005,"HIF axis"
"Pcx","Hif1a",1,17.716328096864,5.13626310899169,12.5002699175979,"HIF axis"
"Pak1","Hif1a",1,16.2427678266493,5.13626310899169,12.3992923863106,"HIF axis"
"Cdkn1a","Hif1a",1,18.2908659188984,5.13626310899169,12.3278744148841,"HIF axis"
"Sphk1","Hif1a",1,17.3319051731193,5.13626310899169,12.1468455558043,"HIF axis"
"Furin","Hif1a",1,15.611406576074,5.13626310899169,11.6903423050384,"HIF axis"
"Serpine1","Hif1a",1,17.2744472952486,5.13626310899169,11.2113044225909,"HIF axis"
"Ccl4","Hif1a",1,15.3249189525777,5.13626310899169,11.0280305807477,"HIF axis"
"Eno2","Hif1a",1,14.81234910031,5.13626310899169,11.0047832347513,"HIF axis"
"Rora","Hif1a",1,15.3902312093323,5.13626310899169,10.9548796224002,"HIF axis"
"Timp1","Sp1",1,34.9667956450584,5.29319700646897,24.9249900286913,"housekeeping"
"Sdc1","Sp1",0,31.8805471524107,5.29319700646897,22.8929996902441,"housekeeping"
"Itga5","Sp1",1,25.6423661286299,5.29319700646897,18.4582530987312,"housekeeping"
"Glb1","Sp1",0,23.177999891248,5.29319700646897,17.3885344920755,"housekeeping"
"Lgals3","Sp1",1,24.5416627598424,5.29319700646897,16.8033146701733,"housekeeping"
"Bcl2l1","Sp1",1,21.9815051784887,5.29319700646897,16.0796092768292,"housekeeping"
"Spp1","Sp1",1,21.5604773272749,5.29319700646897,15.3649511654676,"housekeeping"
"Bcr","Sp1",0,18.0259595851548,5.29319700646897,13.5750369655157,"housekeeping"
"Adora2b","Sp1",0,18.3350333260031,5.29319700646897,13.2383986587328,"housekeeping"
"Ar","Sp1",1,19.9423456888893,5.29319700646897,13.14639338402,"housekeeping"
"Cd44","Sp1",1,16.9222666087092,5.29319700646897,12.505000321005,"housekeeping"
"Pcx","Sp1",1,17.716328096864,5.29319700646897,12.5002699175979,"housekeeping"
"Pak1","Sp1",0,16.2427678266493,5.29319700646897,12.3992923863106,"housekeeping"
"Cdkn1a","Sp1",1,18.2908659188984,5.29319700646897,12.3278744148841,"housekeeping"
"Sphk1","Sp1",1,17.3319051731193,5.29319700646897,12.1468455558043,"housekeeping"
"Furin","Sp1",1,15.611406576074,5.29319700646897,11.6903423050384,"housekeeping"
"Serpine1","Sp1",1,17.2744472952486,5.29319700646897,11.2113044225909,"housekeeping"
"Ccl4","Sp1",0,15.3249189525777,5.29319700646897,11.0280305807477,"housekeeping"
"Eno2","Sp1",0,14.81234910031,5.29319700646897,11.0047832347513,"housekeeping"
"Rora","Sp1",1,15.3902312093323,5.29319700646897,10.9548796224002,"housekeeping"
"Timp1","Trp53",0,34.9667956450584,3.22454413965959,24.9249900286913,"stress/senescence"
"Sdc1","Trp53",0,31.8805471524107,3.22454413965959,22.8929996902441,"stress/senescence"
"Itga5","Trp53",0,25.6423661286299,3.22454413965959,18.4582530987312,"stress/senescence"
"Glb1","Trp53",1,23.177999891248,3.22454413965959,17.3885344920755,"stress/senescence"
"Lgals3","Trp53",0,24.5416627598424,3.22454413965959,16.8033146701733,"stress/senescence"
"Bcl2l1","Trp53",1,21.9815051784887,3.22454413965959,16.0796092768292,"stress/senescence"
"Spp1","Trp53",1,21.5604773272749,3.22454413965959,15.3649511654676,"stress/senescence"
"Bcr","Trp53",0,18.0259595851548,3.22454413965959,13.5750369655157,"stress/senescence"
"Adora2b","Trp53",0,18.3350333260031,3.22454413965959,13.2383986587328,"stress/senescence"
"Ar","Trp53",1,19.9423456888893,3.22454413965959,13.14639338402,"stress/senescence"
"Cd44","Trp53",1,16.9222666087092,3.22454413965959,12.505000321005,"stress/senescence"
"Pcx","Trp53",1,17.716328096864,3.22454413965959,12.5002699175979,"stress/senescence"
"Pak1","Trp53",0,16.2427678266493,3.22454413965959,12.3992923863106,"stress/senescence"
"Cdkn1a","Trp53",1,18.2908659188984,3.22454413965959,12.3278744148841,"stress/senescence"
"Sphk1","Trp53",0,17.3319051731193,3.22454413965959,12.1468455558043,"stress/senescence"
"Furin","Trp53",1,15.611406576074,3.22454413965959,11.6903423050384,"stress/senescence"
"Serpine1","Trp53",1,17.2744472952486,3.22454413965959,11.2113044225909,"stress/senescence"
"Ccl4","Trp53",0,15.3249189525777,3.22454413965959,11.0280305807477,"stress/senescence"
"Eno2","Trp53",0,14.81234910031,3.22454413965959,11.0047832347513,"stress/senescence"
"Rora","Trp53",0,15.3902312093323,3.22454413965959,10.9548796224002,"stress/senescence"
"Timp1","Nfkb",1,34.9667956450584,4.81159529401684,24.9249900286913,"NF-kB"
"Sdc1","Nfkb",1,31.8805471524107,4.81159529401684,22.8929996902441,"NF-kB"
"Itga5","Nfkb",0,25.6423661286299,4.81159529401684,18.4582530987312,"NF-kB"
"Glb1","Nfkb",0,23.177999891248,4.81159529401684,17.3885344920755,"NF-kB"
"Lgals3","Nfkb",0,24.5416627598424,4.81159529401684,16.8033146701733,"NF-kB"
"Bcl2l1","Nfkb",1,21.9815051784887,4.81159529401684,16.0796092768292,"NF-kB"
"Spp1","Nfkb",1,21.5604773272749,4.81159529401684,15.3649511654676,"NF-kB"
"Bcr","Nfkb",1,18.0259595851548,4.81159529401684,13.5750369655157,"NF-kB"
"Adora2b","Nfkb",0,18.3350333260031,4.81159529401684,13.2383986587328,"NF-kB"
"Ar","Nfkb",1,19.9423456888893,4.81159529401684,13.14639338402,"NF-kB"
"Cd44","Nfkb",0,16.9222666087092,4.81159529401684,12.505000321005,"NF-kB"
"Pcx","Nfkb",0,17.716328096864,4.81159529401684,12.5002699175979,"NF-kB"
"Pak1","Nfkb",1,16.2427678266493,4.81159529401684,12.3992923863106,"NF-kB"
"Cdkn1a","Nfkb",1,18.2908659188984,4.81159529401684,12.3278744148841,"NF-kB"
"Sphk1","Nfkb",0,17.3319051731193,4.81159529401684,12.1468455558043,"NF-kB"
"Furin","Nfkb",0,15.611406576074,4.81159529401684,11.6903423050384,"NF-kB"
"Serpine1","Nfkb",1,17.2744472952486,4.81159529401684,11.2113044225909,"NF-kB"
"Ccl4","Nfkb",1,15.3249189525777,4.81159529401684,11.0280305807477,"NF-kB"
"Eno2","Nfkb",0,14.81234910031,4.81159529401684,11.0047832347513,"NF-kB"
"Rora","Nfkb",0,15.3902312093323,4.81159529401684,10.9548796224002,"NF-kB"
"Timp1","Jun",1,34.9667956450584,6.06145105202412,24.9249900286913,"AP-1/immediate-early"
"Sdc1","Jun",0,31.8805471524107,6.06145105202412,22.8929996902441,"AP-1/immediate-early"
"Itga5","Jun",1,25.6423661286299,6.06145105202412,18.4582530987312,"AP-1/immediate-early"
"Glb1","Jun",0,23.177999891248,6.06145105202412,17.3885344920755,"AP-1/immediate-early"
"Lgals3","Jun",1,24.5416627598424,6.06145105202412,16.8033146701733,"AP-1/immediate-early"
"Bcl2l1","Jun",1,21.9815051784887,6.06145105202412,16.0796092768292,"AP-1/immediate-early"
"Spp1","Jun",1,21.5604773272749,6.06145105202412,15.3649511654676,"AP-1/immediate-early"
"Bcr","Jun",1,18.0259595851548,6.06145105202412,13.5750369655157,"AP-1/immediate-early"
"Adora2b","Jun",0,18.3350333260031,6.06145105202412,13.2383986587328,"AP-1/immediate-early"
"Ar","Jun",1,19.9423456888893,6.06145105202412,13.14639338402,"AP-1/immediate-early"
"Cd44","Jun",1,16.9222666087092,6.06145105202412,12.505000321005,"AP-1/immediate-early"
"Pcx","Jun",0,17.716328096864,6.06145105202412,12.5002699175979,"AP-1/immediate-early"
"Pak1","Jun",0,16.2427678266493,6.06145105202412,12.3992923863106,"AP-1/immediate-early"
"Cdkn1a","Jun",1,18.2908659188984,6.06145105202412,12.3278744148841,"AP-1/immediate-early"
"Sphk1","Jun",1,17.3319051731193,6.06145105202412,12.1468455558043,"AP-1/immediate-early"
"Furin","Jun",0,15.611406576074,6.06145105202412,11.6903423050384,"AP-1/immediate-early"
"Serpine1","Jun",1,17.2744472952486,6.06145105202412,11.2113044225909,"AP-1/immediate-early"
"Ccl4","Jun",1,15.3249189525777,6.06145105202412,11.0280305807477,"AP-1/immediate-early"
"Eno2","Jun",0,14.81234910031,6.06145105202412,11.0047832347513,"AP-1/immediate-early"
"Rora","Jun",0,15.3902312093323,6.06145105202412,10.9548796224002,"AP-1/immediate-early"
"Timp1","Myc",0,34.9667956450584,1.82785322558679,24.9249900286913,"proliferation/metabolism"
"Sdc1","Myc",0,31.8805471524107,1.82785322558679,22.8929996902441,"proliferation/metabolism"
"Itga5","Myc",0,25.6423661286299,1.82785322558679,18.4582530987312,"proliferation/metabolism"
"Glb1","Myc",1,23.177999891248,1.82785322558679,17.3885344920755,"proliferation/metabolism"
"Lgals3","Myc",0,24.5416627598424,1.82785322558679,16.8033146701733,"proliferation/metabolism"
