"pathway","contrast","score","p_value","significant"
"JAK-STAT","Interaction",16.792135,7.6381266e-63,TRUE
"Hypoxia","Interaction",-2.22914785,0.0258153214,TRUE
"NFkB","Interaction",2.06380862,0.039048955,TRUE
"TNFa","Interaction",-1.72579378,0.0844002286,FALSE
"JAK-STAT","KO_heat",-11.7201094,1.2810033e-31,TRUE
"NFkB","KO_heat",6.38361621,1.76820419e-10,TRUE
"Hypoxia","KO_heat",4.62162782,3.83158234e-06,TRUE
"TNFa","KO_heat",-1.87462622,0.0608589747,FALSE
"NFkB","WT_heat",7.24759451,4.39938441e-13,TRUE
"JAK-STAT","WT_heat",-6.46686417,1.02411655e-10,TRUE
"Hypoxia","WT_heat",4.00981558,6.09905398e-05,TRUE
"TNFa","WT_heat",-2.50044924,0.0124116647,TRUE
