"entity_type","source","axis","contrast","score","p","significant"
"PROGENy","JAK-STAT","IFN","Interaction",16.792135,7.6381266e-63,TRUE
"PROGENy","Hypoxia","HIF","Interaction",-2.22914785,0.0258153214,TRUE
"PROGENy","NFkB","IFN","Interaction",2.06380862,0.039048955,TRUE
"PROGENy","TNFa","IFN","Interaction",-1.72579378,0.0844002286,FALSE
"PROGENy","JAK-STAT","IFN","KO_heat",-11.7201094,1.2810033e-31,TRUE
"PROGENy","NFkB","IFN","KO_heat",6.38361621,1.76820419e-10,TRUE
"PROGENy","Hypoxia","HIF","KO_heat",4.62162782,3.83158234e-06,TRUE
"PROGENy","TNFa","IFN","KO_heat",-1.87462622,0.0608589747,FALSE
"PROGENy","JAK-STAT","IFN","Temp_main",-9.25384017,2.38180703e-20,TRUE
"PROGENy","NFkB","IFN","Temp_main",6.90230618,5.27236922e-12,TRUE
"PROGENy","Hypoxia","HIF","Temp_main",4.3787039,1.20003512e-05,TRUE
"PROGENy","TNFa","IFN","Temp_main",-2.21293463,0.0269135932,TRUE
"PROGENy","NFkB","IFN","WT_heat",7.24759451,4.39938441e-13,TRUE
"PROGENy","JAK-STAT","IFN","WT_heat",-6.46686417,1.02411655e-10,TRUE
"PROGENy","Hypoxia","HIF","WT_heat",4.00981558,6.09905398e-05,TRUE
"PROGENy","TNFa","IFN","WT_heat",-2.50044924,0.0124116647,TRUE
"TF","Epas1","HIF","Interaction",-0.860323599,0.912978396,FALSE
"TF","Epas1","HIF","KO_heat",4.19116226,0.00101895134,TRUE
"TF","Epas1","HIF","Temp_main",4.16592168,0.000890931835,TRUE
"TF","Epas1","HIF","WT_heat",4.02708406,0.00138142545,TRUE
"TF","Hif1a","HIF","Interaction",-0.185579667,0.974129663,FALSE
"TF","Hif1a","HIF","KO_heat",5.02615077,4.74523185e-05,TRUE
"TF","Hif1a","HIF","Temp_main",5.13626311,1.97940072e-05,TRUE
"TF","Hif1a","HIF","WT_heat",5.11034559,1.7797704e-05,TRUE
"TF","Irf1","IFN","Interaction",3.38168907,0.0791594093,FALSE
"TF","Irf1","IFN","KO_heat",-1.71691484,0.267203982,FALSE
"TF","Irf1","IFN","Temp_main",-1.2049164,0.455117574,FALSE
"TF","Irf1","IFN","WT_heat",-0.645512729,0.715388772,FALSE
"TF","Irf3","IFN","Interaction",5.9251867,1.04338931e-06,TRUE
"TF","Irf3","IFN","KO_heat",-3.16342362,0.0177163484,TRUE
"TF","Irf3","IFN","Temp_main",-2.27088956,0.105118547,FALSE
"TF","Irf3","IFN","WT_heat",-1.29130233,0.424170598,FALSE
"TF","Irf7","IFN","Interaction",0.881016754,0.912978396,FALSE
"TF","Irf7","IFN","KO_heat",1.060727,0.526650215,FALSE
"TF","Irf7","IFN","Temp_main",1.23637203,0.447636709,FALSE
"TF","Irf7","IFN","WT_heat",1.38364091,0.389527779,FALSE
"TF","Nfkb1","IFN","Interaction",2.15832256,0.597687199,FALSE
"TF","Nfkb1","IFN","KO_heat",4.63660859,0.000195452171,TRUE
"TF","Nfkb1","IFN","Temp_main",5.12470586,1.97940072e-05,TRUE
"TF","Nfkb1","IFN","WT_heat",5.48818193,4.50845045e-06,TRUE
"TF","Rela","IFN","Interaction",2.03180109,0.630890462,FALSE
"TF","Rela","IFN","KO_heat",4.77832812,0.000117146392,TRUE
"TF","Rela","IFN","Temp_main",5.24945295,1.45013882e-05,TRUE
"TF","Rela","IFN","WT_heat",5.59206501,4.42263896e-06,TRUE
"TF","Stat1","IFN","Interaction",5.30465365,1.87707358e-05,TRUE
"TF","Stat1","IFN","KO_heat",0.250774409,0.897466283,FALSE
"TF","Stat1","IFN","Temp_main",1.13587066,0.479954826,FALSE
"TF","Stat1","IFN","WT_heat",2.01600339,0.161240784,FALSE
"TF","Stat2","IFN","Interaction",5.8487094,1.10378377e-06,TRUE
"TF","Stat2","IFN","KO_heat",-2.62905622,0.0558249524,FALSE
"TF","Stat2","IFN","Temp_main",-1.73438202,0.25360845,FALSE
"TF","Stat2","IFN","WT_heat",-0.767050591,0.66107532,FALSE
