"source","axis","contrast","score","padj","significant"
"Irf9","other","WT_heat",-1.7604793,0.231161913,FALSE
"Irf9","other","KO_heat",-2.5,0.00513335777,TRUE
"Irf9","other","Interaction",2.5,1.04338931e-06,TRUE
"Irf9","other","Temp_main",-2.5,0.0413876448,TRUE
"Irf9","other","Geno_at_39",2.5,7.56318196e-17,TRUE
"Irf9","other","Geno_at_37",2.10266456,0.96184218,FALSE
"Irf9","other","Geno_main",2.5,2.27368544e-11,TRUE
"Stat2","IFN","WT_heat",-0.767050591,0.66107532,FALSE
"Stat2","IFN","KO_heat",-2.5,0.0558249524,FALSE
"Stat2","IFN","Interaction",2.5,1.10378377e-06,TRUE
"Stat2","IFN","Temp_main",-1.73438202,0.25360845,FALSE
"Stat2","IFN","Geno_at_39",2.5,7.56318196e-17,TRUE
"Stat2","IFN","Geno_at_37",2.36009887,0.96184218,FALSE
"Stat2","IFN","Geno_main",2.5,9.9051065e-12,TRUE
"Irf3","IFN","WT_heat",-1.29130233,0.424170598,FALSE
"Irf3","IFN","KO_heat",-2.5,0.0177163484,TRUE
"Irf3","IFN","Interaction",2.5,1.04338931e-06,TRUE
"Irf3","IFN","Temp_main",-2.27088956,0.105118547,FALSE
"Irf3","IFN","Geno_at_39",2.5,1.81227433e-11,TRUE
"Irf3","IFN","Geno_at_37",0.391006626,0.973176048,FALSE
"Irf3","IFN","Geno_main",2.5,1.28886059e-05,TRUE
"Stat1","IFN","WT_heat",2.01600339,0.161240784,FALSE
"Stat1","IFN","KO_heat",0.250774409,0.897466283,FALSE
"Stat1","IFN","Interaction",2.5,1.87707358e-05,TRUE
"Stat1","IFN","Temp_main",1.13587066,0.479954826,FALSE
"Stat1","IFN","Geno_at_39",2.5,1.81227433e-11,TRUE
"Stat1","IFN","Geno_at_37",1.26122103,0.973027706,FALSE
"Stat1","IFN","Geno_main",2.5,7.53178387e-07,TRUE
"Jun","other","WT_heat",2.5,8.4323723e-07,TRUE
"Jun","other","KO_heat",2.5,2.56926426e-06,TRUE
"Jun","other","Interaction",0.0322657458,0.993561341,FALSE
"Jun","other","Temp_main",2.5,9.03804066e-07,TRUE
"Jun","other","Geno_at_39",0.190735002,0.982774172,FALSE
"Jun","other","Geno_at_37",0.174380072,0.997504935,FALSE
"Jun","other","Geno_main",0.237099916,0.971449651,FALSE
"Egr1","other","WT_heat",2.5,4.42263896e-06,TRUE
"Egr1","other","KO_heat",2.5,4.0022472e-05,TRUE
"Egr1","other","Interaction",0.773698962,0.938116003,FALSE
"Egr1","other","Temp_main",2.5,9.96947108e-06,TRUE
"Egr1","other","Geno_at_39",1.33071551,0.805576462,FALSE
"Egr1","other","Geno_at_37",0.464343935,0.973027706,FALSE
"Egr1","other","Geno_main",1.20034812,0.928791879,FALSE
"Fos","other","WT_heat",2.5,4.42263896e-06,TRUE
"Fos","other","KO_heat",2.5,4.0022472e-05,TRUE
"Fos","other","Interaction",0.546679075,0.973690489,FALSE
"Fos","other","Temp_main",2.5,1.08526686e-05,TRUE
"Fos","other","Geno_at_39",-0.434113972,0.97353165,FALSE
"Fos","other","Geno_at_37",-1.24722722,0.973027706,FALSE
"Fos","other","Geno_main",-1.05265017,0.951260333,FALSE
"Rela","IFN","WT_heat",2.5,4.42263896e-06,TRUE
"Rela","IFN","KO_heat",2.5,0.000117146392,TRUE
"Rela","IFN","Interaction",2.03180109,0.630890462,FALSE
"Rela","IFN","Temp_main",2.5,1.45013882e-05,TRUE
"Rela","IFN","Geno_at_39",2.5,0.0343816442,TRUE
"Rela","IFN","Geno_at_37",1.25811162,0.973027706,FALSE
"Rela","IFN","Geno_main",2.5,0.121966794,FALSE
"Stat5a","other","WT_heat",2.5,4.42263896e-06,TRUE
"Stat5a","other","KO_heat",2.5,7.36176741e-05,TRUE
"Stat5a","other","Interaction",1.47451983,0.852301796,FALSE
"Stat5a","other","Temp_main",2.5,1.45013882e-05,TRUE
"Stat5a","other","Geno_at_39",1.40233626,0.805576462,FALSE
"Stat5a","other","Geno_at_37",-0.414441273,0.973027706,FALSE
"Stat5a","other","Geno_main",0.719661857,0.971449651,FALSE
"Nfkb1","IFN","WT_heat",2.5,4.50845045e-06,TRUE
"Nfkb1","IFN","KO_heat",2.5,0.000195452171,TRUE
"Nfkb1","IFN","Interaction",2.15832256,0.597687199,FALSE
"Nfkb1","IFN","Temp_main",2.5,1.97940072e-05,TRUE
"Nfkb1","IFN","Geno_at_39",2.5,0.136955271,FALSE
"Nfkb1","IFN","Geno_at_37",0.452441391,0.973027706,FALSE
"Nfkb1","IFN","Geno_main",2.33148233,0.422033018,FALSE
"Ncoa1","other","WT_heat",2.5,1.04163013e-05,TRUE
"Ncoa1","other","KO_heat",2.5,4.53407527e-05,TRUE
"Ncoa1","other","Interaction",0.188195462,0.974129663,FALSE
"Ncoa1","other","Temp_main",2.5,1.45013882e-05,TRUE
"Ncoa1","other","Geno_at_39",0.98458379,0.928795697,FALSE
"Ncoa1","other","Geno_at_37",0.870478522,0.973027706,FALSE
"Ncoa1","other","Geno_main",1.20603261,0.928791879,FALSE
"Sp1","other","WT_heat",2.5,1.04163013e-05,TRUE
"Sp1","other","KO_heat",2.5,4.48456226e-05,TRUE
"Sp1","other","Interaction",0.0345942733,0.993561341,FALSE
"Sp1","other","Temp_main",2.5,1.45013882e-05,TRUE
"Sp1","other","Geno_at_39",-0.347363949,0.97573133,FALSE
"Sp1","other","Geno_at_37",-0.445588635,0.973027706,FALSE
"Sp1","other","Geno_main",-0.509032994,0.971449651,FALSE
"Nfkb","other","WT_heat",2.5,1.21957481e-05,TRUE
"Nfkb","other","KO_heat",2.5,0.000747662269,TRUE
"Nfkb","other","Interaction",2.5,0.389027909,FALSE
"Nfkb","other","Temp_main",2.5,8.27105293e-05,TRUE
"Nfkb","other","Geno_at_39",2.5,0.132555687,FALSE
"Nfkb","other","Geno_at_37",0.00758204915,0.997504935,FALSE
"Nfkb","other","Geno_main",2.09422704,0.61164508,FALSE
"Hoxd3","other","WT_heat",2.5,1.32005535e-05,TRUE
"Hoxd3","other","KO_heat",2.5,4.53407527e-05,TRUE
"Hoxd3","other","Interaction",-0.0322836798,0.993561341,FALSE
"Hoxd3","other","Temp_main",2.5,1.64662745e-05,TRUE
"Hoxd3","other","Geno_at_39",1.27948002,0.836006319,FALSE
"Hoxd3","other","Geno_at_37",1.51084759,0.96184218,FALSE
"Hoxd3","other","Geno_main",1.79633384,0.829060071,FALSE
"Hif1a","HIF","WT_heat",2.5,1.7797704e-05,TRUE
"Hif1a","HIF","KO_heat",2.5,4.74523185e-05,TRUE
"Hif1a","HIF","Interaction",-0.185579667,0.974129663,FALSE
"Hif1a","HIF","Temp_main",2.5,1.97940072e-05,TRUE
