"source","contrast","score","p_value","padj"
"JAK-STAT","Interaction",16.792135,7.6381266e-63,1.06933772e-61
"Androgen","Interaction",2.39122688,0.016801515,0.117610605
"Hypoxia","Interaction",-2.22914785,0.0258153214,0.1204715
"NFkB","Interaction",2.06380862,0.039048955,0.136671342
"WNT","Interaction",1.82424913,0.0681295845,0.177188057
"TNFa","Interaction",-1.72579378,0.0844002286,0.177188057
"EGFR","Interaction",1.70294573,0.0885940286,0.177188057
"Estrogen","Interaction",1.40243462,0.160801287,0.281402252
"Trail","Interaction",1.28404853,0.199140105,0.309773497
"p53","Interaction",-0.468382409,0.639516337,0.895322871
"MAPK","Interaction",-0.378214309,0.705275479,0.897623337
"PI3K","Interaction",0.198643136,0.842543962,0.982967956
"TGFb","Interaction",0.108555456,0.913556201,0.983829755
"VEGF","Interaction",-0.00278142243,0.997780777,0.997780777
