"source","contrast","score","p_value","padj"
"JAK-STAT","KO_heat",-11.7201094,1.2810033e-31,1.79340462e-30
"PI3K","KO_heat",7.90568037,2.80453983e-15,1.96317788e-14
"MAPK","KO_heat",6.59546053,4.3472032e-11,2.02869483e-10
"NFkB","KO_heat",6.38361621,1.76820419e-10,6.18871467e-10
"Hypoxia","KO_heat",4.62162782,3.83158234e-06,1.07284305e-05
"EGFR","KO_heat",4.54461048,5.5364561e-06,1.29183976e-05
"VEGF","KO_heat",4.29966194,1.71882497e-05,3.43764993e-05
"TGFb","KO_heat",3.62010435,0.000295223688,0.000516641454
"Estrogen","KO_heat",2.70768835,0.00678121703,0.0105485598
"WNT","KO_heat",-2.5350379,0.0112511993,0.0157516791
"TNFa","KO_heat",-1.87462622,0.0608589747,0.0774568769
"Trail","KO_heat",-1.00823044,0.313356254,0.365582296
"Androgen","KO_heat",-0.349398983,0.726793539,0.782700734
"p53","KO_heat",-0.212798951,0.831485988,0.831485988
