"source","contrast","score","p_value","padj"
"Jun","KO_heat",5.89085213,3.90465693e-09,2.56926426e-06
"Egr1","KO_heat",5.26581217,1.41037646e-07,4.0022472e-05
"Fos","KO_heat",5.21823032,1.82473277e-07,4.0022472e-05
"Sp1","KO_heat",5.14324847,2.72617767e-07,4.48456226e-05
"Hoxd3","KO_heat",5.06437588,4.13441514e-07,4.53407527e-05
"Ncoa1","KO_heat",5.07574569,3.89496083e-07,4.53407527e-05
"Hif1a","KO_heat",5.02615077,5.04811899e-07,4.74523185e-05
"Jund","KO_heat",4.94173065,7.80682388e-07,6.42111264e-05
"Stat5a","KO_heat",4.89182799,1.00692867e-06,7.36176741e-05
"Rela","KO_heat",4.77832812,1.78034031e-06,0.000117146392
"Hsf2","KO_heat",4.70945705,2.50072037e-06,0.000149588546
"Nfkb1","KO_heat",4.63660859,3.56447728e-06,0.000195452171
"Runx2","KO_heat",4.39051203,1.13673475e-05,0.00056784978
"Smad3","KO_heat",4.3772251,1.20819102e-05,0.00056784978
"Irf5","KO_heat",4.33780343,1.44630032e-05,0.000634443738
"Ep300","KO_heat",4.3197809,1.56949242e-05,0.000645453759
"Nfkb","KO_heat",4.27369378,1.93165024e-05,0.000747662269
"Epas1","KO_heat",4.19116226,2.78740488e-05,0.00101895134
"Ssrp1","KO_heat",4.11869214,3.82585165e-05,0.00132495283
"Rbpj","KO_heat",4.07418371,4.63570052e-05,0.00152514547
"Rel","KO_heat",4.01800099,5.89121889e-05,0.00176890089
"Sp3","KO_heat",4.01708017,5.9142583e-05,0.00176890089
"Stat3","KO_heat",3.94183376,8.11406457e-05,0.00232132804
"Ap1","KO_heat",3.83341765,0.000126768434,0.00333654518
"Ncoa2","KO_heat",3.83584083,0.000125525819,0.00333654518
"Foxo3","KO_heat",-3.82063597,0.000133517078,0.00337900912
"Atf2","KO_heat",3.71051195,0.000207409925,0.00503552876
"Dmtf1","KO_heat",3.67598562,0.000237562593,0.00503552876
"Elf4","KO_heat",3.69979278,0.000216363146,0.00503552876
