"source","contrast","score","p_value","padj"
"JAK-STAT","Temp_main",-9.25384017,2.38180703e-20,3.33452984e-19
"PI3K","Temp_main",8.15650162,3.65396524e-16,2.55777567e-15
"NFkB","Temp_main",6.90230618,5.27236922e-12,2.46043897e-11
"MAPK","Temp_main",6.71436434,1.94044549e-11,6.79155921e-11
"EGFR","Temp_main",4.95269026,7.38012934e-07,2.06643622e-06
"VEGF","Temp_main",4.41766916,1.00303779e-05,2.3404215e-05
"Hypoxia","Temp_main",4.3787039,1.20003512e-05,2.40007025e-05
"TGFb","Temp_main",3.73788082,0.000186103398,0.000325680946
"Estrogen","Temp_main",3.01523988,0.00257103738,0.00399939149
"WNT","Temp_main",-2.30187606,0.0213525618,0.0298935865
"TNFa","Temp_main",-2.21293463,0.0269135932,0.034253664
"Trail","Temp_main",-0.822728255,0.410672521,0.479117941
"p53","Temp_main",-0.29646115,0.766881063,0.825871914
"Androgen","Temp_main",0.0381598263,0.969560639,0.969560639
