"source","contrast","score","p_value","padj"
"Jun","Temp_main",6.06145105,1.37356241e-09,9.03804066e-07
"Egr1","Temp_main",5.54191188,3.03023437e-08,9.96947108e-06
"Fos","Temp_main",5.4552984,4.94802522e-08,1.08526686e-05
"Ncoa1","Temp_main",5.24929183,1.54270088e-07,1.45013882e-05
"Rela","Temp_main",5.24945295,1.54135418e-07,1.45013882e-05
"Sp1","Temp_main",5.29319701,1.21485159e-07,1.45013882e-05
"Stat5a","Temp_main",5.27368752,1.35122803e-07,1.45013882e-05
"Hoxd3","Temp_main",5.20100597,2.00197866e-07,1.64662745e-05
"Hif1a","Temp_main",5.13626311,2.82928836e-07,1.97940072e-05
"Nfkb1","Temp_main",5.12470586,3.00820779e-07,1.97940072e-05
"Jund","Temp_main",5.10057669,3.41764378e-07,2.04437237e-05
"Nfkb","Temp_main",4.81159529,1.50839871e-06,8.27105293e-05
"Runx2","Temp_main",4.71137014,2.47738153e-06,0.000125393619
"Hsf2","Temp_main",4.62286173,3.80886169e-06,0.000179016499
"Rel","Temp_main",4.56266385,5.08137265e-06,0.00022290288
"Smad3","Temp_main",4.51146199,6.47547167e-06,0.000266303772
"Ep300","Temp_main",4.45894571,8.28192666e-06,0.000320559279
"Rbpj","Temp_main",4.36719592,1.26494574e-05,0.000462407941
"Irf5","Temp_main",4.31465403,1.60632527e-05,0.000556295804
"Ssrp1","Temp_main",4.28765077,1.81432347e-05,0.00059691242
"Sp3","Temp_main",4.23916452,2.25375932e-05,0.000706177919
"Stat3","Temp_main",4.22317985,2.41961817e-05,0.000723685799
"Epas1","Temp_main",4.16592168,3.11419942e-05,0.000890931835
"Ap1","Temp_main",4.04581644,5.23400934e-05,0.00143499089
"Ncoa2","Temp_main",4.01743773,5.90530191e-05,0.00155427546
"Hoxb7","Temp_main",3.9850761,6.77016256e-05,0.00171337191
"Atf2","Temp_main",3.95767107,7.59498138e-05,0.00185092509
"Aip","Temp_main",-3.72033662,0.000199510578,0.0042857565
"Foxo3","Temp_main",-3.72215718,0.000198078198,0.0042857565
