"source","contrast","score","p_value","padj"
"PI3K","WT_heat",8.19230775,2.71792078e-16,3.80508909e-15
"NFkB","WT_heat",7.24759451,4.39938441e-13,3.07956909e-12
"MAPK","WT_heat",6.65382577,2.93091948e-11,1.36776243e-10
"JAK-STAT","WT_heat",-6.46686417,1.02411655e-10,3.58440793e-10
"EGFR","WT_heat",5.23734897,1.64576814e-07,4.60815079e-07
"VEGF","WT_heat",4.41872348,9.98162714e-06,2.32904633e-05
"Hypoxia","WT_heat",4.00981558,6.09905398e-05,0.00012198108
"TGFb","WT_heat",3.75720133,0.000172320362,0.000301560633
"Estrogen","WT_heat",3.24930109,0.00115883251,0.00180262836
"TNFa","WT_heat",-2.50044924,0.0124116647,0.0173763306
"WNT","WT_heat",-1.9995521,0.045562384,0.0579884887
"Trail","WT_heat",-0.609655356,0.542097178,0.632446708
"Androgen","WT_heat",0.43549512,0.66320786,0.708119302
"p53","WT_heat",-0.374388543,0.708119302,0.708119302
