"source","contrast","score","p_value","padj"
"Jun","WT_heat",6.07261671,1.28151555e-09,8.4323723e-07
"Egr1","WT_heat",5.67579848,1.39986425e-08,4.42263896e-06
"Fos","WT_heat",5.55136501,2.87106545e-08,4.42263896e-06
"Rela","WT_heat",5.59206501,2.27365142e-08,4.42263896e-06
"Stat5a","WT_heat",5.52373633,3.36066791e-08,4.42263896e-06
"Nfkb1","WT_heat",5.48818193,4.11104904e-08,4.50845045e-06
"Ncoa1","WT_heat",5.28558185,1.26641961e-07,1.04163013e-05
"Sp1","WT_heat",5.3040085,1.14511472e-07,1.04163013e-05
"Nfkb","WT_heat",5.23485404,1.66811144e-07,1.21957481e-05
"Hoxd3","WT_heat",5.2006174,2.00616314e-07,1.32005535e-05
"Hif1a","WT_heat",5.11034559,3.24578189e-07,1.7797704e-05
"Jund","WT_heat",5.12578022,2.99112537e-07,1.7797704e-05
"Rel","WT_heat",4.99963882,5.79314036e-07,2.93222028e-05
"Runx2","WT_heat",4.91389739,9.00011064e-07,4.230052e-05
"Rbpj","WT_heat",4.5504044,5.38629909e-06,0.000236278987
"Smad3","WT_heat",4.52734303,6.00801111e-06,0.000247079457
"Ep300","WT_heat",4.48132395,7.45995962e-06,0.000288744319
"Hsf2","WT_heat",4.40849777,1.04641189e-05,0.000379839445
"Stat3","WT_heat",4.39828921,1.09680083e-05,0.000379839445
"Sp3","WT_heat",4.35284549,1.35059583e-05,0.000437903667
"Ssrp1","WT_heat",4.3453405,1.39756489e-05,0.000437903667
"Hoxb7","WT_heat",4.18960487,2.80658639e-05,0.000839424474
"Irf5","WT_heat",4.17393132,3.00674527e-05,0.000860190602
"Ap1","WT_heat",4.15477626,3.26980848e-05,0.00089647249
"Atf2","WT_heat",4.10479795,4.06300235e-05,0.00106938222
"Ncoa2","WT_heat",4.09546748,4.23001703e-05,0.00107051969
"Epas1","WT_heat",4.02708406,5.66846309e-05,0.00138142545
"Smad1","WT_heat",3.89602504,9.81078121e-05,0.00230553359
"Tcf7l2","WT_heat",3.87328952,0.000107723637,0.00244421217
