"arm","pathway_id","pathway_name","contrast","nes","padj","set_size"
"Interferon and inflammatory sets","HALLMARK_INTERFERON_ALPHA_RESPONSE","Interferon-alpha Response","Interaction",3.14455856,2.64886572e-24,95
"Interferon and inflammatory sets","HALLMARK_INTERFERON_GAMMA_RESPONSE","Interferon-gamma Response","Interaction",2.82535921,4.94867124e-22,185
"Interferon and inflammatory sets","HALLMARK_INFLAMMATORY_RESPONSE","Inflammatory Response","Interaction",1.46896515,0.0519643379,167
"Interferon and inflammatory sets","HALLMARK_IL6_JAK_STAT3_SIGNALING","IL-6/JAK/STAT3 Signaling","Interaction",1.43878497,0.112721778,78
"Interferon and inflammatory sets","HALLMARK_ALLOGRAFT_REJECTION","Allograft Rejection","Interaction",1.31876263,0.130564732,183
"Hypoxia and metabolic sets","HALLMARK_HYPOXIA","Hypoxia","Interaction",-1.27036841,0.169394806,171
"Hypoxia and metabolic sets","HALLMARK_GLYCOLYSIS","Glycolysis","Interaction",-1.1398167,0.384840218,174
"Hypoxia and metabolic sets","HALLMARK_OXIDATIVE_PHOSPHORYLATION","Oxidative Phosphorylation","Interaction",-1.12875102,0.384840218,196
"Interferon and inflammatory sets","HALLMARK_TNFA_SIGNALING_VIA_NFKB","TNF-alpha Signaling via NF-kappaB","Interaction",1.0091686,0.697817646,189
"Hypoxia and metabolic sets","HALLMARK_MTORC1_SIGNALING","Mtorc1 Signaling","Interaction",-0.887279805,0.924211045,195
"Interferon and inflammatory sets","HALLMARK_IL2_STAT5_SIGNALING","IL-2/STAT5 Signaling","Interaction",0.785104485,0.997453794,197
"Interferon and inflammatory sets","HALLMARK_INTERFERON_ALPHA_RESPONSE","Interferon-alpha Response","KO_heat",-2.52172421,7.98479215e-12,95
"Interferon and inflammatory sets","HALLMARK_TNFA_SIGNALING_VIA_NFKB","TNF-alpha Signaling via NF-kappaB","KO_heat",2.2892655,7.98479215e-12,189
"Interferon and inflammatory sets","HALLMARK_INTERFERON_GAMMA_RESPONSE","Interferon-gamma Response","KO_heat",-2.20130507,1.67451556e-10,185
"Interferon and inflammatory sets","HALLMARK_IL2_STAT5_SIGNALING","IL-2/STAT5 Signaling","KO_heat",2.07432245,1.70060158e-08,197
"Hypoxia and metabolic sets","HALLMARK_HYPOXIA","Hypoxia","KO_heat",1.94796926,2.48384213e-06,171
"Interferon and inflammatory sets","HALLMARK_INFLAMMATORY_RESPONSE","Inflammatory Response","KO_heat",1.76768803,0.000139407602,167
"Hypoxia and metabolic sets","HALLMARK_GLYCOLYSIS","Glycolysis","KO_heat",1.58335091,0.00196807426,174
"Hypoxia and metabolic sets","HALLMARK_MTORC1_SIGNALING","Mtorc1 Signaling","KO_heat",1.42596696,0.0120267153,195
"Interferon and inflammatory sets","HALLMARK_ALLOGRAFT_REJECTION","Allograft Rejection","KO_heat",1.30440838,0.0492389663,183
"Hypoxia and metabolic sets","HALLMARK_OXIDATIVE_PHOSPHORYLATION","Oxidative Phosphorylation","KO_heat",-1.187701,0.168884097,196
"Interferon and inflammatory sets","HALLMARK_IL6_JAK_STAT3_SIGNALING","IL-6/JAK/STAT3 Signaling","KO_heat",-1.02136321,0.488665438,78
"Interferon and inflammatory sets","HALLMARK_TNFA_SIGNALING_VIA_NFKB","TNF-alpha Signaling via NF-kappaB","Temp_main",2.27077909,9.86629791e-12,189
"Interferon and inflammatory sets","HALLMARK_IL2_STAT5_SIGNALING","IL-2/STAT5 Signaling","Temp_main",2.08423158,4.28491231e-08,197
"Interferon and inflammatory sets","HALLMARK_INTERFERON_ALPHA_RESPONSE","Interferon-alpha Response","Temp_main",-2.21940061,9.92933221e-08,95
"Interferon and inflammatory sets","HALLMARK_INTERFERON_GAMMA_RESPONSE","Interferon-gamma Response","Temp_main",-1.96430767,8.4818422e-07,185
"Hypoxia and metabolic sets","HALLMARK_HYPOXIA","Hypoxia","Temp_main",1.94045495,1.66791122e-06,171
"Interferon and inflammatory sets","HALLMARK_INFLAMMATORY_RESPONSE","Inflammatory Response","Temp_main",1.79884753,6.00110077e-05,167
"Hypoxia and metabolic sets","HALLMARK_GLYCOLYSIS","Glycolysis","Temp_main",1.61850521,0.00136740116,174
"Hypoxia and metabolic sets","HALLMARK_MTORC1_SIGNALING","Mtorc1 Signaling","Temp_main",1.42716201,0.0117556175,195
"Interferon and inflammatory sets","HALLMARK_ALLOGRAFT_REJECTION","Allograft Rejection","Temp_main",1.30999413,0.0501222494,183
"Hypoxia and metabolic sets","HALLMARK_OXIDATIVE_PHOSPHORYLATION","Oxidative Phosphorylation","Temp_main",-1.23664462,0.104089004,196
