"source_label","pathway_id","pathway_name","contrast","nes","padj","set_size"
"Lombardi-2022
(48-gene published HIF consensus)","Lombardi2022_HIF","Lombardi2022 HIF","WT_heat",2.29784328,1.58513112e-09,100
"Lombardi-2022
(48-gene published HIF consensus)","Lombardi2022_HIF","Lombardi2022 HIF","KO_heat",2.359745,1.21513998e-10,100
"Lombardi-2022
(48-gene published HIF consensus)","Lombardi2022_HIF","Lombardi2022 HIF","Interaction",-0.907706815,0.669482021,100
"Lombardi-2022
(48-gene published HIF consensus)","Lombardi2022_HIF","Lombardi2022 HIF","Geno_at_39",-1.47444059,0.0121195039,100
"Lombardi-2022
(48-gene published HIF consensus)","Lombardi2022_HIF","Lombardi2022 HIF","Geno_at_37",-0.956459238,0.546947768,100
"Lombardi-2022
(48-gene published HIF consensus)","Lombardi2022_HIF","Lombardi2022 HIF","Temp_main",2.31990896,1.84039531e-10,100
"Lombardi-2022
(48-gene published HIF consensus)","Lombardi2022_HIF","Lombardi2022 HIF","Geno_main",-1.53652783,0.0057651775,100
"Hallmark HYPOXIA
(MSigDB canonical)","HALLMARK_HYPOXIA","Hypoxia","Geno_at_37",1.00609733,0.69107693,171
"Hallmark HYPOXIA
(MSigDB canonical)","HALLMARK_HYPOXIA","Hypoxia","Geno_at_39",-1.04748813,0.509232009,171
"Hallmark HYPOXIA
(MSigDB canonical)","HALLMARK_HYPOXIA","Hypoxia","Geno_main",0.904939398,0.761244512,171
"Hallmark HYPOXIA
(MSigDB canonical)","HALLMARK_HYPOXIA","Hypoxia","Interaction",-1.27036841,0.169394806,171
"Hallmark HYPOXIA
(MSigDB canonical)","HALLMARK_HYPOXIA","Hypoxia","KO_heat",1.94796926,2.48384213e-06,171
"Hallmark HYPOXIA
(MSigDB canonical)","HALLMARK_HYPOXIA","Hypoxia","Temp_main",1.94045495,1.66791122e-06,171
"Hallmark HYPOXIA
(MSigDB canonical)","HALLMARK_HYPOXIA","Hypoxia","WT_heat",1.90778685,4.1639519e-06,171
