"contrast","database","pathway_id","pathway_name","direction","nes","pvalue","padj","padj_pooled","set_size","n_tests_in_db","n_tests_pooled","sig_before_in_db","sig_after_in_db","sig_lost_in_db","core_enrichment"
"WT_heat","Hallmark","HALLMARK_TNFA_SIGNALING_VIA_NFKB","TNF-alpha Signaling via NF-kappaB","Up",2.36401715,1.10991002e-14,5.54955009e-13,5.31313927e-11,189,50,4787,25,19,6,"Plek/Plk2/Cebpb/Fosl2/Olr1/Gfpt2/Tnfaip8/Ehd1/Cd44/Gch1/Cdkn1a/Cd80/Sphk1/Inhba/Nfkb1/Nr4a2/Map2k3/Serpine1/Ccl4/F3/Nr4a3/Ier3/Il23a/Ccl20/Nr4a1/Dusp5/Il1a/Fosl1/Plaur/Rel/Dennd5a/Vegfa/Atp2b1/Nfkb2/Hbegf/Kdm6b/Nfat5/Egr2/Btg3/Msc/Csf2/Yrdc/Gpr183/Sdc4/Ptgs2/Bhlhe40/Egr3/Trip10/Rcan1/Cd83/Cflar/Tnfsf9/Egr1/Tnfrsf9/Klf4/Ccn1/Traf1/Smad3/Areg/Nfkbie/Dusp4/Dram1/Sik1/Jag1/Cxcl2/Litaf/Ifih1/Dusp1/Atf3/Marcks/Serpinb2/Ccl5/Dusp2/Eif1/Plau/Ifngr2/Il7r/Gem/Tnf/Lif/Ets2"
"WT_heat","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION","Positive Regulation of Cell Population Proliferation","Up",2.02250794,4.03020675e-13,9.62816393e-10,9.64629986e-10,369,2389,4787,546,508,38,"Timp1/Itgav/Epcam/Bcl2l1/Pdcd1lg2/Lta/Aldh1a2/Fosl2/Jak2/Fasl/Ar/Pak1/Cdkn1a/Rbpj/Cd80/Sphk1/Slamf1/Il9/Egfr/Il2/Cd70/F3/Nr4a3/Tgm1/Il23a/Tnfrsf4/Nr4a1/Xbp1/Il1a/Fosl1/Bst2/Slc7a1/Notch3/Vegfa/Itgb1/Acvrl1/Avpr1a/Hbegf/Cd38/Cdon/Cd40lg/Pdgfb/Nop2/Cdk6/Odc1/Adam17/Csf2/Cd274/Bmpr1a/Ccnd2/Tfrc/Il12rb1/Gpr183/Nlgn2/Hif1a/Egr3/Thbs1/Cflar/Tspo/Htr1b/Tnfsf9/Ebi3/Lamc2/Egr1/Rhog/Pdgfa/Lamc1/Sertad1/Ccn1/Klf5/Nrp2/Areg/Hdac1/Nrp1/Gcnt2/Grk5/Tiam1/Notch2/Ntrk3/Sp1/Tipin/Ppard/Nf1/Adm/E2f3/Lhx2/Crip2/Hdac2/Rara/Ecm1/Pgf/Ifng/Mdm2/Sdcbp/Cd74/Atf3/Cdk1/Il4/Pim1/Cul4a/Fgfr3/Ccl5/Actb/Tpd52/Cav2/Il7r/Tgfb1/Hras/Tnf/Lif/Prkch"
"WT_heat","GO_BP","GOBP_EPITHELIUM_DEVELOPMENT","Epithelium Development","Up",1.99203909,1.24960715e-12,1.49265574e-09,1.99395648e-09,389,2389,4787,546,508,38,"Gja5/C3/Itga5/Ophn1/Lgals3/Itgav/Epcam/Ctsz/Anxa4/Cebpb/Aldh1a2/Fosl2/Perp/Jak2/Tnfsf11/Epha2/Irf6/Sfn/Bcr/Plod3/Ar/Plxnb2/Cd44/Actg1/Pak1/Itgb5/Cdkn1a/Rbpj/Ret/Inhba/Egfr/Serpine1/Bdh2/Dab2/Tgm1/Etv4/Xbp1/Vegfa/Itgb1/Acvrl1/Hbegf/Kdm6b/Spred2/Etv5/Ctsb/Pdgfb/Wdr1/Cdk6/Adam17/Ipo7/Bmpr1a/Basp1/Sdc4/Zfp36l1/Nup50/Plec/Cldn4/Hif1a/Nfe2l1/Srf/Lats1/Id1/Pdgfa/Klf4/Gstk1/Klf5/Smad3/Fst/Areg/Hdac1/Nrp1/Pafah1b1/E2f4/Edf1/Notch2/Jag1/Nf2/Ntrk3/Cnn3/Taf10/Spint2/Bsg/Nf1/Krt17/Adm/Lhx2/Sos1/Hdac2/Rara/Ext1/Ifng/Vcl/Gpat4/Bcl10/Tgm2/Marcks/Cdk1/Acadvl/Errfi1/Actb/Rock1/Acvr1/Tgfb1/Tnf/Lif/Prkch/Ptch1/Flnb/Ezr/Myd88/Plk4/Akt2/Lsr/Nphp1/Il13/Tmed2"
"WT_heat","GO_MF","GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY","Signaling Receptor Regulator Activity","Up",2.22469902,4.20636957e-12,1.62365865e-09,5.03397278e-09,174,386,4787,64,64,0,"Timp1/C3/Lgals3/Pdcd1lg2/Spp1/Lta/Jak2/Tnfsf11/Fasl/Cd80/Inhba/Il9/Tnfrsf11b/Ccl22/Il2/Ccl4/Cd70/Hspa1a/Il23a/Ccl20/Il1a/Vegfa/Clu/Hbegf/Cd40lg/Pdgfb/Csf2/Igfbp7/Cd274/Pvr/Tnfsf9/Ebi3/Pdgfa/Lamc1/Cd48/Ccl17/Fst/Areg/Jag1/Cxcl2/Adm/Pgf/Ifng/Il4/Ccl5/Plau/Lgals1/Tgfb1/Tnf/Lif/Stc2/Sema3b/Il13/Cxcl16/Il11"
"WT_heat","GO_MF","GOMF_CYTOKINE_ACTIVITY","Cytokine Activity","Up",2.48662436,1.30674783e-11,2.52202332e-09,1.25108037e-08,77,386,4787,64,64,0,"Timp1/C3/Spp1/Lta/Tnfsf11/Fasl/Inhba/Il9/Tnfrsf11b/Ccl22/Il2/Ccl4/Il23a/Ccl20/Il1a/Vegfa/Cd40lg/Csf2/Tnfsf9/Ebi3/Ccl17/Areg/Cxcl2/Ifng/Il4/Ccl5/Tgfb1/Tnf/Lif/Il13/Cxcl16/Il11"
"WT_heat","Hallmark","HALLMARK_IL2_STAT5_SIGNALING","IL-2/STAT5 Signaling","Up",2.08853169,7.36847917e-10,1.84211979e-08,2.35817855e-07,197,50,4787,25,19,6,"Galm/Serpinb6a/Fah/Itgav/Myo1c/Bcl2l1/Ctsz/Spp1/Anxa4/Ptger2/Ncs1/Tnfsf11/Irf6/Glipr2/Scn9a/Cd44/Rnh1/Furin/Batf3/Rora/Tnfrsf4/Ccr4/Etv4/Xbp1/Eomes/Hk2/Aplp1/Dennd5a/Irf8/Spred2/Cdcp1/Plin2/Nop2/Praf2/Odc1/Csf2/Lrrc8c/Ccnd2/Rgs16/Serpinc1/Il1r2/Bhlhe40/Plec/Plscr1/Cd83/Muc1/Ahnak/Tnfrsf9/Ckap4/Map6/P4ha1/Cd48/Slc1a5/Traf1/Gabarapl1/Nrp1/Tiam1/Umps/Gpr83/Mapkapk2/Alcam/St3gal4/Batf/Il1rl1/Ecm1/Pus1/Tgm2/Tnfrsf1b/Plagl1/Rragd/Pim1/Ndrg1/Cyfip1/Enpp1/Lif/Prkch/Il18r1/Ptch1/Irf4"
"WT_heat","WikiPathways","WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS","Overview of Proinflammatory and Profibrotic Mediators","Up",2.50545137,4.85385173e-11,2.02405617e-08,3.31934118e-08,48,417,4787,51,57,-6,"Spp1/Lta/Nfkb1/Il9/Ccl22/Il2/Ccl4/Il23a/Ccl20/Il1a/Vegfa/Csf2/Ebi3/Ccl17/Areg/Cxcl2/Ifng/Il4/Ccl5/Tgfb1/Tnf/Lif/Il13/Cxcl16/Il11"
"WT_heat","GO_CC","GOCC_CELL_SURFACE","Cell Surface","Up",1.94436939,1.18840961e-10,3.6959539e-08,6.32101867e-08,332,311,4787,41,49,-8,"Sdc1/C3/Itga5/Lgals3/Itga3/Itgav/Epcam/Axl/Ctsz/Pdcd1lg2/Anxa4/Procr/Epha2/Slc39a6/Fasl/Plxnb2/Cd44/Bcam/Itgb5/Cd80/Slamf1/Furin/Egfr/S100a10/Eno2/F3/Adam8/Tns1/Tnfrsf4/Ccr4/Plaur/Anxa5/Bst2/Notch3/Vegfa/Cpm/Clu/Itgb1/Acvrl1/Hbegf/Cd38/Cd40lg/Myh10/Ctsb/Pdgfb/Adam17/Cd274/Tyro3/Cd36/Bmpr1a/Tfrc/Il12rb1/Itgb2/Sdc4/Thy1/Il1r2/Nlgn2/Cd83/Thbs1/Pvr/Sulf2/Pdcd1/Mbp/Anxa2/Tnfrsf9/Pdgfa/Antxr2/Hspd1/Hsp90aa1/Slamf7/Areg/Hyal2/Hspa5/Itga10/Notch2/Alcam/Klrd1/Anxa9/Sdc2/Il1rl1/Cd74/Gpc1/Plau/Il7r/Enpp1/Tgfb1/Tnf/Il18r1/Hmmr/Myd88/Itga4/C1s1/Il13/Abcb1a/Gsr/Adam15/Il18rap/Fermt2"
"WT_heat","GO_BP","GOBP_APOPTOTIC_SIGNALING_PATHWAY","Apoptotic Signaling Pathway","Up",1.97316555,4.68858154e-11,3.73367377e-08,3.31934118e-08,294,2389,4787,546,508,38,"Lgals3/Itgav/Bcl2l1/Lta/Cebpb/Perp/Jak2/Tnfsf11/Epha2/Sfn/Fasl/Dap/Ar/Hspe1/Cd44/Cdkn1a/Ret/Inhba/Bag3/Rrp8/Nr4a2/Serpine1/Il2/Cd70/Hspa1a/Arhgef2/Ier3/Eef1e1/Xbp1/Il1a/Hyou1/Plaur/Cttn/Ifi27/Clu/Cd38/Cd40lg/Dnaja1/Aen/Foxo3/Csf2/Csnk2a2/Ptgs2/Ghitm/Hif1a/Thbs1/Cflar/Bcl2l2/Muc1/Pycr1/Ctsc/Cth/Klf4/Traf1/Smad3/Htra2/Hdac1/Nrp1/Psme3/Hyal2/Phlda3/Nupr1/Casp8ap2/Hspb1/Chac1/Sp1/Polb/Ppard/Nf1/Bik/Fam162a/Ifng/Lmna/Mdm2/Cd74/Prkcd/Bcl10/Taf6/Tnfrsf1b/Atf3/Cul4a/Fgfr3/Ctnna1/Acvr1/Tgfb1/Hras/Tnf/Ubqln1/Ltbr/Cul5/Sfpq/Ppif/Hells"
"WT_heat","GO_BP","GOBP_TISSUE_MORPHOGENESIS","Tissue Morphogenesis","Up",2.08831305,1.09844961e-10,6.5604903e-08,6.32101867e-08,218,2389,4787,546,508,38,"Itga5/Ophn1/Itga3/Itgav/Ctsz/Aldh1a2/Perp/Epha2/Plod3/Ar/Plxnb2/Cd44/Actg1/Pak1/Itgb5/Rbpj/Ret/Inhba/Egfr/Nr4a3/Eomes/Vegfa/Itgb1/Acvrl1/Hbegf/Kdm6b/Etv5/Wdr1/Adam17/Bmpr1a/Sdc4/Nup50/Hif1a/Srf/Exoc4/Pdgfa/Klf4/Nrp2/Smad3/Fst/Efemp2/Areg/Nrp1/Pafah1b1/Notch2/Jag1/Nf2/Taf10/Spint2/Bsg/Krt17/Adm/Lhx2/Sos1/Rara/Ext1/Vcl/Mdm2/Bcl10/Tgm2/Pkp2/Actb/Acvr1/Tgfb1/Tnf/Lif/Ptch1/Ezr/Nphp1/Tmed2"
