contrast,database,n_tests_in_db,n_tests_pooled,sig_before_in_db,sig_after_in_db,sig_lost_in_db,pct_sig_before,pct_sig_after,min_pvalue,n_at_min_pvalue
WT_heat,GO_BP,2389,4787,546,508,38,22.9,21.3,1.10991002e-14,1
WT_heat,GO_CC,311,4787,41,49,-8,13.2,15.8,1.10991002e-14,1
WT_heat,GO_MF,386,4787,64,64,0,16.6,16.6,1.10991002e-14,1
WT_heat,HSR_lens,2,4787,2,2,0,100,100,1.10991002e-14,1
WT_heat,Hallmark,50,4787,25,19,6,50,38,1.10991002e-14,1
WT_heat,KEGG,131,4787,10,17,-7,7.6,13,1.10991002e-14,1
WT_heat,Lombardi2022_HIF,1,4787,1,1,0,100,100,1.10991002e-14,1
WT_heat,MitoPathways,53,4787,7,7,0,13.2,13.2,1.10991002e-14,1
WT_heat,MitoXplorer,23,4787,0,0,0,0,0,1.10991002e-14,1
WT_heat,Reactome,663,4787,49,67,-18,7.4,10.1,1.10991002e-14,1
WT_heat,TCR_activation,1,4787,1,1,0,100,100,1.10991002e-14,1
WT_heat,TF_Targets,352,4787,57,61,-4,16.2,17.3,1.10991002e-14,1
WT_heat,TransportDB,8,4787,1,1,0,12.5,12.5,1.10991002e-14,1
WT_heat,WikiPathways,417,4787,51,57,-6,12.2,13.7,1.10991002e-14,1
Interaction,GO_BP,2389,4787,66,68,-2,2.8,2.8,5.29773145e-26,1
Interaction,GO_CC,311,4787,5,5,0,1.6,1.6,5.29773145e-26,1
Interaction,GO_MF,386,4787,6,8,-2,1.6,2.1,5.29773145e-26,1
Interaction,HSR_lens,2,4787,0,0,0,0,0,5.29773145e-26,1
Interaction,Hallmark,50,4787,5,4,1,10,8,5.29773145e-26,1
Interaction,KEGG,131,4787,5,4,1,3.8,3.1,5.29773145e-26,1
Interaction,Lombardi2022_HIF,1,4787,0,0,0,0,0,5.29773145e-26,1
Interaction,MitoPathways,53,4787,0,0,0,0,0,5.29773145e-26,1
Interaction,MitoXplorer,23,4787,0,0,0,0,0,5.29773145e-26,1
Interaction,Reactome,663,4787,63,40,23,9.5,6,5.29773145e-26,1
Interaction,TCR_activation,1,4787,0,0,0,0,0,5.29773145e-26,1
Interaction,TF_Targets,352,4787,6,6,0,1.7,1.7,5.29773145e-26,1
Interaction,TransportDB,8,4787,0,0,0,0,0,5.29773145e-26,1
Interaction,WikiPathways,417,4787,30,19,11,7.2,4.6,5.29773145e-26,1
