"pathway_id","pathway_name","database","contrast","nes","pvalue","padj","set_size","leading_edge_n","n_ranked","panel_key"
"HALLMARK_HYPOXIA","Hypoxia","Hallmark","WT_heat",1.90778685,3.33116152e-07,4.1639519e-06,171,56,19679,"Hallmark"
"GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY","2 Oxoglutarate Dependent Dioxygenase Activity","GO_MF","WT_heat",1.75427343,0.0057095573,0.0408127615,18,10,19679,"GO MF"
"GOBP_RESPONSE_TO_OXYGEN_LEVELS","Response to Oxygen Levels","GO_BP","WT_heat",1.71256225,5.40487118e-05,0.00113265239,171,49,19679,"GO BP"
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA","Cellular Response to Hypoxia","Reactome","WT_heat",-0.914188372,0.596826735,0.723393282,32,16,19679,"Reactome"
"HALLMARK_HYPOXIA","Hypoxia","Hallmark","KO_heat",1.94796926,2.98061056e-07,2.48384213e-06,171,70,19679,"Hallmark"
"GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY","2 Oxoglutarate Dependent Dioxygenase Activity","GO_MF","KO_heat",1.76871704,0.00512191448,0.0430755097,18,10,19679,"GO MF"
"GOBP_RESPONSE_TO_OXYGEN_LEVELS","Response to Oxygen Levels","GO_BP","KO_heat",1.54312809,0.00129089916,0.0162160034,171,48,19679,"GO BP"
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA","Cellular Response to Hypoxia","Reactome","KO_heat",-0.923996707,0.579576783,0.715566867,32,18,19679,"Reactome"
"HALLMARK_HYPOXIA","Hypoxia","Hallmark","Interaction",-1.27036841,0.0474305456,0.169394806,171,46,19679,"Hallmark"
"GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY","2 Oxoglutarate Dependent Dioxygenase Activity","GO_MF","Interaction",0.669069498,0.903623572,0.987104844,18,3,19679,"GO MF"
"GOBP_RESPONSE_TO_OXYGEN_LEVELS","Response to Oxygen Levels","GO_BP","Interaction",1.34249673,0.0282925328,0.310049821,171,47,19679,"GO BP"
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA","Cellular Response to Hypoxia","Reactome","Interaction",-0.780707933,0.821302362,0.941989147,32,12,19679,"Reactome"
