pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
MITOPATHWAYS_OXPHOS,OXPHOS,MitoPathways,-2.25537819,2.62909162e-10,1.44600039e-8,145,Taco1/Ndufa8/Atp5c1/Atp5b/Uqcc2/Cox6a1/Atp5g1/Ndufb9/Ndufs7/Uqcr11/Cmc2/Atp5j2/Cox10/Ndufb8/Coa5/Ndufs5/Ndufs4/Pnkd/Uqcc1/Cox7a2l/Ndufs2/Higd1a/Cox11/Pet100/Atp5e/Ndufaf5/Timm21/Ndufb5/Sdhc/Cmc1/Dmac2l/Ndufb2/Ndufaf2/Dmac2/Atp5d/Sdhaf1/Uqcrq/Ndufa6/Ndufb3/Smim20/Ndufb4/Higd2a/Ndufa1/Ndufa4/Ndufb10/Ndufa13/Cox7c/Ndufs8/Atp5pb/Cox14/Cox5b/Atp5g3/Ndufc2/Ndufv3/Dmac1/Ndufa10/Ndufv2/Ndufaf4/Ndufb6/Ndufaf8/Sdhd/Cox8a/Tmem126a/Ndufb11/Ndufa2/Atp5o/Coa3/Atp5k/Ndufa3/Cox16/Atpif1/Cox7b,Geno_main,Down
MITOPATHWAYS_OXPHOS.OXPHOS_subunits,OXPHOS OXPHOS Subunits,MitoPathways,-2.38373103,1.11149746e-9,3.056618e-8,81,Cox6b1/Uqcrc2/Ndufa7/Cox4i2/Ndufa5/Ndufa11/Ndufab1/Cox5a/Ndufa8/Atp5c1/Atp5b/Cox6a1/Atp5g1/Ndufb9/Ndufs7/Uqcr11/Atp5j2/Ndufb8/Ndufs5/Ndufs4/Cox7a2l/Ndufs2/Atp5e/Ndufb5/Sdhc/Dmac2l/Ndufb2/Atp5d/Uqcrq/Ndufa6/Ndufb3/Ndufb4/Ndufa1/Ndufa4/Ndufb10/Ndufa13/Cox7c/Ndufs8/Atp5pb/Cox5b/Atp5g3/Ndufc2/Ndufv3/Ndufa10/Ndufv2/Ndufb6/Sdhd/Cox8a/Ndufb11/Ndufa2/Atp5o/Atp5k/Ndufa3/Atpif1/Cox7b,Geno_main,Down
MITOXPLORER_Oxidative_Phosphorylation,Oxidative Phosphorylation,MitoXplorer,-2.17503464,4.90868219e-9,1.1289969e-7,157,Etfrf1/Ndufab1/Cox5a/Ndufa8/Atp5c1/Atp5b/Uqcc2/Cox6a1/Coq8b/Atp5g1/Ndufb9/Ndufs7/Uqcr11/Atp5j2/Cox10/Ndufb8/Coa5/Ndufs5/Ndufs4/Cisd1/Uqcc1/Cox7a2l/Ndufs2/Higd1a/Etfb/Cox11/Atp5e/Ndufaf5/Atp5md/Ndufb5/Sdhc/Cmc1/Dmac2l/Ndufb1-ps/Ndufb2/Oxa1l/Uqcrh/Ndufaf2/Dmac2/Atp5d/Sdhaf1/Uqcrq/Ndufa6/Ndufb3/Ndufb4/Higd2a/Ndufa1/Ndufa4/Ndufb10/Ndufa13/Cox7c/Ndufs8/Cox14/Cox5b/Atp5g3/Nipsnap1/Ndufc2/Ndufv3/Coq8a/Dmac1/Ndufa10/Ndufv2/Ndufaf4/Ndufb6/Ndufaf8/Sdhd/Cox8a/Ndufb11/Ndufa2/Atp5o/Coa3/Cox6c/Atp5k/Ndufa3/Atp6v1e1/Cox16/Atpif1,Geno_main,Down
MITOPATHWAYS_OXPHOS.Complex_I.CI_subunits,OXPHOS Complex I Ci Subunits,MitoPathways,-2.23165306,2.23437712e-6,3.07226854e-5,36,Ndufa7/Ndufa5/Ndufa11/Ndufab1/Ndufa8/Ndufb9/Ndufs7/Ndufb8/Ndufs5/Ndufs4/Ndufs2/Ndufb5/Ndufb2/Ndufa6/Ndufb3/Ndufb4/Ndufa1/Ndufb10/Ndufa13/Ndufs8/Ndufc2/Ndufv3/Ndufa10/Ndufv2/Ndufb6/Ndufb11/Ndufa2/Ndufa3,Geno_main,Down
MITOPATHWAYS_OXPHOS.Complex_I,OXPHOS Complex I,MitoPathways,-2.16546289,2.09032778e-6,3.07226854e-5,57,Ndufb9/Ndufs7/Ndufb8/Ndufs5/Ndufs4/Ndufs2/Ndufaf5/Ndufb5/Ndufb2/Ndufaf2/Dmac2/Ndufa6/Ndufb3/Ndufb4/Ndufa1/Ndufb10/Ndufa13/Ndufs8/Ndufc2/Ndufv3/Dmac1/Ndufa10/Ndufv2/Ndufaf4/Ndufb6/Ndufaf8/Tmem126a/Ndufb11/Ndufa2/Ndufa3,Geno_main,Down
MITOPATHWAYS_Metabolism,Metabolism,MitoPathways,-1.65168806,4.13456883e-6,4.54802572e-5,406,Paics/Akr7a5/Coq4/Pdk2/Acaa1a/Etfrf1/Ndufab1/Ldhd/Rdh13/Aldh18a1/Slc25a3/Pnpla8/Ppox/Pdk1/Acsl6/Hscb/Chchd7/Lipt1/Mccc2/Nfs1/Coq8b/Rsad1/Dglucy/Selenoo/Aldh4a1/Idh3g/Acadm/Gpx4/Slc25a51/Adhfe1/Sfxn3/Msrb3/Ndufs7/Cyp11a1/Pnpo/Oxct1/Cox10/Oat/Osbpl1a/Etfbkmt/Pdha1/Mdh2/Slc25a29/Cisd1/Cpox/Arg2/Ndufs2/Bola1/Etfb/Alas1/Cox11/Naxe/Pcx/Slc25a14/Slc25a28/Slc25a42/Comt/Prdx5/Glrx5/Prdx6/Ivd/Prdx4/Sdhc/Mcee/Chdh/Slc25a25/Hint1/Grpel2/Cpt1b/Coq7/Eci2/Hadha/Nudt2/Nt5dc2/Slc25a37/Msra/Dut/Ogdhl/Slc25a33/Acot13/Acot2/Sardh/Hadhb/Abhd11/Fpgs/Gcsh/Grhpr/Dbi/Idh3b/Grpel1/Lias/Acads/Acot10/Aldh6a1/Pdhb/Tspo/Txn2/Ndufs8/Acadsb/Hagh/Cpt1a/Cat/Nudt13/Suclg1/Fdx1/Slc25a5/Ldhb/Coq8a/Nit1/Decr1/Got2/Hoga1/Pcbd2/Fth1/Triap1/Hadh/Ndufv2/Acat1/Bphl/Scp2/Maoa/Prelid1/Slc25a4/Bckdha/Msrb2/Ptges2/Slc25a38/Sdhd/Plscr3/Mgst3/Ehhadh/Nmnat3/Aldh2/Fhit/Gpx1/Suclg2/Pdk3/Echs1/Prdx2/Hsd17b10/Pccb,Geno_main,Down
MITOPATHWAYS_Metabolism.Lipid_metabolism,Metabolism Lipid Metabolism,MitoPathways,-1.72253766,4.40685791e-4,0.00403961975,109,Prdx6/Mcee/Cpt1b/Eci2/Hadha/Acot13/Acot2/Hadhb/Gcsh/Dbi/Lias/Acads/Acot10/Tspo/Acadsb/Cpt1a/Fdx1/Decr1/Triap1/Hadh/Acat1/Scp2/Prelid1/Ptges2/Plscr3/Mgst3/Ehhadh/Echs1/Hsd17b10/Pccb,Geno_main,Down
MITOPATHWAYS_OXPHOS.Complex_V.CV_subunits,OXPHOS Complex V Cv Subunits,MitoPathways,-1.96903027,5.95072797e-4,0.00467557198,17,Atp5c1/Atp5b/Atp5g1/Atp5j2/Atp5e/Dmac2l/Atp5d/Atp5pb/Atp5g3/Atp5o/Atp5k/Atpif1,Geno_main,Down
MITOPATHWAYS_Metabolism.Lipid_metabolism.Fatty_acid_oxidation,Metabolism Lipid Metabolism Fatty Acid Oxidation,MitoPathways,-1.87266591,6.88886638e-4,0.00473609563,39,Mcee/Cpt1b/Eci2/Hadha/Hadhb/Acads/Acadsb/Cpt1a/Decr1/Hadh/Acat1/Echs1/Hsd17b10/Pccb,Geno_main,Down
MITOPATHWAYS_Metabolism.Amino_acid_metabolism,Metabolism Amino Acid Metabolism,MitoPathways,-1.75168469,7.8735263e-4,0.00481159941,74,Mccc2/Dglucy/Aldh4a1/Adhfe1/Sfxn3/Oat/Slc25a29/Arg2/Etfb/Comt/Ivd/Chdh/Hadha/Sardh/Hadhb/Gcsh/Grhpr/Aldh6a1/Acadsb/Ldhb/Got2/Hoga1/Hadh/Acat1/Maoa/Bckdha/Slc25a38/Echs1/Hsd17b10,Geno_main,Down
