pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
TRANSPORTDB_ABC,ABC,TransportDB,-2.41131031,7.6021622e-10,6.08172976e-9,31,Abcg3/Abcd4/Abcd1/Abca7/Abcb1b/Tap2/Abcb10/Tap1/Abcc4/Abcg1/Abca2/Abcb11/Abcc10/Abcb4/Abcg2/Abcc5/Abcc8/Abca1,KO_heat,Down
HSR_sensitivity,Hsr Sensitivity,HSR_lens,1.86535716,3.11820217e-6,6.23640434e-6,148,Hsph1/Hspa4l/Dnaja3/Hspa1b/Bag3/St13/Ano1/Hspa1a/Fkbp4/Dnaja1/Aaas/Hsf1/Hspa13/Il1a/Nup54/Nup35/Hsp90aa1/Nup50/Ptges3/Nup37/Chordc1/Ranbp2/Bag5/Thbs1/Eif2s1/Ndc1/Eef1a1/Hspa5/Hspb1/Htra2/Hdac2/Nf1/Hspa9/Nup98/Pom121/Hmox1/Mapk3/Dnajb1/Hspa4/Ywhae/Rps19bp1/Rpa3/Casq1/Camk2g/Ep300/Pdcd6/Mapkapk2/Bag2,KO_heat,Up
HSR_core,Hsr Core,HSR_lens,2.06549851,2.25872387e-5,2.25872387e-5,47,Hsph1/Hspa4l/Dnaja3/Hspa1b/Bag3/St13/Hspa1a/Fkbp4/Dnaja1/Hsf1/Hspa13/Hsp90aa1/Ptges3/Chordc1/Bag5/Hspb1/Htra2/Hspa9,KO_heat,Up
TCR_activation,TCR Activation,TCR_activation,1.60244705,0.0048548157,0.0048548157,66,Lta/Ier3/Lcp2/Il2/Nr4a2/Tnfrsf4/Nfatc1/Nr4a3/Nr4a1/Dusp5/Itk/Odc1/Rel/Cd40lg/Egr2/Cd83/Jund/Tnfrsf9/Egr3/Egr1/Batf/Dusp1/Atf3/Dusp2/Tnf/Junb,KO_heat,Up
MITOPATHWAYS_Metabolism,Metabolism,MitoPathways,-1.46892156,3.39228717e-4,0.017979122,405,Cpt2/Dhodh/Cyb5r3/Mpc1/Iscu/Coasy/Sod1/Slc25a29/Ndufv2/Abhd10/Fam210b/Ndufs8/Auh/Shmt2/Mdh2/Gpat2/Sptlc2/Oxct1/Hibadh/Mpc2/Ppa2/Nudt13/Hibch/Rdh14/Cyc1/Guk1/Rsad1/Prodh/Slc25a42/Hadh/Ndufs2/Ehhadh/Bphl/Mecr/Coq7/Slc25a3/Acadm/Abcb7/Msrb2/Pdk3/Pdk1/Oat/Bckdk/Idh2/Acsf2/Pdhb/Hscb/Acads/Gstz1/Phyh/Mlycd/Fhit/Aldh3a2/Aldh1b1/Hint2/Me2/Bckdhb/Taz/Bcat2/Acad10/Qdpr/Hadhb/Cmpk2/Mmut/Sfxn5/Dtymk/Cbr4/Aldh18a1/Acly/Mtarc2/Mthfd2l/Scp2/Plscr3/Suox/Dguok/Mccc2/Glrx2/Suclg2/Ogdhl/Dhrs4/Tamm41/Mccc1/Nmnat3/Acot2/Fech/Bdh1/Ivd/Acaa2/Oxr1/Pdp1/Lias/Acss1/Nudt19/Aldh6a1/Lypla1/Abcb10/Mmab/Coq9/Pdha1/Ndufv1/Tk2/Eci2/Coq2/Crot/Mthfd1l/Bckdha/Fasn/Mocs1/Slc25a5/Pdk2/Idh3g/Msra/Pccb/Pank2/Slc25a38/Coq10a/Slc25a28/Sfxn3/Dna2/Fdps/Gcsh/Slc25a4/Coq8a/Acat1/Pdpr/Sardh/Zadh2/Acsl6,KO_heat,Down
MITOPATHWAYS_Small_molecule_transport,Small Molecule Transport,MitoPathways,-1.63498338,0.00251853678,0.0667412247,75,Mpc1/Slc25a29/Ucp2/Micu1/Mpc2/Slc25a42/Vdac2/Slc25a3/Smdt1/Abcb7/Slc25a53/Sfxn2/Mpv17l/Abcd1/Micu2/Sfxn5/Mpv17/Mrs2/Abcb10/Slc25a16/Slc8b1/Slc25a5/Slc25a40/Slc25a38/Slc25a28/Sfxn3/Slc25a4/Slc25a45,KO_heat,Down
MITOPATHWAYS_Metabolism.Lipid_metabolism,Metabolism Lipid Metabolism,MitoPathways,-1.53959242,0.00407882282,0.0720592032,109,Hadh/Ehhadh/Mecr/Acadm/Acsf2/Acads/Phyh/Mlycd/Hint2/Taz/Acad10/Hadhb/Mmut/Cbr4/Scp2/Plscr3/Tamm41/Acot2/Acaa2/Lias/Acss1/Lypla1/Eci2/Crot/Fasn/Pccb/Fdps/Gcsh/Acat1/Zadh2/Acsl6,KO_heat,Down
MITOXPLORER_Calcium_Signaling___Transport,Calcium Signaling Transport,MitoXplorer,-1.75300096,0.00411080661,0.094548552,22,Micu1/Smdt1/Hint2/Micu2/Pml/Itpr3/Pacs2/Slc8b1/Mcur1/Itpr2,KO_heat,Down
MITOPATHWAYS_Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,Metabolism Amino Acid Metabolism Branched-Chain Amino Acid Metabolism,MitoPathways,-1.65044948,0.0107622159,0.114079489,25,Hadha/Echs1/Acad8/Dbt/Ppm1k/Auh/Hibadh/Hibch/Bckdk/Bckdhb/Bcat2/Mccc2/Mccc1/Ivd/Aldh6a1/Bckdha/Acat1,KO_heat,Down
MITOPATHWAYS_Metabolism.Carbohydrate_metabolism,Metabolism Carbohydrate Metabolism,MitoPathways,-1.53519954,0.0107349151,0.114079489,65,Auh/Mdh2/Oxct1/Mpc2/Pdk3/Pdk1/Idh2/Pdhb/Me2/Hadhb/Mmut/Sfxn5/Acly/Suclg2/Ogdhl/Bdh1/Acaa2/Pdp1/Pdha1/Pdk2/Idh3g/Pccb/Acat1/Pdpr,KO_heat,Down
