pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon-alpha Response,Hallmark,-2.52172421,1.97635257e-13,7.98479215e-12,95,Tmem140/Gmpr/Usp18/B2m/Cd47/Psme2/Cmpk2/Irf1/Psmb8/Lpar6/Ddx60/Psmb9/Mov10/Lgals3bp/Elf1/Parp12/Tap1/Helz2/Irf2/Nub1/Trim5/Ifit3/Ogfr/Psme1/Nmi/Ifi35/Irf9/Irf7/Eif2ak2/Trim14/Trafd1/Gbp2/Herc6/Slc25a28/Trim12c/Trim21/Rtp4/Trim26/Parp14/Adar/Ifit2/Txnip/Gbp3/Sp110/Parp9/Stat2/Sell/Uba7/Samd9l,KO_heat,Down
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF-alpha Signaling via NF-kappaB,Hallmark,2.2892655,3.19391686e-13,7.98479215e-12,189,Plek/Plk2/Fosl2/Olr1/Ier3/Cdkn1a/Serpine1/Cd80/Gfpt2/Tnfaip8/Sphk1/Cebpb/Nfkb1/Gch1/Ehd1/Cd44/Nr4a2/Il23a/Inhba/Ccl4/Nr4a3/F3/Map2k3/Nr4a1/Atp2b1/Plaur/Ccl20/Dusp5/Fosl1/Dennd5a/Vegfa/Nfkb2/Il1a/Gpr183/Hbegf/Sdc4/Rel/Trip10/Csf2/Kdm6b/Tnfsf9/Egr2/Nfat5/Cd83/Bhlhe40/Yrdc/Rcan1/Traf1/Klf4/Tnfrsf9/Msc/Btg3/Egr3/Ptgs2/Egr1/Dusp4/Dram1/Ccn1/Jag1/Areg/Gem/Cxcl2/Ets2/Sik1/Smad3/Cflar/Dusp1/Nfkbie/Lif/Gadd45b/Atf3/Il7r/Eif1/Pfkfb3/Dusp2/Tnf/Junb/Ifngr2,KO_heat,Up
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon-gamma Response,Hallmark,-2.20130507,1.00470934e-11,1.67451556e-10,185,Usp18/B2m/Psme2/Cmpk2/Auts2/Irf1/Psmb8/Gbp10/Arl4a/Ddx60/Arid5b/Btg1/H2-M3/Pml/Ncoa3/Psmb9/Lgals3bp/H2-DMa/Parp12/Tap1/Helz2/Irf2/H2-Aa/Ifit3/Rbck1/Ogfr/Psme1/Gpr18/Nmi/Nod1/Isoc1/Ifi35/Tnfsf10/Nlrc5/Ciita/Irf9/Irf7/Eif2ak2/Trim14/Trafd1/Rnf213/Herc6/Slc25a28/Stat1/Casp7/Trim21/Rtp4/Trim26/Parp14/Adar/Ifit2/Bank1/Txnip/Psmb10/Peli1/Xaf1/Gbp3/Gbp4/Gbp8/Rapgef6/Tapbp/Stat3/Sp110/Stat2/Samhd1/Gbp9/Samd9l/Cd40,KO_heat,Down
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY,Signaling Receptor Regulator Activity,GO_MF,2.26837086,2.70569267e-12,1.04439737e-9,174,Timp1/Lgals3/C3/Spp1/Pdcd1lg2/Lta/Jak2/Cd80/Tnfsf11/Fasl/Hspa1a/Il9/Il2/Il23a/Inhba/Ccl4/Tnfrsf11b/Ccl22/Igfbp7/Ccl20/Cd70/Vegfa/Pdgfa/Clu/Il1a/Hbegf/Cd40lg/Csf2/Tnfsf9/Pdgfb/Adm/Cd274/Pvr/Lamc1/Fst/Jag1/Areg/Cxcl2/Lgals1/Ebi3/Cd86/Cd48/Lif/Ifng/Stc2/Ghrl/Pgf/Calcb/Tnf/Pglyrp1/Il4/Mif/Il33/Agrn/Sema3b/Cx3cl1/Tgfb1/Il13/Vegfc/Tff1/Cxcl3/Ngf/Plau/Ccl17/F2rl2,KO_heat,Up
GOMF_CYTOKINE_ACTIVITY,Cytokine Activity,GO_MF,2.48461872,9.73278702e-12,1.87842789e-9,77,Timp1/C3/Spp1/Lta/Tnfsf11/Fasl/Il9/Il2/Il23a/Inhba/Ccl4/Tnfrsf11b/Ccl22/Ccl20/Vegfa/Il1a/Cd40lg/Csf2/Tnfsf9/Areg/Cxcl2/Ebi3/Lif/Ifng/Tnf/Il4/Mif/Il33/Cx3cl1/Tgfb1/Il13/Cxcl3/Ccl17,KO_heat,Up
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE,External Encapsulating Structure,GO_CC,2.31992103,1.42796487e-11,4.44097074e-9,138,Timp1/Serpinb6a/Lgals3/Anxa4/Ctsz/Srgn/S100a10/Bcam/Serpine1/Plod3/Plod2/F3/Tnfrsf11b/Igfbp7/Anxa5/Lman1/Vegfa/Aplp1/Hsp90aa1/Pdgfb/Plod1/Ctsc/Lamc2/Lad1/Ctsb/Anxa2/Efemp2/Sdc2/Lamc1/Serpinc1/Thbs1/Col5a2/Ccn1/Ctsf/Ecm1/Sparc/Thbs3/Timp3/Lgals1/Dlg1/Tgm2,KO_heat,Up
HALLMARK_IL2_STAT5_SIGNALING,IL-2/STAT5 Signaling,Hallmark,2.07432245,1.36048126e-9,1.70060158e-8,197,Galm/Serpinb6a/Fah/Myo1c/Glipr2/Irf6/Anxa4/Itgav/Spp1/Ctsz/Bcl2l1/Scn9a/Ptger2/Rnh1/Ncs1/Tnfsf11/Batf3/Cd44/Plin2/Rora/Tnfrsf4/Furin/Hk2/Ccr4/Praf2/Xbp1/Dennd5a/Odc1/Irf8/Spred2/Il1r2/Nop2/Cdcp1/Etv4/Eomes/Aplp1/Csf2/Gabarapl1/Cd83/Ccnd2/Umps/Bhlhe40/Rgs16/Traf1/Plec/P4ha1/Tnfrsf9/Lrrc8c/Muc1/Il1rl1/Map6/Ahnak/Serpinc1/Ckap4/Pus1/Rragd/Gpr83/Ecm1/Nrp1/Plscr1/Ndrg1/Batf/Tiam1/Pim1/Cd86/Cd48/Prkch/Tgm2/Cyfip1/Plagl1/Pdcd2l/Cdc6/Slc1a5/Il18r1/Lif/Gadd45b/Enpp1/Dhrs3/S100a1/Irf4,KO_heat,Up
GOCC_CELL_SURFACE,Cell Surface,GO_CC,1.89558253,2.56393303e-10,3.98691585e-8,332,Sdc1/Epcam/Lgals3/C3/Itga5/Itga3/Anxa4/Itgav/Ctsz/Pdcd1lg2/Epha2/S100a10/Bcam/Cd80/Axl/Procr/Slc39a6/Fasl/Plxnb2/Itgb5/Cd44/Slamf1/Tnfrsf4/F3/Furin/Acvrl1/Anxa5/Eno2/Ccr4/Notch3/Plaur/Tfrc/Adam8/Itgb1/Cpm/Vegfa/Egfr/Pdgfa/Tns1/Il1r2/Bst2/Clu/Hbegf/Sdc4/Hspd1/Cd40lg/Myh10/Hsp90aa1/Pdgfb/Cd83/Tyro3/Cd36/Ctsb/Anxa2/Cd274/Pvr/Bmpr1a/Tnfrsf9/Hyal2/Sdc2/Adam17/Thy1/Il1rl1/Itgb2/Thbs1/Pdcd1/Cd38/Itga10/Anxa9/Mbp/Hspa5/Klrd1/Areg/Nlgn2/Slamf7/Sparc/Antxr2,KO_heat,Up
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,Overview of Proinflammatory and Profibrotic Mediators,WikiPathways,2.52670672,1.03389491e-10,4.31134177e-8,48,Spp1/Lta/Nfkb1/Il9/Il2/Il23a/Ccl4/Ccl22/Ccl20/Vegfa/Il1a/Csf2/Areg/Cxcl2/Ebi3/Lif/Ifng/Tnf/Il4/Il33/Cx3cl1/Tgfb1/Il13/Cxcl3/Ccl17,KO_heat,Up
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,Positive Regulation of Cell Population Proliferation,GO_BP,1.91723874,3.85472175e-11,9.20893027e-8,369,Timp1/Epcam/Aldh1a2/Itgav/Ar/Bcl2l1/Pdcd1lg2/Fosl2/Lta/Jak2/Cdkn1a/Cd80/Fasl/Sphk1/Slamf1/Il9/Il2/Tnfrsf4/Il23a/Rbpj/Pak1/Nr4a3/F3/Acvrl1/Tgm1/Nr4a1/Notch3/Tfrc/Cd70/Xbp1/Itgb1/Fosl1/Odc1/Vegfa/Egfr/Pdgfa/Nop2/Bst2/Klf5/Il1a/Gpr183/Hbegf/Avpr1a/Cd40lg/Csf2/Tnfsf9/Pdgfb/Cdk6/Slc7a1/Ccnd2/Adm/Sertad1/Lamc2/Cd274/Cdon/Bmpr1a/Adam17/Lamc1/Egr3/Thbs1/Crip2/Cd38/Rhog/Egr1/Tspo/Hif1a/Ccn1/Ecm1/Nrp1/Areg/Htr1b/Nlgn2/Tpd52/Tipin/Nrp2/Hdac2/Ebi3/Tiam1/Pim1/Cd86/Cav2/Nf1/Dlg1/Prkch/Sdcbp/Mdm2/Il12rb1/Lhx2/Cflar/Hdac1/Cdc6/Ppard/Lif/Cd74/Notch2/Ifng/Hmox1/Atf3/Grk5/Il7r/Cul4a/Ghrl/Pgf/Sp1/Rara/Itga4/Tnf/Cdc42/Il4/Mif/Myd88/Fermt2/Wwtr1/Cx3cl1/Ezh2/E2f3/Tgfb1/Il13/Actb/Irs2/Pik3ca/Ssr1/Vegfc/Syk,KO_heat,Up
