pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
TRANSPORTDB_ABC,ABC,TransportDB,-2.39020275,2.86882581e-9,2.58194323e-8,31,Abcd1/Abcb1b/Abcg3/Abcd4/Abca7/Tap1/Abcb10/Abcc4/Tap2/Abca2/Abcb11/Abcc10/Abcg1/Abcb4/Abcg2/Abcc5/Abcc8/Abca1,Temp_main,Down
HSR_sensitivity,Hsr Sensitivity,HSR_lens,1.80223815,8.1918566e-6,1.63837132e-5,148,Hsph1/Hspa4l/Dnaja3/Hspa1b/Bag3/Hspa1a/Ano1/Hsf1/St13/Aaas/Dnaja1/Il1a/Fkbp4/Hspa13/Nup54/Nup50/Ptges3/Hsp90aa1/Ranbp2/Nup35/Thbs1/Nup37/Chordc1/Nup98/Bag5/Ndc1/Hspa5/Htra2/Hspb1/Pom121/Eef1a1/Eif2s1/Hdac2/Nf1/Camk2g/Hspa9/Mapkapk2/Mapk3/Ep300/Rps19bp1/Hspa4/Ywhae/Dnajb1/Pdcd6/Bag2/Hmox1/Nup43/Nup188/Dnajc2,Temp_main,Up
HSR_core,Hsr Core,HSR_lens,2.01287679,2.97501198e-5,2.97501198e-5,47,Hsph1/Hspa4l/Dnaja3/Hspa1b/Bag3/Hspa1a/Hsf1/St13/Dnaja1/Fkbp4/Hspa13/Ptges3/Hsp90aa1/Chordc1/Bag5/Htra2/Hspb1/Hspa9,Temp_main,Up
TCR_activation,TCR Activation,TCR_activation,1.67940278,0.0021942462,0.0021942462,66,Lta/Lcp2/Ier3/Nfatc1/Nr4a2/Il2/Nr4a3/Tnfrsf4/Nr4a1/Dusp5/Itk/Rel/Odc1/Cd40lg/Jund/Egr2/Cd83/Egr3/Tnfrsf9/Egr1/Batf/Dusp1/Atf3/Bcl10/Dusp2/Tnf/Junb,Temp_main,Up
MITOPATHWAYS_Metabolism,Metabolism,MitoPathways,-1.42924484,7.3964497e-4,0.0406804734,406,Pdk3/Sdha/Nudt13/Chchd7/Abhd10/Grhpr/Acad8/Pycr2/Rdh14/Mdh2/Cpt2/Phyh/Tstd1/Auh/Cyc1/Cat/Fam210b/Gstz1/Cmpk2/Mpc2/Slc25a42/Fhit/Aldh1b1/Coq7/Acads/Bckdhb/Oxct1/Prodh/Hibch/Ndufs2/Bckdk/Ehhadh/Mpc1/Guk1/Slc25a3/Idh2/Ndufv2/Pdk1/Abcb7/Bcat2/Hadh/Pdhb/Mlycd/Mecr/Hint2/Plscr3/Acadm/Taz/Me2/Aldh18a1/Acly/Acsf2/Oat/Acad10/Bdh1/Nmnat3/Mccc2/Hscb/Hadhb/Mtarc2/Fech/Mthfd2l/Aldh3a2/Cbr4/Tamm41/Dguok/Ogdhl/Mccc1/Fam173a/Scp2/Pdp1/Dtymk/Qdpr/Mmut/Suclg2/Aldh6a1/Nudt19/Ivd/Suox/Dhrs4/Acot2/Abcb10/Fasn/Sfxn5/Lypla1/Oxr1/Mmab/Tk2/Lias/Glrx2/Coq9/Acaa2/Coq2/Crot/Eci2/Pdk2/Mocs1/Acss1/Pdha1/Mthfd1l/Idh3g/Pank2/Msra/Slc25a5/Ndufv1/Coq10a/Bckdha/Slc25a28/Slc25a38/Sfxn3/Pccb/Dna2/Fdps/Gcsh/Slc25a4/Coq8a/Sardh/Pdpr/Acat1/Zadh2/Acsl6,Temp_main,Down
MITOPATHWAYS_Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,Metabolism Amino Acid Metabolism Branched-Chain Amino Acid Metabolism,MitoPathways,-1.70391191,0.00595136881,0.0601780645,25,Ppm1k/Echs1/Hadha/Hibadh/Acad8/Auh/Bckdhb/Hibch/Bckdk/Bcat2/Mccc2/Mccc1/Aldh6a1/Ivd/Bckdha/Acat1,Temp_main,Down
MITOPATHWAYS_Metabolism.Lipid_metabolism.Fatty_acid_oxidation,Metabolism Lipid Metabolism Fatty Acid Oxidation,MitoPathways,-1.65464862,0.00656487977,0.0601780645,39,Acads/Hadh/Acadm/Acsf2/Acad10/Hadhb/Mmut/Acaa2/Crot/Eci2/Acss1/Pccb/Acat1/Acsl6,Temp_main,Down
MITOPATHWAYS_Metabolism.Carbohydrate_metabolism,Metabolism Carbohydrate Metabolism,MitoPathways,-1.60175745,0.0054225534,0.0601780645,65,Pdk3/Sdha/Mdh2/Auh/Mpc2/Oxct1/Mpc1/Idh2/Pdk1/Pdhb/Me2/Acly/Bdh1/Hadhb/Ogdhl/Pdp1/Mmut/Suclg2/Sfxn5/Acaa2/Pdk2/Pdha1/Idh3g/Pccb/Pdpr/Acat1,Temp_main,Down
MITOPATHWAYS_Small_molecule_transport,Small Molecule Transport,MitoPathways,-1.60083677,0.00409805939,0.0601780645,75,Slc25a29/Romo1/Slc25a27/Micu1/Vdac2/Mpc2/Slc25a42/Mpc1/Slc25a3/Mpv17l/Abcb7/Sfxn2/Abcd1/Mpv17/Smdt1/Mrs2/Slc25a53/Micu2/Abcb10/Sfxn5/Slc25a16/Slc8b1/Slc25a5/Slc25a28/Slc25a38/Slc25a40/Sfxn3/Slc25a45/Slc25a4,Temp_main,Down
MITOPATHWAYS_Metabolism.Lipid_metabolism,Metabolism Lipid Metabolism,MitoPathways,-1.55186746,0.00365634006,0.0601780645,109,Acads/Ehhadh/Hadh/Mlycd/Mecr/Hint2/Plscr3/Acadm/Taz/Acsf2/Acad10/Hadhb/Cbr4/Tamm41/Scp2/Mmut/Acot2/Fasn/Lypla1/Lias/Acaa2/Crot/Eci2/Acss1/Pccb/Fdps/Gcsh/Acat1/Zadh2/Acsl6,Temp_main,Down
