pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF-alpha Signaling via NF-kappaB,Hallmark,2.24668127,8.93361825e-13,4.46680912e-11,190,Plek/Plk2/Fosl2/Olr1/Cebpb/Gfpt2/Cdkn1a/Tnfaip8/Cd80/Ehd1/Sphk1/Serpine1/Ier3/Gch1/Cd44/Nfkb1/Inhba/Nr4a2/Ccl4/Map2k3/Il23a/F3/Nr4a3/Nr4a1/Ccl20/Plaur/Dusp5/Atp2b1/Fosl1/Il1a/Dennd5a/Vegfa/Nfkb2/Rel/Hbegf/Kdm6b/Csf2/Gpr183/Sdc4/Nfat5/Egr2/Trip10/Msc/Yrdc/Btg3/Cd83/Bhlhe40/Tnfsf9/Rcan1/Egr3/Ptgs2/Tnfrsf9/Klf4/Traf1/Egr1/Ccn1/Dusp4/Areg/Dram1/Cflar/Jag1/Smad3/Cxcl2/Sik1/Nfkbie/Gem/Dusp1/Ets2/Atf3/Lif/Eif1/Dusp2/Il7r/Ifngr2/Tnf/Litaf/Junb/Gadd45b/Pfkfb3/Plau,Temp_main,Up
GOMF_CYTOKINE_ACTIVITY,Cytokine Activity,GO_MF,2.41486779,5.78147103e-11,1.11871464e-8,77,Timp1/C3/Spp1/Lta/Tnfsf11/Fasl/Il9/Inhba/Il2/Ccl4/Tnfrsf11b/Ccl22/Il23a/Ccl20/Il1a/Vegfa/Cd40lg/Csf2/Tnfsf9/Ebi3/Areg/Cxcl2/Ccl17/Ifng/Lif/Il4/Tnf/Tgfb1/Il13/Il33/Mif/Cx3cl1/Cxcl3/Ccl5/Il10/Csf1/Bmp2,Temp_main,Up
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY,Signaling Receptor Regulator Activity,GO_MF,2.19345943,4.32817423e-11,1.11871464e-8,174,Timp1/C3/Lgals3/Pdcd1lg2/Spp1/Lta/Jak2/Tnfsf11/Fasl/Cd80/Il9/Inhba/Hspa1a/Il2/Ccl4/Tnfrsf11b/Ccl22/Il23a/Cd70/Ccl20/Il1a/Vegfa/Igfbp7/Clu/Hbegf/Cd40lg/Csf2/Pdgfb/Pdgfa/Cd274/Tnfsf9/Pvr/Lamc1/Fst/Adm/Ebi3/Areg/Cd48/Jag1/Cxcl2/Lgals1/Ccl17/Ifng/Pgf/Lif/Il4/Stc2/Cd86/Tnf/Tgfb1/Sema3b/Plau/Il13/Pglyrp1/Il33/Calcb/Mif/Cx3cl1/Ghrl/Tff1/Cxcl3/F2rl2/Ccl5/Il10/Agrn/Csf1/Jag2/Bmp2/Rabep1/Nectin2/Vegfc/H2-Q10,Temp_main,Up
HALLMARK_IL2_STAT5_SIGNALING,IL-2/STAT5 Signaling,Hallmark,2.07033682,1.07647858e-9,2.69119645e-8,198,Galm/Serpinb6a/Fah/Myo1c/Itgav/Bcl2l1/Anxa4/Ctsz/Spp1/Glipr2/Irf6/Ptger2/Scn9a/Ncs1/Tnfsf11/Rnh1/Cd44/Batf3/Furin/Rora/Tnfrsf4/Ccr4/Hk2/Plin2/Xbp1/Etv4/Eomes/Dennd5a/Aplp1/Irf8/Praf2/Spred2/Odc1/Cdcp1/Nop2/Csf2/Il1r2/Ccnd2/Rgs16/Cd83/Lrrc8c/Bhlhe40/Plec/Serpinc1/Gabarapl1/Muc1/Tnfrsf9/P4ha1/Traf1/Ahnak/Map6/Ckap4/Umps/Plscr1/Il1rl1/Nrp1/Cd48/Gpr83/Pus1/Tiam1/Slc1a5/Ecm1/Rragd/Batf/Pim1/Ndrg1/Tgm2/Plagl1/Cyfip1/Mapkapk2/Prkch/St3gal4/Lif/Il18r1/Enpp1/Cd86/Irf4/Pdcd2l/Gadd45b/Ptch1/Tnfrsf1b/Alcam/S100a1/Il13/Dhrs3/Cdc6,Temp_main,Up
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE,External Encapsulating Structure,GO_CC,2.23780582,1.1511897e-10,3.58019996e-8,138,Timp1/Serpinb6a/Lgals3/Anxa4/Ctsz/Srgn/Plod3/Bcam/S100a10/Serpine1/Plod2/Tnfrsf11b/F3/Lman1/Anxa5/Vegfa/Igfbp7/Aplp1/Pdgfb/Ctsb/Plod1/Hsp90aa1/Serpinc1/Ctsc/Lamc2/Anxa2/Thbs1/Lad1/Lamc1/Efemp2/Ccn1/Sdc2/Thbs3/Col5a2/Ecm1/Lgals1/Tgm2/Ctsf/Sparc/Eln/Gpc1/Tgfb1/Timp3/Sema3b,Temp_main,Up
GOCC_CELL_SURFACE,Cell Surface,GO_CC,1.9144366,2.33444578e-10,3.63006319e-8,332,Sdc1/C3/Itga5/Epcam/Lgals3/Itga3/Itgav/Anxa4/Ctsz/Pdcd1lg2/Axl/Epha2/Procr/Slc39a6/Fasl/Bcam/Cd80/Plxnb2/S100a10/Itgb5/Cd44/Slamf1/Furin/F3/Tnfrsf4/Eno2/Egfr/Ccr4/Adam8/Anxa5/Plaur/Tns1/Acvrl1/Notch3/Bst2/Vegfa/Cpm/Itgb1/Clu/Hbegf/Cd40lg/Tfrc/Myh10/Il1r2/Pdgfb/Sdc4/Ctsb/Tyro3/Pdgfa/Cd36/Cd274/Adam17/Cd38/Cd83/Bmpr1a/Hspd1/Hsp90aa1/Thy1/Itgb2/Pvr/Anxa2/Thbs1/Tnfrsf9/Pdcd1/Nlgn2/Hyal2/Mbp/Il12rb1/Sdc2/Il1rl1/Antxr2/Areg/Itga10/Slamf7/Hspa5/Anxa9/Klrd1,Temp_main,Up
GOBP_EPITHELIUM_DEVELOPMENT,Epithelium Development,GO_BP,1.90866801,1.53675358e-11,3.67284105e-8,390,Gja5/C3/Itga5/Epcam/Lgals3/Ophn1/Itgav/Anxa4/Ctsz/Aldh1a2/Perp/Irf6/Fosl2/Ar/Epha2/Jak2/Sfn/Tnfsf11/Cebpb/Plod3/Cdkn1a/Bcr/Plxnb2/Actg1/Itgb5/Ret/Serpine1/Cd44/Pak1/Rbpj/Inhba/Bdh2/Tgm1/Egfr/Dab2/Xbp1/Acvrl1/Etv4/Vegfa/Itgb1/Hbegf/Spred2/Kdm6b/Pdgfb/Sdc4/Cdk6/Ctsb/Pdgfa/Wdr1/Ipo7/Nup50/Cldn4/Zfp36l1/Adam17/Klf5/Bmpr1a/Plec/Basp1/Etv5/Id1/Klf4/Hif1a/Gstk1/Fst/Nfe2l1/Adm/Edf1/Lats1/Srf/Areg/Nrp1/Krt17/Jag1/Smad3/Nf2/Bsg/Hdac1/Vcl/Hdac2/Cnn3/Errfi1/Nf1/Pafah1b1/Notch2/Gpat4/Lhx2/E2f4/Spint2/Tgm2/Rock1/Map1b/Taf10/Ifng/Sos1/Prkch/Mpp5/Rara/Ext1/Akt2/Acadvl/Lif/Lsr/Bcl10/Tnf/Vdac1/Flnb/Cpt1a/Ntrk3/Actb/Tgfb1/Myd88/Ptch1/Pkp3/Plk4/Fermt2/Il13,Temp_main,Up
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,Positive Regulation of Cell Population Proliferation,GO_BP,1.91761998,3.61248476e-11,4.31691929e-8,369,Timp1/Epcam/Itgav/Bcl2l1/Pdcd1lg2/Aldh1a2/Lta/Fosl2/Ar/Jak2/Fasl/Cdkn1a/Cd80/Sphk1/Slamf1/Pak1/Rbpj/Il9/Il2/Il23a/F3/Nr4a3/Tnfrsf4/Tgm1/Egfr/Cd70/Nr4a1/Xbp1/Acvrl1/Notch3/Fosl1/Il1a/Bst2/Vegfa/Itgb1/Avpr1a/Hbegf/Odc1/Cd40lg/Nop2/Tfrc/Slc7a1/Csf2/Gpr183/Pdgfb/Cdk6/Cdon/Pdgfa/Ccnd2/Cd274/Adam17/Klf5/Cd38/Bmpr1a/Tnfsf9/Egr3/Lamc2/Sertad1/Thbs1/Hif1a/Lamc1/Tspo/Nlgn2/Egr1/Rhog/Adm/Htr1b/Ccn1/Il12rb1/Ebi3/Nrp2/Areg/Cflar/Nrp1/Crip2/Tipin/Tiam1/Ecm1/Hdac1/Hdac2/Nf1/Tpd52/Grk5/Notch2/Pim1/Lhx2/Ppard/Sdcbp/Mdm2/Cav2/Sp1/Ifng/Cd74/Prkch/Pgf/Rara/Atf3/Gcnt2/E2f3/Cul4a/Lif/Il4/Il7r/Cd86/Tnf/Ntrk3/Itga4/Actb/Tgfb1/Myd88/Fgfr3/Fermt2/Il13/Cdc6/Cdk1/Pik3ca/Kmt2d/Irs2/Cdc42/Hmox1/Dlg1/Insm1/Mif/Cx3cl1,Temp_main,Up
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon-alpha Response,Hallmark,-2.23128388,3.19581962e-9,5.32636603e-8,96,Cmpk2/Cd47/Casp8/Casp1/Cnp/Ddx60/Irf7/Psme2/Gmpr/Wars/B2m/Tmem140/Ifit3/Eif2ak2/Parp12/Irf1/Psmb8/Lpar6/Rtp4/Ogfr/Trim5/Tap1/Mov10/Psmb9/Trim12c/Irf2/Trafd1/Elf1/Irf9/Nmi/Psme1/Nub1/Herc6/Adar/Trim14/Ifi35/Slc25a28/Parp14/Trim26/Ifit2/Trim21/Gbp2/Txnip/Stat2/Gbp3/Sp110/Parp9/Samd9l/Sell/Uba7,Temp_main,Down
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Hallmark,2.04357352,1.74319596e-8,1.80705115e-7,144,Timp1/Sdc1/Itga5/Itgav/Spp1/Plod3/Itgb5/Serpine1/Cd44/Plod2/Inhba/Tpm4/Tnfrsf11b/Eno2/Dab2/Plaur/Vegfa/Itgb1/Aplp1/Sdc4/Plod1/Basp1/Thy1/Pvr/Lamc2/Thbs1/Lrp1/Lamc1/Efemp2/Ccn1/Areg/Glipr1/Cxcl2/Col5a2/Ecm1/Calu/Notch2/Gem/Lgals1/Tgm2/Pmp22/Sparc/Eln/Gpc1/Gadd45b/Tgfb1/Timp3/Fermt2,Temp_main,Up
