contrast,database,n_sets_tested,n_sig_up,n_sig_down,top_pathway_up,top_nes_up,top_pathway_down,top_nes_down,status
Geno_at_37,GO_BP,2389,4,1,Recombinational Repair,2.02043514,Proton Transmembrane Transport,-1.97240046,ok
Geno_at_37,GO_CC,311,0,7,NA,NA,Ribosomal Subunit,-2.07001537,ok
Geno_at_37,GO_MF,386,2,5,Catalytic Activity Acting On DNA,1.86194988,Proton Transmembrane Transporter Activity,-1.98588498,ok
Geno_at_37,Hallmark,50,3,3,Interferon-alpha Response,1.86470502,Oxidative Phosphorylation,-1.72689229,ok
Geno_at_37,KEGG,131,1,7,Rig I Like Receptor Signaling Pathway,2.02700871,Ribosome,-2.24196821,ok
Geno_at_37,Reactome,663,7,12,Diseases of DNA Repair,2.15761126,Eukaryotic Translation Elongation,-2.25018927,ok
Geno_at_37,TF_Targets,352,0,0,NA,NA,NA,NA,ok
Geno_at_37,WikiPathways,417,0,1,NA,NA,Electron Transport Chain OXPHOS System in Mitochondria,-2.04261935,ok
Geno_at_39,GO_BP,2389,127,14,Defense Response to Virus,3.01738928,Proton Motive Force Driven ATP Synthesis,-2.18297583,ok
Geno_at_39,GO_CC,311,5,9,Nuclear Ubiquitin Ligase Complex,2.03812444,Respiratory Chain Complex,-2.15904886,ok
Geno_at_39,GO_MF,386,39,8,Double Stranded RNA Binding,2.73566626,Proton Transmembrane Transporter Activity,-2.07251453,ok
Geno_at_39,Hallmark,50,7,4,Interferon-alpha Response,3.30931164,Oxidative Phosphorylation,-2.14293009,ok
Geno_at_39,KEGG,131,10,11,Rig I Like Receptor Signaling Pathway,2.47246857,Oxidative Phosphorylation,-2.2179852,ok
Geno_at_39,Reactome,663,42,28,Interferon-alpha beta Signaling,3.04860668,Formation of the Early Elongation Complex,-2.24423984,ok
Geno_at_39,TF_Targets,352,12,2,Rlf Target Genes,1.92347878,Znf581 Target Genes,-1.78105148,ok
Geno_at_39,WikiPathways,417,34,4,Type I Interferon Induction and Signaling During Sarscov2 Infection,2.70635795,Electron Transport Chain OXPHOS System in Mitochondria,-2.20326141,ok
Geno_main,GO_BP,2389,70,24,Defense Response to Virus,2.93820231,Proton Transmembrane Transport,-2.3748656,ok
