arm,arm_label,arm_hypothesis,method,feature,feature_kind,contrast,score,pvalue,padj,direction,significant
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Cxcl10,gene,WT_heat,-0.392976448,0.698621442,0.788742733,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Cxcl10,gene,KO_heat,-1.9746335,0.0627157512,0.117630887,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Cxcl10,gene,Interaction,1.11840042,0.277053252,1,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Cxcl10,gene,Temp_main,-1.67415305,0.110146298,0.164671351,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Ifit1,gene,WT_heat,4.15406854,2.55474921e-4,0.001050019,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Ifit1,gene,KO_heat,-4.27090682,1.8506172e-4,7.61570388e-4,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Ifit1,gene,Interaction,5.95735721,1.6657895e-6,0.00327810716,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Ifit1,gene,Temp_main,-0.082617142,0.93471314,0.953824393,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Irf7,gene,WT_heat,0.863484974,0.394826423,0.52156737500000006,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Irf7,gene,KO_heat,-9.28722253,2.87661856e-10,6.39649453e-9,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Irf7,gene,Interaction,7.17763411,6.0025437e-8,3.93746858e-4,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Irf7,gene,Temp_main,-5.95648195,1.66984012e-6,7.07748949e-6,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Isg15,gene,WT_heat,4.01336804,3.75888151e-4,0.00147470154,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Isg15,gene,KO_heat,-2.36601631,0.0247444915,0.0539732706,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Isg15,gene,Interaction,4.51090593,9.50480297e-5,0.074818007,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Isg15,gene,Temp_main,1.16485358,0.253397136,0.336341713,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,DE:limma-trend,Mx1,gene,WT_heat,5.65179093,3.89972745e-6,2.62727249e-5,Up,TRUE
