gse,recovering_query,query_family,title,organism,tissue_cell,perturbation,context_class,interferon_related,viral,cgas_sting,thermal_heat_shock,incidental_ifn_note,evidence,pubmed_id,source_url,confidence,source_tool,source_prompt,retrieved_date
GSE193605,Q_sig_Interaction_up_fdr_logfc,Interaction_up (cGAS-dependent ISG),CRISPR activation for SCN2A-related neurodevelopmental disorders,Mus musculus,Neuro2a (N2a) neuroblastoma cells,Plasmid transfection of CRISPR activation (CRISPRa) targeting the Scn2a promoter vs control in Neuro2a cells,other,TRUE,FALSE,FALSE,FALSE,Plasmid DNA transfection carrying CRISPRa machinery into cultured cells introduces cytosolic nucleic acids that incidentally activate type-I interferon / ISG responses.,The record investigates mRNA expression after CRISPR activation targeting the mouse Scn2a promoter in Neuro2a cells for therapeutic modeling of neurodevelopmental disorders.,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193605,high,"agy (Google Antigravity CLI / Gemini, --dangerously-skip-permissions, print-mode)",docs/_internal/reasoning/2026-07-23_coresh_gse_annotation/PROMPT.md,2026-07-23
GSE62757,Q_sig_Interaction_up_fdr_logfc,Interaction_up (cGAS-dependent ISG),"Differential gene expression in spinal cords from uninfected WT mice and infected RdRP transgenic mice (2 days post infection with Encephalomyocarditis Virus, EMCV)",Mus musculus,spinal cord,Encephalomyocarditis Virus (EMCV) infection (2 days post-infection) in RdRP transgenic mice vs uninfected wild-type mice,viral_infection,TRUE,TRUE,FALSE,FALSE,,The GEO record profiles gene expression in mouse spinal cords to analyze the antiviral effect of a picornaviral RdRP transgene against EMCV infection.,26633895,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62757,high,"agy (Google Antigravity CLI / Gemini, --dangerously-skip-permissions, print-mode)",docs/_internal/reasoning/2026-07-23_coresh_gse_annotation/PROMPT.md,2026-07-23
GSE62758,Q_sig_Interaction_up_fdr_logfc,Interaction_up (cGAS-dependent ISG),Differential gene expression in spinal cords from WT mice during uninfected (baseline) conditions and after (2 days post) infection with Encephalomyocarditis Virus (EMCV),Mus musculus,spinal cord,Encephalomyocarditis Virus (EMCV) infection (2 days post-infection) vs uninfected baseline in wild-type mice,viral_infection,TRUE,TRUE,FALSE,FALSE,,The GEO record measures transcriptome changes in wild-type mouse spinal cords 2 days post-infection with Encephalomyocarditis Virus (EMCV).,26633895,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62758,high,"agy (Google Antigravity CLI / Gemini, --dangerously-skip-permissions, print-mode)",docs/_internal/reasoning/2026-07-23_coresh_gse_annotation/PROMPT.md,2026-07-23
GSE89069,Q_sig_Interaction_up_fdr_logfc,Interaction_up (cGAS-dependent ISG),Next Generation Sequencing Facilitates Quantitative Analysis of brain Transcriptome after viral infection with ZIKV (Zika Virus),Mus musculus,embryonic brain (E17.5),Zika virus (ZIKV) infection at E14.5 vs uninfected control,viral_infection,TRUE,TRUE,FALSE,FALSE,,"The study profiles RNA-seq changes in E17.5 mouse brains following Zika virus infection, demonstrating significant activation of viral immune response pathways.",27729407,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE89069,high,"agy (Google Antigravity CLI / Gemini, --dangerously-skip-permissions, print-mode)",docs/_internal/reasoning/2026-07-23_coresh_gse_annotation/PROMPT.md,2026-07-23
GSE94388,Q_sig_Interaction_up_fdr_only,Interaction_up (cGAS-dependent ISG),"RNA editing is the essential function of ADAR1 and, in the absence of MDA5, is dispensable for normal adult homeostasis [RNAseq (Fetal Brain)]",Mus musculus,fetal brain,ADAR1 editing-deficient point mutation (E861A) vs wild-type in fetal brain,nucleic_acid_sensing,TRUE,FALSE,FALSE,FALSE,"Loss of ADAR1 RNA editing leads to unedited endogenous dsRNA accumulation, which activates cytosolic dsRNA sensor MDA5 and drives a strong type-I interferon response.",The study shows that ADAR1 A-to-I RNA editing essentiality is mediated by preventing endogenous dsRNA from triggering the MDA5 cytosolic RNA sensor and interferon pathways.,28874170,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94388,high,"agy (Google Antigravity CLI / Gemini, --dangerously-skip-permissions, print-mode)",docs/_internal/reasoning/2026-07-23_coresh_gse_annotation/PROMPT.md,2026-07-23
GSE169006,Q_sig_WT_heat_up_fdr_logfc,WT_heat_up (generic thermal),Lysophosphatidylserines derived from microbiota in Crohn’s disease elicit pathological Th1 response,Mus musculus,"colonic CD4+ T cells (naive, effector, regulatory T cells)",Lysophosphatidylserine (LysoPS) stimulation / treatment in CD4+ T cells and P2ry10/P2ry10b knockout vs wild-type in T cell-dependent colitis,metabolic,TRUE,FALSE,FALSE,FALSE,Microbiota-derived metabolite LysoPS triggers metabolic reprogramming and drives IFN-gamma production in CD4+ Th1 cells in intestinal inflammation.,The study examines how microbiota-derived lysophosphatidylserine (LysoPS) induces metabolic reprogramming and pathological IFN-gamma-producing Th1 cell responses in mouse colitis.,35608941,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169006,high,"agy (Google Antigravity CLI / Gemini, --dangerously-skip-permissions, print-mode)",docs/_internal/reasoning/2026-07-23_coresh_gse_annotation/PROMPT.md,2026-07-23
GSE41833,Q_sig_WT_heat_up_fdr_logfc,WT_heat_up (generic thermal),Expression profiles of primary bone marrow derived mouse macrophages – untreated and treated with LPS or LPS+PGE,Mus musculus,bone marrow-derived macrophages (BMDMs),LPS stimulation or LPS + prostaglandin E2 (PGE2) treatment vs untreated control in BMDMs,inflammation_other,TRUE,FALSE,FALSE,FALSE,"LPS stimulation of macrophages engages TLR4-TRIF signaling, which inherently induces type-I interferons and ISGs alongside inflammatory cytokines.",The dataset profiles bone marrow-derived macrophages treated with LPS or LPS+PGE2 to investigate macrophage polarization towards a regulatory anti-inflammatory phenotype.,23241891,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41833,high,"agy (Google Antigravity CLI / Gemini, --dangerously-skip-permissions, print-mode)",docs/_internal/reasoning/2026-07-23_coresh_gse_annotation/PROMPT.md,2026-07-23
GSE46185,Q_sig_WT_heat_up_fdr_logfc,WT_heat_up (generic thermal),Genome-wide gene expression profiling revealed a critical role for GATA3 in the maintenance of the Th2 cell identity,Mus musculus,CD4+ Th2 cells,GATA3 knockdown via siRNA transfection vs mock-transfected control in Th2 cells,developmental,FALSE,FALSE,FALSE,FALSE,siRNA knockdown transfection in cultured T cells can introduce exogenous RNA that may trigger low-level cytosolic RNA sensing or cellular stress.,The record profiles gene expression in Th2 cells following GATA3 siRNA knockdown to demonstrate GATA3 required role in maintaining Th2 cell lineage identity.,23824597,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46185,high,"agy (Google Antigravity CLI / Gemini, --dangerously-skip-permissions, print-mode)",docs/_internal/reasoning/2026-07-23_coresh_gse_annotation/PROMPT.md,2026-07-23
GSE65083,Q_sig_WT_heat_up_fdr_logfc,WT_heat_up (generic thermal),Bach2 inhibits Th2-type immune responses by regulating glutamine metabolism [expression array],Mus musculus,CD4+ T helper (Th2) cells,"Bach2 knockout (KO) vs wild-type (WT) in Th cells, with or without TCR restimulation",metabolic,FALSE,FALSE,FALSE,FALSE,,The record investigates how Bach2 represses glutaminase 2 expression and glutamine metabolism to regulate Th2 cell differentiation and allergic inflammation.,27581382,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65083,high,"agy (Google Antigravity CLI / Gemini, --dangerously-skip-permissions, print-mode)",docs/_internal/reasoning/2026-07-23_coresh_gse_annotation/PROMPT.md,2026-07-23
GSE163856,Q_sig_WT_heat_up_fdr_only,WT_heat_up (generic thermal),Tissue damage leads to a conserved stress response that initiates quiescent muscle stem cell activation,Mus musculus,skeletal muscle stem cells (satellite cells) and liver / muscle single nuclei,Tissue injury / dissociation vs intact quiescent tissue,thermal_heat_shock,FALSE,FALSE,FALSE,TRUE,,The record identifies a broadly conserved transcriptional stress response activated by tissue damage and enzymatic dissociation during quiescent muscle stem cell activation.,33609440,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163856,high,"agy (Google Antigravity CLI / Gemini, --dangerously-skip-permissions, print-mode)",docs/_internal/reasoning/2026-07-23_coresh_gse_annotation/PROMPT.md,2026-07-23
