pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757,Coresh Q Sig Interaction Up Fdr Logfc Gse62757,CoReSh_derived,2.63723735,1.2112735e-8,1.6957829e-7,46,Ifit1/Isg15/Irf7/Oas2/Rnf213/Ifi27l2a/Trim12c/Ifi27/Trim25/Ifit3/Bst2/Oasl2/Samd9l/Ifit2/Rtp4/Xaf1/Xist/Iigp1/Psmb8/Rsad2/Zc3hav1,Geno_at_37,Up
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605,Coresh Q Sig Interaction Up Fdr Logfc Gse193605,CoReSh_derived,2.54326009,1.28424314e-7,6.40059751e-7,46,Ifit1/Isg15/Irf7/Rnf213/Trim12c/Dhx58/Ifi27/Bst2/Mx1/Oasl2/Helz2/Oasl1/Ifit2/Plat/Rtp4/Parp10/Xaf1,Geno_at_37,Up
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758,Coresh Q Sig Interaction Up Fdr Logfc Gse62758,CoReSh_derived,2.50773316,1.37155661e-7,6.40059751e-7,47,Ifit1/Isg15/Rnf213/Ifi27/Trim25/Ifit3/Samd9l/Hspa1a/Ifit2/Plin4/Ly6c2/Rtp4/Xaf1/Aif1/Iigp1/Psmb8/Rsad2/Zc3hav1/Cmpk2/Mx2/Hspa1b/Gbp7,Geno_at_37,Up
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069,Coresh Q Sig Interaction Up Fdr Logfc Gse89069,CoReSh_derived,2.258475,3.17672823e-6,1.11185488e-5,48,Ifit1/Irf7/Rnf213/Trim12c/Trim25/H2-T24/Bst2/Oasl2/Samd9l/Helz2/Trim56/Ifit2,Geno_at_37,Up
CORESH_Q_sig_Interaction_up_fdr_only_GSE94388,Coresh Q Sig Interaction Up Fdr Only Gse94388,CoReSh_derived,2.10642106,3.98102703e-5,1.11468757e-4,48,Isg15/Rnf213/Tdrd7/Trim12c/Trim25/Bst2/Oasl2/Helz2/Ifit2/H2-Q7/Pml/Xist/Slfn5/Zc3hav1/Cmpk2/Eif2ak2/H2-K1/Gbp7/Ifih1/Stat2/H2-T22,Geno_at_37,Up
CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870,Coresh Q Sig Wt Heat Up Fdr Only Gse48870,CoReSh_derived,-1.65109832,0.0113181786,0.0264090835,37,mt-Nd4/mt-Nd1/mt-Co1/Itm2b/mt-Cytb/Rack1/mt-Nd2/Rps5/Rpl4/S100a6/Eef1a1/Anxa8/Tmsb4x,Geno_at_37,Down
CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205,Coresh Q Sig Wt Heat Up Fdr Only Gse80205,CoReSh_derived,-1.55787874,0.0296738494,0.0593476987,46,mt-Nd4/mt-Nd1/mt-Co1/mt-Cytb/Rack1/mt-Nd2/Tubb5/Rpl4/Rplp0/Eef1a1/Eif4g2/Vim/Rpl8/Cfl1/Npm1/Slc7a5/mt-Nd5,Geno_at_37,Down
CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225,Coresh Q Sig Wt Heat Up Fdr Only Gse174225,CoReSh_derived,-1.34752194,0.0853889943,0.14943074,49,mt-Nd4/mt-Nd1/mt-Co1/Ubb/mt-Cytb/mt-Nd2/Rpl4/Eef1a1/Eif4g2/Psap/Tmsb4x/Ywhaz/Cfl1/Eno1/Cyfip2/Calm2/Calm1/mt-Nd5,Geno_at_37,Down
CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006,Coresh Q Sig Wt Heat Up Fdr Logfc Gse169006,CoReSh_derived,1.22991247,0.120901639,0.188069217,48,Serpine1/Crabp2/Gls2/Sema3b/Mir155hg/Ccn4/Lilrb4a/Lif/Atf3/Aspm/Adh4/Srxn1/Il3/Ska1/Il2/Fads2/Cth/Serpinb5/Csf2,Geno_at_37,Up
CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185,Coresh Q Sig Wt Heat Up Fdr Logfc Gse46185,CoReSh_derived,1.14450096,0.210526316,0.294736842,49,Sdr39u1/Crabp2/Pou2af1/Dusp4/Serpinb6b/Olr1/Cd83/Il31/Mmp13/Il3/Il6/Il2/Mpzl2/Cth/Inhba/Il4/Siglecf/Csf2/Cd70/Xcl1/Cxcl2/Plek,Geno_at_37,Up
