"set_id","set_label","origin","contrast","nes","padj","set_size","sig"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","GSE62757 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","Geno_at_37",2.63723735,1.6957829e-07,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","GSE193605 · other · Neuro2a (N2a) neuroblastoma cells","Interaction_up (cGAS-specific ISG)","Geno_at_37",2.54326009,6.40059751e-07,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","GSE62758 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","Geno_at_37",2.50773316,6.40059751e-07,47,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","GSE89069 · viral infection · embryonic brain (E17.5)","Interaction_up (cGAS-specific ISG)","Geno_at_37",2.258475,1.11185488e-05,48,TRUE
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","GSE94388 · nucleic acid sensing · fetal brain","Interaction_up (cGAS-specific ISG)","Geno_at_37",2.10642106,0.000111468757,48,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","GSE48870 · developmental · B cell subsets from bone marrow, spleen, and small intestinal lamina propria","WT_heat_up (generic thermal)","Geno_at_37",-1.65109832,0.0264090835,37,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","GSE80205 · other · Neuro2a (N2a) neuroblastoma cells and neural/stem cells","WT_heat_up (generic thermal)","Geno_at_37",-1.55787874,0.0593476987,46,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","GSE174225 · cancer tumor · CD4+ and CD8+ tumor-infiltrating lymphocytes (TILs) and draining lymph node T cells","WT_heat_up (generic thermal)","Geno_at_37",-1.34752194,0.14943074,49,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","GSE169006 · metabolic · colonic CD4+ T cells (naive, effector, regulatory T cells)","WT_heat_up (generic thermal)","Geno_at_37",1.22991247,0.188069217,48,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","GSE46185 · developmental · CD4+ Th2 cells","WT_heat_up (generic thermal)","Geno_at_37",1.14450096,0.294736842,49,FALSE
