"pathway_id","pathway_name","nes","padj","set_size","sig","direction","contrast"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","Coresh Q Sig Interaction Up Fdr Logfc Gse62757",2.63723735,1.6957829e-07,46,TRUE,"Up","Geno_at_37"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","Coresh Q Sig Interaction Up Fdr Logfc Gse193605",2.54326009,6.40059751e-07,46,TRUE,"Up","Geno_at_37"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","Coresh Q Sig Interaction Up Fdr Logfc Gse62758",2.50773316,6.40059751e-07,47,TRUE,"Up","Geno_at_37"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","Coresh Q Sig Interaction Up Fdr Logfc Gse89069",2.258475,1.11185488e-05,48,TRUE,"Up","Geno_at_37"
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","Coresh Q Sig Interaction Up Fdr Only Gse94388",2.10642106,0.000111468757,48,TRUE,"Up","Geno_at_37"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","Coresh Q Sig Wt Heat Up Fdr Only Gse48870",-1.65109832,0.0264090835,37,TRUE,"Down","Geno_at_37"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","Coresh Q Sig Wt Heat Up Fdr Only Gse80205",-1.55787874,0.0593476987,46,FALSE,"Down","Geno_at_37"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","Coresh Q Sig Wt Heat Up Fdr Only Gse174225",-1.34752194,0.14943074,49,FALSE,"Down","Geno_at_37"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","Coresh Q Sig Wt Heat Up Fdr Logfc Gse169006",1.22991247,0.188069217,48,FALSE,"Up","Geno_at_37"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","Coresh Q Sig Wt Heat Up Fdr Logfc Gse46185",1.14450096,0.294736842,49,FALSE,"Up","Geno_at_37"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","Coresh Q Sig Wt Heat Up Fdr Logfc Gse41833",1.05082817,0.45626072,44,FALSE,"Up","Geno_at_37"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","Coresh Q Sig Wt Heat Up Fdr Logfc Gse65083",0.92000909,0.714893617,46,FALSE,"Up","Geno_at_37"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","Coresh Q Sig Wt Heat Up Fdr Only Gse212127",-0.689332625,0.976653696,46,FALSE,"Down","Geno_at_37"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","Coresh Q Sig Wt Heat Up Fdr Only Gse163856",-0.615350819,0.976653696,48,FALSE,"Down","Geno_at_37"
