pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605,Coresh Q Sig Interaction Up Fdr Logfc Gse193605,CoReSh_derived,3.39251505,2.901713e-29,4.0623982e-28,46,Ifi27/Ifit1/Irf7/Helz2/Oasl2/Rnf213/Isg15/Rtp4/Mx1/Trim12c/Xaf1/Dhx58/Eif2ak2/Mx2/Lgals3bp/Lgals9/Oasl1/Usp18/Stat2/Cmpk2/Irf9/Ifit2/Rsad2/Herc6/Parp14/Parp12/Parp9/Oas1b/Bst2/Parp10,Geno_at_39,Up
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069,Coresh Q Sig Interaction Up Fdr Logfc Gse89069,CoReSh_derived,3.33624873,7.302898529999999e-26,5.112028969999999e-25,48,Ifit1/Irf7/Helz2/Oasl2/Rnf213/Trim12c/Samd9l/Eif2ak2/Trim25/Lgals3bp/Slfn5/Stat2/Pml/Trim56/Ifih1/H2-T24/Cmpk2/Irf9/H2-T23/Ifit2/Mpeg1/Herc6/Parp14/Parp12/Parp9/Bst2/H2-T22/Tapbp/Zc3hav1,Geno_at_39,Up
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757,Coresh Q Sig Interaction Up Fdr Logfc Gse62757,CoReSh_derived,3.3149696,6.87597404e-25,3.20878788e-24,46,Ifi27/Ifit1/Irf7/Oasl2/Rnf213/Isg15/Rtp4/Trim12c/Samd9l/Xaf1/Ifi27l2a/Oas2/Trim25/Mx2/Ifit3/Lgals3bp/Usp18/Oas1a/Ifih1/Irf9/Ifit2/Rsad2/Parp12/Parp9/Bst2/Zc3hav1,Geno_at_39,Up
CORESH_Q_sig_Interaction_up_fdr_only_GSE94388,Coresh Q Sig Interaction Up Fdr Only Gse94388,CoReSh_derived,3.18163436,3.99249599e-20,1.3973736e-19,48,Helz2/Oasl2/Rnf213/Isg15/Trim12c/Eif2ak2/Trim25/Lgals3bp/Lgals9/Usp18/Slfn5/Stat2/Pml/Ifih1/Cmpk2/Irf9/H2-T23/Ifit2/Parp12/Mir6236/Parp9/Tdrd7/Lars2/Bst2/H2-T22/Tapbp/Zc3hav1,Geno_at_39,Up
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758,Coresh Q Sig Interaction Up Fdr Logfc Gse62758,CoReSh_derived,3.0937441,5.4153000099999994e-17,1.516284e-16,47,Ifi27/Ifit1/Rnf213/Isg15/Rtp4/Samd9l/Xaf1/Trim25/Mx2/Ifit3/Oas1a/Cmpk2/Irf9/Ifit2/Rsad2/Parp12/Parp9/Zc3hav1/Ly6c2,Geno_at_39,Up
CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870,Coresh Q Sig Wt Heat Up Fdr Only Gse48870,CoReSh_derived,-1.60711471,0.0216242568,0.0504565992,37,S100a6/Perp/Eef1a1/Rpl4/Tmsb4x/Rack1/mt-Cytb/Rps3/mt-Nd2/Tgfbi/Rps5/mt-Nd4/mt-Co1,Geno_at_39,Down
CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083,Coresh Q Sig Wt Heat Up Fdr Logfc Gse65083,CoReSh_derived,1.44315504,0.05,0.0972222222,46,Il17f/Cxcl10/C2cd4b/Rhov/Zeb2/Inhba/Il6/Cd160/Havcr2/Srxn1/Wnt3/Penk/Tnfsf11/Mst1r/Il2/Acod1,Geno_at_39,Up
CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833,Coresh Q Sig Wt Heat Up Fdr Logfc Gse41833,CoReSh_derived,1.42977399,0.0555555556,0.0972222222,44,Ccl5/Serpinb2/Cxcl10/Il6/Gja1/Il1a/Ptgs2/Gm6377/Acod1/Phlda1/Dusp5/Trem1/Serpine1/Lif/Olr1,Geno_at_39,Up
CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205,Coresh Q Sig Wt Heat Up Fdr Only Gse80205,CoReSh_derived,-1.38069084,0.0649350649,0.101010101,46,Eef1a1/Rpl4/Cfl1/Rack1/Hnrnpa2b1/mt-Cytb/Hsp90b1/Hsp90aa1/Tcf7l1/Vim/mt-Nd2/Rplp0/mt-Nd4/mt-Co1/Npm1/Calr/Map1b/Tubb5/Serbp1/mt-Nd1,Geno_at_39,Down
CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225,Coresh Q Sig Wt Heat Up Fdr Only Gse174225,CoReSh_derived,-1.13253072,0.241685144,0.308959157,49,Calm2/Psap/Eef1a1/Rpl4/Tmsb4x/Cfl1/Calm1/mt-Cytb/Hsp90aa1/mt-Nd2/Calm3/mt-Nd4/mt-Co1,Geno_at_39,Down
