pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605,Coresh Q Sig Interaction Up Fdr Logfc Gse193605,CoReSh_derived,3.45283927,8.49620633e-30,1.18946889e-28,46,Ifit1/Ifi27/Irf7/Isg15/Rnf213/Helz2/Oasl2/Trim12c/Mx1/Dhx58/Rtp4/Xaf1/Eif2ak2/Oasl1/Mx2/Usp18/Lgals3bp/Lgals9/Stat2/Ifit2/Cmpk2/Bst2/Irf9/Rsad2/Parp14/Herc6/Oas1b/Parp12/Parp10/Parp9,Geno_main,Up
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757,Coresh Q Sig Interaction Up Fdr Logfc Gse62757,CoReSh_derived,3.32713887,3.17871371e-23,2.2250996e-22,46,Ifit1/Ifi27/Irf7/Isg15/Rnf213/Oasl2/Trim12c/Oas2/Ifi27l2a/Samd9l/Rtp4/Xaf1/Trim25/Ifit3/Mx2/Usp18/Lgals3bp/Oas1a/Ifit2/Ifih1/Bst2/Irf9/Rsad2/Parp12/Parp9/Zc3hav1,Geno_main,Up
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069,Coresh Q Sig Interaction Up Fdr Logfc Gse89069,CoReSh_derived,3.30372071,4.3763089e-21,2.0422774900000002e-20,48,Ifit1/Irf7/Rnf213/Helz2/Oasl2/Trim12c/Samd9l/Trim25/Eif2ak2/Slfn5/Lgals3bp/Stat2/H2-T24/Pml/Trim56/Ifit2/Ifih1/Cmpk2/Bst2/Irf9/H2-T23/Parp14/Herc6/Mpeg1/Parp12/Parp9/Zc3hav1/H2-T22,Geno_main,Up
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758,Coresh Q Sig Interaction Up Fdr Logfc Gse62758,CoReSh_derived,3.155521,1.30161887e-16,4.55566605e-16,47,Ifit1/Ifi27/Isg15/Rnf213/Samd9l/Rtp4/Xaf1/Trim25/Ifit3/Mx2/Oas1a/Ifit2/Cmpk2/Irf9/Rsad2/Parp12/Parp9/Ly6c2/Zc3hav1/Iigp1/Hspa1a,Geno_main,Up
CORESH_Q_sig_Interaction_up_fdr_only_GSE94388,Coresh Q Sig Interaction Up Fdr Only Gse94388,CoReSh_derived,3.11231007,1.5987174200000001e-15,4.476408770000001e-15,48,Isg15/Rnf213/Helz2/Oasl2/Trim12c/Trim25/Eif2ak2/Slfn5/Usp18/Lgals3bp/Lgals9/Stat2/Pml/Tdrd7/Ifit2/Ifih1/Cmpk2/Bst2/Irf9/H2-T23/Parp12/Parp9/Zc3hav1/H2-T22/H2-Q7,Geno_main,Up
CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870,Coresh Q Sig Wt Heat Up Fdr Only Gse48870,CoReSh_derived,-2.01189653,2.90785694e-4,6.78499952e-4,37,S100a6/Rack1/Rpl4/mt-Cytb/mt-Nd4/Eef1a1/mt-Co1/mt-Nd2/Tmsb4x/mt-Nd1/Rps5/Itm2b/Perp,Geno_main,Down
CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205,Coresh Q Sig Wt Heat Up Fdr Only Gse80205,CoReSh_derived,-1.79313745,0.00245302618,0.00490605236,46,Rack1/Rpl4/mt-Cytb/mt-Nd4/Eef1a1/mt-Co1/mt-Nd2/mt-Nd1/Cfl1/Rplp0/Vim/Tubb5,Geno_main,Down
CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225,Coresh Q Sig Wt Heat Up Fdr Only Gse174225,CoReSh_derived,-1.57991412,0.0126149654,0.0220761895,49,Rpl4/mt-Cytb/Psap/mt-Nd4/Eef1a1/Calm2/mt-Co1/mt-Nd2/Tmsb4x/mt-Nd1/Cfl1/Calm1,Geno_main,Down
CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006,Coresh Q Sig Wt Heat Up Fdr Logfc Gse169006,CoReSh_derived,1.39815939,0.0650557621,0.101197852,48,Serpine1/Sema3b/Gls2/Fam171b/Mir155hg/Atf3/Crabp2/Il21/Fads2/Lilrb4a/Srxn1/Lif/Il2/Slc17a6/Plscr1/Ccn4/Aspm/Adh4/Dclk1,Geno_main,Up
CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083,Coresh Q Sig Wt Heat Up Fdr Logfc Gse65083,CoReSh_derived,1.36096953,0.08,0.112,46,Il17f/Havcr2/Zeb2/Rhov/Wnt3/Cxcl10/Penk/Inhba/C2cd4b/Il6/Il1r2/Srxn1/Mst1r/Cd83,Geno_main,Up
