pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185,Coresh Q Sig Wt Heat Up Fdr Logfc Gse46185,CoReSh_derived,2.78400295,1.7238433600000002e-15,2.4133807e-14,49,Crabp2/Plek/Lta/Olr1/Tnfsf11/Pdzk1ip1/Inhba/Nr4a2/Il2/Ccl4/Nr4a3/Cd70/Nr4a1/Il1a/Ccl3/Hbegf/Csf2/Egr2/Il3/Rgs16/Cd83/Egr3/Mpzl2/Cth/Spry1/Dusp4/Areg/Cxcl2/Il24/Ifng/Il4/Tnf/Serpinb6b/Il13,Temp_main,Up
CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083,Coresh Q Sig Wt Heat Up Fdr Logfc Gse65083,CoReSh_derived,2.7263065,1.34689037e-14,9.42823257e-14,46,Timp1/Il17f/Srxn1/Tnfsf11/Zeb2/Sphk1/Pdzk1ip1/Inhba/Il2/Ccl4/Bdh2/Nr4a1/Wnt3/Ccl3/Csf2/Il1r2/Egr2/Il3/Rgs16/Cd83/Egr3/Mpzl2/Mst1r/Egr1/Areg/Mt2/Rhov/Havcr2/Ifng/C2cd4b,Temp_main,Up
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069,Coresh Q Sig Interaction Up Fdr Logfc Gse89069,CoReSh_derived,-2.50844403,2.48063158e-11,1.15762807e-10,48,Samd9l/Parp9/Dtx3l/Gbp3/Stat2/Tapbp/Iigp1/Shisa5/Ifit2/Parp14/Slfn5/Stat1/Mpeg1/Herc6/H2-T23/Erap1/Irgm1/Irf9/Trim56/Zc3hav1/Trim12c/Mov10/H2-T22/Gbp7/Rnf213/Parp12/Oasl2/Eif2s3y/Eif2ak2/B2m/Pml,Temp_main,Down
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605,Coresh Q Sig Interaction Up Fdr Logfc Gse193605,CoReSh_derived,-2.50194571,4.11818526e-11,1.44136484e-10,46,Lgals9/Parp9/Dtx3l/Stat2/Apol9b/Igtp/Trim21/Irgm2/Ifit2/Parp14/Stat1/Apol9a/Ifi35/Parp10/Herc6/Xaf1/Irgm1/Irf9/Trim12c/Oas1b/Tap1/Rtp4/Rnf213/Parp12/Oasl2/Eif2ak2,Temp_main,Down
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757,Coresh Q Sig Interaction Up Fdr Logfc Gse62757,CoReSh_derived,-2.46810613,1.8494566e-10,5.17847848e-10,46,Samd9l/Parp9/Dtx3l/Gbp3/Iigp1/Gbp2/Igtp/Trim21/Tgtp2/Ifit2/Stat1/Ifi35/Xaf1/Irgm1/Irf9/Gbp6/Zc3hav1/Trim12c/Psmb9/Gbp7/Rtp4/Psmb8/Rnf213/Parp12/Oasl2/Ifit3/B2m,Temp_main,Down
CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758,Coresh Q Sig Interaction Up Fdr Logfc Gse62758,CoReSh_derived,-2.45282275,3.51310429e-10,7.02620858e-10,47,Samd9l/Samhd1/Parp9/Dtx3l/Gbp3/Iigp1/Gbp2/Shisa5/Igtp/Trim21/Tgtp2/Ifit2/Stat1/Ifi35/Xaf1/Irgm1/Nmi/Irf9/Gbp6/Zc3hav1/Gbp7/Rtp4/Psmb8/Rnf213/Irf1/Parp12/Phf11d/Ifit3/B2m,Temp_main,Down
CORESH_Q_sig_Interaction_up_fdr_only_GSE94388,Coresh Q Sig Interaction Up Fdr Only Gse94388,CoReSh_derived,-2.43257684,3.29397697e-10,7.02620858e-10,48,Lgals9/Parp9/Dtx3l/Stat2/Tapbp/H2-Q4/Shisa5/Trim21/Ifit2/Slfn5/Stat1/H2-T23/Erap1/Irgm1/Irf9/Gbp6/Zc3hav1/Tcirg1/Trim12c/Mov10/H2-T22/Gbp7/Rnf213/Parp12/Oasl2/Eif2ak2/B2m/Pml,Temp_main,Down
CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006,Coresh Q Sig Wt Heat Up Fdr Logfc Gse169006,CoReSh_derived,2.3890662,1.07658441e-8,1.88402273e-8,48,Crabp2/Perp/Srxn1/Cdkn1a/Serpine1/Tnfsf14/Il2/Gls2/Ccl4/F3/Galnt3/AA467197/Csf2/Asns/Il3/Bhlhe40/Cth/Plscr1/Tbx21/Mir155hg/Il24/Ifng/Atf3/Lif/Dusp14/Stc2/Sema3b,Temp_main,Up
CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833,Coresh Q Sig Wt Heat Up Fdr Logfc Gse41833,CoReSh_derived,2.38650894,1.8336275e-8,2.85230945e-8,44,Olr1/Serpine1/Nr4a2/Ccl4/Il23a/F3/Nr4a3/Nr4a1/Dusp5/Il1a/Kdm6b/Tnfsf9/Ptgs2/Egr1/Areg/Cxcl2/Hilpda/Gem/Csrnp1/Lif/Dusp2/Dusp14/Tnf/Acod1/Gm6377/Ccl5/Maff/Il10,Temp_main,Up
CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856,Coresh Q Sig Wt Heat Up Fdr Only Gse163856,CoReSh_derived,1.98670859,1.10378498e-4,1.54529898e-4,48,Baz1a/Srxn1/Hspa1b/Cdkn1a/Stk40/Bag3/Nr4a2/Hspa1a/Map2k3/Fosl1/Tsc22d2/Sertad1/Tubb6/Hmga1/Etf1/Itpkc/Errfi1/Mt2/Pim1/Csrnp1/Atf3/Map7d1/Gadd45b,Temp_main,Up
