"pathway_id","pathway_name","nes","padj","set_size","sig","direction","contrast"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","Coresh Q Sig Wt Heat Up Fdr Logfc Gse46185",2.78400295,2.4133807e-14,49,TRUE,"Up","Temp_main"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","Coresh Q Sig Wt Heat Up Fdr Logfc Gse65083",2.7263065,9.42823257e-14,46,TRUE,"Up","Temp_main"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","Coresh Q Sig Interaction Up Fdr Logfc Gse89069",-2.50844403,1.15762807e-10,48,TRUE,"Down","Temp_main"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","Coresh Q Sig Interaction Up Fdr Logfc Gse193605",-2.50194571,1.44136484e-10,46,TRUE,"Down","Temp_main"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","Coresh Q Sig Interaction Up Fdr Logfc Gse62757",-2.46810613,5.17847848e-10,46,TRUE,"Down","Temp_main"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","Coresh Q Sig Interaction Up Fdr Logfc Gse62758",-2.45282275,7.02620858e-10,47,TRUE,"Down","Temp_main"
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","Coresh Q Sig Interaction Up Fdr Only Gse94388",-2.43257684,7.02620858e-10,48,TRUE,"Down","Temp_main"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","Coresh Q Sig Wt Heat Up Fdr Logfc Gse169006",2.3890662,1.88402273e-08,48,TRUE,"Up","Temp_main"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","Coresh Q Sig Wt Heat Up Fdr Logfc Gse41833",2.38650894,2.85230945e-08,44,TRUE,"Up","Temp_main"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","Coresh Q Sig Wt Heat Up Fdr Only Gse163856",1.98670859,0.000154529898,48,TRUE,"Up","Temp_main"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","Coresh Q Sig Wt Heat Up Fdr Only Gse48870",1.40891688,0.0667047837,37,FALSE,"Up","Temp_main"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","Coresh Q Sig Wt Heat Up Fdr Only Gse80205",-1.07746922,0.373333333,46,FALSE,"Down","Temp_main"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","Coresh Q Sig Wt Heat Up Fdr Only Gse212127",-1.0620024,0.378947368,46,FALSE,"Down","Temp_main"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","Coresh Q Sig Wt Heat Up Fdr Only Gse174225",1.03474034,0.378947368,49,FALSE,"Up","Temp_main"
