"pathway_id","pathway_name","nes","padj","set_size","sig","direction","contrast"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","Coresh Q Sig Wt Heat Up Fdr Logfc Gse46185",2.76760807,1.23535436e-13,49,TRUE,"Up","WT_heat"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","Coresh Q Sig Wt Heat Up Fdr Logfc Gse65083",2.73613911,1.23535436e-13,46,TRUE,"Up","WT_heat"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","Coresh Q Sig Wt Heat Up Fdr Logfc Gse41833",2.46346219,6.5929226e-09,44,TRUE,"Up","WT_heat"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","Coresh Q Sig Wt Heat Up Fdr Logfc Gse169006",2.4593006,6.5929226e-09,48,TRUE,"Up","WT_heat"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","Coresh Q Sig Interaction Up Fdr Logfc Gse89069",-2.30830336,1.18836803e-07,48,TRUE,"Down","WT_heat"
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","Coresh Q Sig Interaction Up Fdr Only Gse94388",-2.141803,4.44553663e-06,48,TRUE,"Down","WT_heat"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","Coresh Q Sig Interaction Up Fdr Logfc Gse62758",-2.08488864,4.21366705e-05,47,TRUE,"Down","WT_heat"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","Coresh Q Sig Interaction Up Fdr Logfc Gse193605",-2.01684967,0.000144472552,46,TRUE,"Down","WT_heat"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","Coresh Q Sig Interaction Up Fdr Logfc Gse62757",-1.99381849,0.000157464841,46,TRUE,"Down","WT_heat"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","Coresh Q Sig Wt Heat Up Fdr Only Gse163856",1.98799009,0.000157464841,48,TRUE,"Up","WT_heat"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","Coresh Q Sig Wt Heat Up Fdr Only Gse48870",1.41058525,0.0646711013,37,FALSE,"Up","WT_heat"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","Coresh Q Sig Wt Heat Up Fdr Only Gse212127",-1.13649426,0.269230769,46,FALSE,"Down","WT_heat"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","Coresh Q Sig Wt Heat Up Fdr Only Gse174225",1.10585777,0.286023835,49,FALSE,"Up","WT_heat"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","Coresh Q Sig Wt Heat Up Fdr Only Gse80205",-1.02975977,0.41025641,46,FALSE,"Down","WT_heat"
