query_name,gse,gpl,pctVar,pval,size,rank
Q_sig_WT_heat_up,GSE65083,GPL7202,6.02830499,NA,95,1
Q_sig_WT_heat_up,GSE65084,GPL7202,6.02830499,NA,95,2
Q_sig_WT_heat_up,GSE46185,GPL1261,5.75545582,NA,114,3
Q_sig_WT_heat_up,GSE41833,GPL11533,5.4096561,NA,88,4
Q_sig_WT_heat_up,GSE169006,GPL17021,5.13479191,NA,99,5
Q_sig_WT_heat_up,GSE199666,GPL19057,5.00596213,NA,80,6
Q_sig_WT_heat_up,GSE147293,GPL19057,4.69037609,NA,69,7
Q_sig_WT_heat_up,GSE147294,GPL19057,4.69037609,NA,69,8
Q_sig_WT_heat_up,GSE236014,GPL24247,4.59795676,NA,75,9
Q_sig_WT_heat_up,GSE122223,GPL1261,4.52923618,NA,118,10
Q_sig_WT_heat_up,GSE169449,GPL17021,4.49567365,NA,100,11
Q_sig_WT_heat_up,GSE42131,GPL7202,4.17926975,NA,108,12
Q_sig_WT_heat_up,GSE156191,GPL19057,4.14340205,NA,99,13
Q_sig_WT_heat_up,GSE151691,GPL18480,3.97402812,NA,88,14
Q_sig_WT_heat_up,GSE56328,GPL6246,3.93898284,NA,70,15
Q_sig_WT_heat_up,GSE211177,GPL21626,3.90527687,NA,126,16
Q_sig_WT_heat_up,GSE211178,GPL21626,3.90527687,NA,126,17
Q_sig_WT_heat_up,GSE106978,GPL19057,3.85375867,NA,80,18
Q_sig_WT_heat_up,GSE28130,GPL1261,3.79223094,NA,92,19
Q_sig_WT_heat_up,GSE159369,GPL19057,3.74370906,NA,83,20
Q_sig_WT_heat_up,GSE159371,GPL19057,3.74370906,NA,83,21
Q_sig_WT_heat_up,GSE205703,GPL21626,3.65835656,NA,70,22
Q_sig_WT_heat_up,GSE166807,GPL19057,3.61375261,NA,74,23
Q_sig_WT_heat_up,GSE174030,GPL13112,3.43341038,NA,80,24
Q_sig_WT_heat_up,GSE184388,GPL24247,3.4224828,NA,115,25
Q_sig_WT_heat_up,GSE112741,GPL6246,3.41230615,NA,65,26
Q_sig_WT_heat_up,GSE184608,GPL19057,3.39526321,NA,103,27
Q_sig_WT_heat_up,GSE206630,GPL24247,3.39088316,NA,71,28
Q_sig_WT_heat_up,GSE196961,GPL17021,3.32986899,NA,88,29
Q_sig_WT_heat_up,GSE150420,GPL19057,3.28005945,NA,95,30
Q_sig_WT_heat_up,GSE234776,GPL17021,3.23323336,NA,78,31
Q_sig_WT_heat_up,GSE18547,GPL8321,3.22950402,NA,129,32
Q_sig_WT_heat_up,GSE89241,GPL13112,3.19340265,NA,106,33
Q_sig_WT_heat_up,GSE135315,GPL15103,3.19275354,NA,108,34
Q_sig_WT_heat_up,GSE156204,GPL17021,3.12475115,NA,81,35
Q_sig_WT_heat_up,GSE143504,GPL19057,3.11948729,NA,99,36
Q_sig_WT_heat_up,GSE213296,GPL13112,3.10855843,NA,102,37
Q_sig_WT_heat_up,GSE157813,GPL21103,3.08035284,NA,83,38
Q_sig_WT_heat_up,GSE223334,GPL24247,3.08003288,NA,84,39
Q_sig_WT_heat_up,GSE141054,GPL19057,3.07898703,NA,100,40
Q_sig_WT_heat_up,GSE125444,GPL13112,3.07652759,NA,87,41
Q_sig_WT_heat_up,GSE178347,GPL21626,3.06594348,NA,56,42
Q_sig_WT_heat_up,GSE178348,GPL21626,3.06594348,NA,56,43
Q_sig_WT_heat_up,GSE158109,GPL17021,3.03431121,NA,102,44
Q_sig_WT_heat_up,GSE186449,GPL21103,3.02650519,NA,75,45
Q_sig_WT_heat_up,GSE230515,GPL24247,3.02170772,NA,81,46
Q_sig_WT_heat_up,GSE57098,GPL11202,2.98375249,NA,85,47
Q_sig_WT_heat_up,GSE158375,GPL21273,2.97823921,NA,81,48
Q_sig_WT_heat_up,GSE218138,GPL24247,2.92547096,NA,89,49
Q_sig_WT_heat_up,GSE123805,GPL17021,2.92393572,NA,83,50
Q_sig_WT_heat_up,GSE156322,GPL24247,2.91109313,NA,125,51
Q_sig_WT_heat_up,GSE106463,GPL17021,2.88625411,NA,104,52
Q_sig_WT_heat_up,GSE150441,GPL19057,2.88411568,NA,64,53
Q_sig_WT_heat_up,GSE150442,GPL19057,2.88411568,NA,64,54
Q_sig_WT_heat_up,GSE166850,GPL23479,2.85911972,NA,114,55
Q_sig_WT_heat_up,GSE221997,GPL24247,2.85190659,NA,112,56
Q_sig_WT_heat_up,GSE222000,GPL24247,2.85190659,NA,112,57
Q_sig_WT_heat_up,GSE214348,GPL24247,2.84582531,NA,99,58
Q_sig_WT_heat_up,GSE123450,GPL19057,2.83733795,NA,107,59
Q_sig_WT_heat_up,GSE59896,GPL6246,2.83375591,NA,87,60
Q_sig_WT_heat_up,GSE96050,GPL13112,2.81781173,NA,79,61
Q_sig_WT_heat_up,GSE96076,GPL13112,2.81781173,NA,79,62
Q_sig_WT_heat_up,GSE55298,GPL1261,2.81672489,NA,87,63
Q_sig_WT_heat_up,GSE220876,GPL24247,2.8060596,NA,79,64
Q_sig_WT_heat_up,GSE63889,GPL13112,2.80077528,NA,75,65
Q_sig_WT_heat_up,GSE45675,GPL1261,2.7781953,NA,100,66
Q_sig_WT_heat_up,GSE123536,GPL13112,2.75740755,NA,101,67
Q_sig_WT_heat_up,GSE100886,GPL13112,2.69402286,NA,72,68
Q_sig_WT_heat_up,GSE137386,GPL24247,2.67401427,NA,71,69
Q_sig_WT_heat_up,GSE106927,GPL19057,2.6498322499999998,NA,95,70
Q_sig_WT_heat_up,GSE125443,GPL13112,2.63989348,NA,68,71
Q_sig_WT_heat_up,GSE131348,GPL13112,2.63558143,NA,83,72
Q_sig_WT_heat_up,GSE222002,GPL24247,2.62017627,NA,95,73
Q_sig_WT_heat_up,GSE152757,GPL24247,2.61841736,NA,66,74
Q_sig_WT_heat_up,GSE152961,GPL18480,2.6146217,NA,85,75
Q_sig_WT_heat_up,GSE101316,GPL21103,2.59695051,NA,78,76
Q_sig_WT_heat_up,GSE101383,GPL21103,2.59695051,NA,78,77
Q_sig_WT_heat_up,GSE244127,GPL21103,2.57492542,NA,77,78
Q_sig_WT_heat_up,GSE36551,GPL6246,2.56586345,NA,93,79
Q_sig_WT_heat_up,GSE120286,GPL1261,2.55427874,NA,82,80
Q_sig_WT_heat_up,GSE242878,GPL21273,2.54084634,NA,101,81
Q_sig_WT_heat_up,GSE41083,GPL1261,2.53768169,NA,103,82
Q_sig_WT_heat_up,GSE235805,GPL21103,2.53286138,NA,56,83
Q_sig_WT_heat_up,GSE240961,GPL23479,2.51698229,NA,83,84
Q_sig_WT_heat_up,GSE125268,GPL21493,2.51589275,NA,67,85
Q_sig_WT_heat_up,GSE95244,GPL23097,2.50600042,NA,97,86
Q_sig_WT_heat_up,GSE53145,GPL1261,2.4887171,NA,94,87
Q_sig_WT_heat_up,GSE163702,GPL17021,2.4695303,NA,106,88
