"contrast_a","contrast_b","direction","gate","n_a","n_b","n_intersect","jaccard"
"WT_heat","WT_heat","up","fdr_only",4207,4207,4207,1
"WT_heat","KO_heat","up","fdr_only",4207,4281,3425,0.676476397
"WT_heat","Interaction","up","fdr_only",4207,23,6,0.00142045455
"WT_heat","Geno_at_39","up","fdr_only",4207,59,15,0.00352858151
"WT_heat","Geno_at_37","up","fdr_only",4207,4,2,0.00047517225
"WT_heat","Temp_main","up","fdr_only",4207,5444,4102,0.739232294
"WT_heat","Geno_main","up","fdr_only",4207,56,15,0.00353107345
"KO_heat","WT_heat","up","fdr_only",4281,4207,3425,0.676476397
"KO_heat","KO_heat","up","fdr_only",4281,4281,4281,1
"KO_heat","Interaction","up","fdr_only",4281,23,0,0
"KO_heat","Geno_at_39","up","fdr_only",4281,59,1,0.00023046785
"KO_heat","Geno_at_37","up","fdr_only",4281,4,1,0.000233426704
"KO_heat","Temp_main","up","fdr_only",4281,5444,4174,0.751936588
"KO_heat","Geno_main","up","fdr_only",4281,56,2,0.000461361015
"Interaction","WT_heat","up","fdr_only",23,4207,6,0.00142045455
"Interaction","KO_heat","up","fdr_only",23,4281,0,0
"Interaction","Interaction","up","fdr_only",23,23,23,1
"Interaction","Geno_at_39","up","fdr_only",23,59,23,0.389830508
"Interaction","Geno_at_37","up","fdr_only",23,4,1,0.0384615385
"Interaction","Temp_main","up","fdr_only",23,5444,1,0.00018294914
"Interaction","Geno_main","up","fdr_only",23,56,23,0.410714286
"Geno_at_39","WT_heat","up","fdr_only",59,4207,15,0.00352858151
"Geno_at_39","KO_heat","up","fdr_only",59,4281,1,0.00023046785
"Geno_at_39","Interaction","up","fdr_only",59,23,23,0.389830508
"Geno_at_39","Geno_at_39","up","fdr_only",59,59,59,1
"Geno_at_39","Geno_at_37","up","fdr_only",59,4,4,0.0677966102
"Geno_at_39","Temp_main","up","fdr_only",59,5444,5,0.000909421608
"Geno_at_39","Geno_main","up","fdr_only",59,56,51,0.796875
"Geno_at_37","WT_heat","up","fdr_only",4,4207,2,0.00047517225
"Geno_at_37","KO_heat","up","fdr_only",4,4281,1,0.000233426704
"Geno_at_37","Interaction","up","fdr_only",4,23,1,0.0384615385
