matrix_symbol,current_symbol,entrez_id,resolution,mapped_after_normalisation,normalisation_source,org_mm_eg_db_version
0610010F05Rik,Sanbr,71675,accepted,TRUE,org.Mm.eg.db,3.22.0
1110008P14Rik,Bbln,73737,accepted,TRUE,org.Mm.eg.db,3.22.0
1110012L19Rik,Eola1,68618,accepted,TRUE,org.Mm.eg.db,3.22.0
1110051M20Rik,Cstpp1,228356,accepted,TRUE,org.Mm.eg.db,3.22.0
1300017J02Rik,Inhca,71775,accepted,FALSE,org.Mm.eg.db,3.22.0
1700007K13Rik,Pierce1,69327,accepted,TRUE,org.Mm.eg.db,3.22.0
1700012D14Rik,Zbed5-ps,75479,accepted,FALSE,org.Mm.eg.db,3.22.0
1700020D05Rik,Nscme3l,75555,accepted,TRUE,org.Mm.eg.db,3.22.0
1700023B13Rik,Dino,73279,accepted,FALSE,org.Mm.eg.db,3.22.0
1700034I23Rik,Fundc2b,73297,accepted,TRUE,org.Mm.eg.db,3.22.0
1700066B19Rik,Smim33,73449,accepted,TRUE,org.Mm.eg.db,3.22.0
1700092M07Rik,Tex54,74307,accepted,TRUE,org.Mm.eg.db,3.22.0
1700094D03Rik,Cfap141,73545,accepted,TRUE,org.Mm.eg.db,3.22.0
1810026B05Rik,Chaserr,69170,accepted,FALSE,org.Mm.eg.db,3.22.0
2010007H06Rik,Gm32819,102635498,accepted,FALSE,org.Mm.eg.db,3.22.0
2010300C02Rik,Cracdl,72097,accepted,TRUE,org.Mm.eg.db,3.22.0
2210010C04Rik,Prss3b,67373,accepted,FALSE,org.Mm.eg.db,3.22.0
2410131K14Rik,Spring1,76792,accepted,TRUE,org.Mm.eg.db,3.22.0
2610001J05Rik,Smim30,66520,accepted,TRUE,org.Mm.eg.db,3.22.0
2610002M06Rik,Chmp1b2,67028,accepted,TRUE,org.Mm.eg.db,3.22.0
2610044O15Rik8,Zfp1006,72139,accepted,FALSE,org.Mm.eg.db,3.22.0
2610301B20Rik,Cfap418,67157,accepted,TRUE,org.Mm.eg.db,3.22.0
2610507B11Rik,Bltp2,72503,accepted,TRUE,org.Mm.eg.db,3.22.0
2700046G09Rik,Sgms1os1,67188,accepted,FALSE,org.Mm.eg.db,3.22.0
2700081O15Rik,Zfta,108899,accepted,TRUE,org.Mm.eg.db,3.22.0
2810006K23Rik,Mtrfr,72650,accepted,TRUE,org.Mm.eg.db,3.22.0
2810410L24Rik,Reno1,100042332,accepted,FALSE,org.Mm.eg.db,3.22.0
4430402I18Rik,Spata6l,381218,accepted,TRUE,org.Mm.eg.db,3.22.0
