"label","family","n_used","med_terms_per_gene","mean_sim","sd_sim","q10_sim","q90_sim","best_sil","best_cfg","best_k","largest_cluster_frac"
"WT_heat_up","query",196,9,0.26878896,0.128017349,0.12083754,0.427426884,0.131988663,"average",2,0.994897959
"WT_heat_down","gate_sibling",99,4,0.230815357,0.155186324,0.0873992249,0.389319969,0.217025008,"ward.D2",11,0.212121212
"KO_heat_up","gate_sibling",215,8,0.262672137,0.130352654,0.117066274,0.415788415,0.127697743,"average",2,0.995348837
"HSR_core","curated_lens",47,10,0.364843808,0.1901468,0.185045704,0.544990909,0.213823131,"average",2,0.978723404
"TCR_activation","curated_lens",65,15,0.374014417,0.116048664,0.225375874,0.52464838,0.170023174,"average",2,0.953846154
"Lombardi2022_HIF","curated_lens",95,6,0.239711615,0.132520043,0.105360142,0.388981877,0.188353472,"ward.D2",15,0.178947368
"GO:0009408 response to heat [all 91]","single_go_term",91,16,0.359484151,0.140815913,0.231166993,0.487951822,0.14488754,"ward.D2",15,0.142857143
"GO:0006986 response to unfolded protein [all 109]","single_go_term",109,14,0.385077992,0.134018999,0.241546051,0.535130286,0.167045534,"average",2,0.990825688
"GO:0034976 response to endoplasmic reticulum stress [196 of 285, draw 1]","single_go_term",196,10,0.349781206,0.153902325,0.196814168,0.505710136,0.179735715,"average",2,0.994897959
"GO:0034976 response to endoplasmic reticulum stress [196 of 285, draw 2]","single_go_term",196,10,0.361508385,0.160175748,0.203605464,0.530386409,0.190228523,"average",2,0.994897959
"GO:0034976 response to endoplasmic reticulum stress [196 of 285, draw 3]","single_go_term",196,10.5,0.3569549,0.162239098,0.194517334,0.525978615,0.192435175,"complete",2,0.678571429
"GO:0034976 response to endoplasmic reticulum stress [196 of 285, draw 4]","single_go_term",196,10,0.360309092,0.15526282,0.203624391,0.522238015,0.174606537,"ward.D2",2,0.658163265
"GO:0034976 response to endoplasmic reticulum stress [196 of 285, draw 5]","single_go_term",196,10,0.351540047,0.147384363,0.2003843,0.506735151,0.178648496,"average",2,0.994897959
"GO:0001666 response to hypoxia [196 of 236, draw 1]","single_go_term",196,23,0.346237651,0.108009375,0.220639342,0.477057827,0.137809799,"average",2,0.913265306
"GO:0001666 response to hypoxia [196 of 236, draw 2]","single_go_term",196,24,0.350745877,0.110791587,0.219768591,0.486714245,0.144287134,"average",2,0.954081633
"GO:0001666 response to hypoxia [196 of 236, draw 3]","single_go_term",196,23.5,0.346981995,0.105640096,0.225824217,0.473568231,0.11780788,"average",2,0.994897959
"GO:0001666 response to hypoxia [196 of 236, draw 4]","single_go_term",196,22.5,0.344689225,0.110299843,0.216347258,0.478699771,0.135262238,"average",2,0.933673469
"GO:0001666 response to hypoxia [196 of 236, draw 5]","single_go_term",196,24,0.344090387,0.107566878,0.218579346,0.473007976,0.138716233,"average",2,0.933673469
"GO:0006954 inflammatory response [196 of 832, draw 1]","single_go_term",196,18.5,0.333175379,0.104872326,0.204573299,0.464576079,0.133608832,"average",2,0.87244898
"GO:0006954 inflammatory response [196 of 832, draw 2]","single_go_term",196,16,0.313071631,0.109793442,0.186554214,0.447132161,0.120438594,"average",2,0.964285714
"GO:0006954 inflammatory response [196 of 832, draw 3]","single_go_term",196,15.5,0.326825747,0.116896925,0.195877165,0.464816628,0.134308778,"average",2,0.979591837
"GO:0006954 inflammatory response [196 of 832, draw 4]","single_go_term",196,17.5,0.328911581,0.117839711,0.196585683,0.466384512,0.141910486,"average",2,0.994897959
"GO:0006954 inflammatory response [196 of 832, draw 5]","single_go_term",196,16,0.316877339,0.109497888,0.182815158,0.457287832,0.136869961,"average",2,0.989795918
"uniform_null_01","null_uniform",196,4.5,0.236262732,0.154018219,0.0920373126,0.391600395,0.207709909,"pam",14,0.183673469
"uniform_null_02","null_uniform",196,4,0.241112691,0.172269414,0.0897835754,0.390145959,0.22166221,"ward.D2",15,0.158163265
"uniform_null_03","null_uniform",196,3,0.226940274,0.164991538,0.0818991354,0.382591093,0.193558465,"ward.D2",15,0.142857143
"uniform_null_04","null_uniform",196,4,0.241837075,0.171988214,0.0813455889,0.387415721,0.231998226,"ward.D2",15,0.142857143
"uniform_null_05","null_uniform",196,3,0.227934531,0.159125057,0.0845733764,0.382591093,0.199931893,"ward.D2",15,0.137755102
"uniform_null_06","null_uniform",196,4,0.239857267,0.166425032,0.0836000332,0.395735748,0.218545817,"ward.D2",13,0.173469388
"uniform_null_07","null_uniform",196,4,0.242635718,0.164281387,0.0909889195,0.39098159,0.217966976,"ward.D2",15,0.137755102
"uniform_null_08","null_uniform",196,3,0.227547851,0.168224098,0.0825677986,0.382591093,0.229970641,"ward.D2",15,0.137755102
"uniform_null_09","null_uniform",196,4,0.244126665,0.175691166,0.0829216355,0.425045404,0.243358581,"pam",15,0.224489796
"uniform_null_10","null_uniform",196,4,0.239036138,0.175529593,0.0849465111,0.386792453,0.243418468,"ward.D2",15,0.158163265
"uniform_null_11","null_uniform",196,4,0.245977998,0.184278339,0.0824805319,0.422565678,0.255934315,"ward.D2",15,0.163265306
"uniform_null_12","null_uniform",196,5,0.241605548,0.159922947,0.0991032496,0.386792453,0.216830393,"ward.D2",15,0.132653061
"uniform_null_13","null_uniform",196,4,0.234542154,0.160080793,0.0869528794,0.38649933,0.213453886,"ward.D2",15,0.142857143
"uniform_null_14","null_uniform",196,4,0.24100363,0.165585705,0.0953569109,0.391317097,0.213631029,"ward.D2",15,0.147959184
"uniform_null_15","null_uniform",196,4,0.240789455,0.16752107,0.0917841525,0.391813385,0.235161717,"ward.D2",15,0.147959184
"uniform_null_16","null_uniform",196,3.5,0.236457714,0.15956216,0.0858313268,0.390582194,0.21920659,"ward.D2",15,0.168367347
"uniform_null_17","null_uniform",196,4,0.223098944,0.145454047,0.0882274118,0.382591093,0.183189316,"ward.D2",14,0.168367347
"uniform_null_18","null_uniform",196,3,0.235241663,0.16994789,0.086647366,0.382876492,0.21221658,"ward.D2",15,0.147959184
"uniform_null_19","null_uniform",196,4,0.251496917,0.171026112,0.0980046979,0.418258849,0.234752961,"ward.D2",15,0.147959184
"uniform_null_20","null_uniform",196,4,0.239265002,0.163558287,0.0822420261,0.401612954,0.189762147,"ward.D2",15,0.12244898
"matched_null_01","null_depth_matched",196,10,0.255081085,0.128171473,0.113059361,0.39777654,0.115061505,"ward.D2",15,0.153061224
"matched_null_02","null_depth_matched",196,9,0.265624448,0.138578715,0.119265919,0.418604651,0.143971874,"average",2,0.984693878
"matched_null_03","null_depth_matched",196,9,0.250963259,0.130750444,0.115588141,0.388684327,0.151634531,"average",2,0.994897959
"matched_null_04","null_depth_matched",196,9,0.244557183,0.124971451,0.103125068,0.395661176,0.137664353,"average",2,0.994897959
"matched_null_05","null_depth_matched",196,9.5,0.254910618,0.137786985,0.106736089,0.407964382,0.149075187,"average",2,0.994897959
"matched_null_06","null_depth_matched",196,9,0.264670796,0.142794045,0.112463282,0.412336881,0.149656505,"average",2,0.994897959
"matched_null_07","null_depth_matched",196,9.5,0.259509503,0.125871964,0.118454177,0.410963217,0.171658144,"average",2,0.994897959
"matched_null_08","null_depth_matched",196,9,0.261743158,0.141002624,0.114084578,0.416471832,0.143867988,"average",2,0.994897959
"matched_null_09","null_depth_matched",196,9,0.2447559,0.121692004,0.108951997,0.390363373,0.114261185,"average",2,0.989795918
"matched_null_10","null_depth_matched",196,9,0.268531919,0.137931141,0.113455569,0.412594874,0.165238839,"average",2,0.994897959
"matched_null_11","null_depth_matched",196,9,0.254642408,0.133020818,0.118043108,0.397525465,0.129745553,"average",2,0.984693878
"matched_null_12","null_depth_matched",196,9,0.261551515,0.140705998,0.115953734,0.404117382,0.157902705,"average",2,0.994897959
"matched_null_13","null_depth_matched",196,9,0.274073914,0.14993335,0.117030364,0.42291917,0.165768136,"average",2,0.959183673
"matched_null_14","null_depth_matched",196,9,0.254151214,0.124837352,0.114916688,0.403616244,0.129367229,"average",2,0.994897959
"matched_null_15","null_depth_matched",196,9,0.251884057,0.123976564,0.112704651,0.404375436,0.17456616,"average",2,0.994897959
"matched_null_16","null_depth_matched",196,10,0.258217812,0.132307917,0.118686368,0.404567661,0.14265872,"average",2,0.979591837
"matched_null_17","null_depth_matched",196,9,0.264130791,0.13161012,0.117533215,0.409339197,0.159437136,"average",2,0.994897959
"matched_null_18","null_depth_matched",196,9,0.260567041,0.12668351,0.118090502,0.409085883,0.1599636,"average",2,0.994897959
"matched_null_19","null_depth_matched",196,8,0.264054439,0.129797692,0.121695946,0.415158492,0.170299706,"average",2,0.994897959
"matched_null_20","null_depth_matched",196,9,0.250790906,0.121401518,0.113265845,0.396805651,0.164052561,"average",2,0.994897959
