"gene","lens","max_to_lens","mean_to_lens","nearest_lens_member","pct_uniform_background","pct_depth_matched_background","depth_band","n_background_in_band","band_saturated","counted","n_terms","is_lens_member"
"2010003K11Rik","HSR_core",1,0.442996246268487,"Hspa12a",0.91105527638191,0.824226804123711,"(0,3]",970,TRUE,FALSE,1,FALSE
"AA467197","HSR_core",1,0.236193743669225,"St13",0.91105527638191,0.824226804123711,"(0,3]",970,TRUE,FALSE,1,FALSE
"Actbl2","HSR_core",0.388901241964944,0.202535887920251,"Hspa12b",0.319095477386935,0.295876288659794,"(0,3]",970,TRUE,FALSE,2,FALSE
"Adam8","HSR_core",0.45128814218257,0.302004939899981,"Hspb1",0.496984924623116,0.264705882352941,"(32,50]",34,FALSE,TRUE,36,FALSE
"Adcy4","HSR_core",0.359979634144309,0.247315072213234,"Hspb1",0.221105527638191,0.348958333333333,"(3,6]",384,FALSE,TRUE,4,FALSE
"Adm","HSR_core",0.418718152277678,0.27178157833971,"Dnaja3",0.404020100502513,0.169811320754717,"(22,32]",53,FALSE,TRUE,30,FALSE
"Adora2a","HSR_core",0.400163525322955,0.268591017891553,"Dnaja3",0.347236180904523,0.117647058823529,"(32,50]",34,FALSE,TRUE,41,FALSE
"Adora2b","HSR_core",0.405046688955354,0.239806316700591,"Hspb1",0.360301507537688,0.247706422018349,"(15,22]",109,FALSE,TRUE,22,FALSE
"Ak4","HSR_core",0.440715442018399,0.198418427770808,"Hsbp1l1",0.474623115577889,0.692708333333333,"(3,6]",384,FALSE,TRUE,5,FALSE
"Aldh1a2","HSR_core",0.49373589100809,0.276150883586946,"Htra2",0.601507537688442,0.411764705882353,"(32,50]",34,FALSE,TRUE,40,FALSE
"Ankrd33b","HSR_core",1,0.442996246268487,"Hspa12a",0.91105527638191,0.824226804123711,"(0,3]",970,TRUE,FALSE,1,FALSE
"Ano1","HSR_core",0.866052293184741,0.30102970837991,"Hsbp1l1",0.80678391959799,0.985294117647059,"(10,15]",136,FALSE,TRUE,13,FALSE
"Anxa2","HSR_core",0.507042253521127,0.307663516389128,"Dnajc7",0.628643216080402,0.830275229357798,"(15,22]",109,FALSE,TRUE,22,FALSE
"Anxa3","HSR_core",0.372756557754257,0.250468892077132,"Dnajc7",0.261809045226131,0.42578125,"(3,6]",384,FALSE,TRUE,6,FALSE
"Aplp1","HSR_core",0.372235323884716,0.246959130124542,"Htra2",0.259798994974874,0.284090909090909,"(6,10]",264,FALSE,TRUE,8,FALSE
