"gene","mean_sim_to_set","n_terms"
"Zfp583",0.408143529419865,1
"Ccn1",0.357811281083461,35
"Trp73",0.356973710226438,28
"Tnfsf11",0.354806928110982,38
"Fosl1",0.353762988956314,15
"Egfr",0.350951410920508,69
"Irf6",0.346194410328843,17
"Yap1",0.346024358004404,59
"Csf2",0.345653319333565,25
"Sphk1",0.34340986807285,39
"Il1a",0.342639930843879,33
"Pdgfb",0.342620368166667,79
"Notch3",0.342094018916255,13
"Clu",0.341306477593379,44
"Cd40lg",0.340959340705882,26
"Atf3",0.339120840465127,15
"Inhba",0.338604410431943,46
"Nr4a3",0.337321542970262,40
"Epcam",0.336310258362406,10
"Dab2",0.336250530382632,44
"Fam83g",0.335740201734988,1
"Ccl3",0.335444667644218,46
"Itga3",0.334928800021249,25
"Nr4a2",0.332766248378612,31
"Gprin2",0.33151449566851,1
"Lta",0.330996891219248,15
"Epha2",0.329093254072848,45
"2010003K11Rik",0.328117070159265,1
"Ankrd33b",0.328117070159265,1
"Esyt3",0.328117070159265,1
"Gm867",0.328117070159265,1
"Mab21l3",0.328117070159265,1
"Oaf",0.328117070159265,1
"Pxdc1",0.328117070159265,1
"Sspo",0.328117070159265,1
"Tmem125",0.328117070159265,1
"Tmem205",0.328117070159265,1
"Eomes",0.32796721569889,31
"Plxnb2",0.32796412561437,21
"Il3",0.327874955983817,24
"Egr1",0.327383595450799,42
"Wnt3",0.327026027626391,29
"Hspa1a",0.32543188236195,35
"Hspg2",0.324716223661609,17
"Gdf6",0.324573170170275,14
"Pak1",0.324203606266495,43
"Fosl2",0.323744255802958,57
"Nppc",0.323380838419872,34
"Calca",0.322047959807069,38
"Bcl6b",0.320079501804255,7
"Npr3",0.319765537600362,18
"Adm",0.31973766713949,30
"Adam8",0.318818902558991,36
"Anxa2",0.318788751614083,22
"Aldh1a2",0.318300998766198,40
"Gfi1",0.317771852726809,18
"Hbegf",0.317581802564166,17
"Tgm2",0.316490263752972,27
"Fasl",0.312666083769078,21
"Cdkn1a",0.312577439679858,41
"Il2",0.312516408182038,27
"Serpine1",0.311697089211482,40
"Egr2",0.311056128731023,25
"Adora2a",0.308434035081042,41
"Hspa1b",0.308128733747673,24
"Plaur",0.3080192796678,11
"Areg",0.30779599875448,14
"Mst1r",0.307768511815899,6
"Ptgs2",0.307005951452555,47
"Nr4a1",0.305015210318317,21
"Il17f",0.304551558822058,17
"Epn2",0.304106428363225,8
"Egr3",0.301789891095651,12
"Ptpn5",0.300763717673867,10
"Kdm6b",0.300071305173105,11
