signature,gene_symbol,group,temperature,genotype,n_samples,mean_logcpm,sd_logcpm,se_logcpm,z_across_groups
WT_heat_up,Gja5,WT_37,37,WT,5,3.80184147,0.14606912,0.0653240965,-0.940152618
WT_heat_up,Gja5,WT_39,39,WT,5,5.60598921,0.0820077158,0.0366749654,0.840805426
WT_heat_up,Gja5,cGASKO_37,37,cGASKO,5,3.95572428,0.129606016,0.0579615726,-0.788247748
WT_heat_up,Gja5,cGASKO_39,39,cGASKO,5,5.65338796,0.0638816298,0.0285687333,0.88759494
WT_heat_up,Il1rn,WT_37,37,WT,5,4.11310403,0.225729353,0.100949235,-0.843715645
WT_heat_up,Il1rn,WT_39,39,WT,5,6.00118149,0.0545426587,0.0243922185,0.87562373
WT_heat_up,Il1rn,cGASKO_37,37,cGASKO,5,4.06447682,0.0986915653,0.0441362098,-0.887997026
WT_heat_up,Il1rn,cGASKO_39,39,cGASKO,5,5.97972954,0.0756771757,0.0338438619,0.856088941
WT_heat_up,Timp1,WT_37,37,WT,5,1.57173267,0.185439137,0.0829309031,-0.897029202
WT_heat_up,Timp1,WT_39,39,WT,5,3.70591864,0.110579279,0.0494525571,0.848264081
WT_heat_up,Timp1,cGASKO_37,37,cGASKO,5,1.64846572,0.101294754,0.0453003912,-0.834278502
WT_heat_up,Timp1,cGASKO_39,39,cGASKO,5,3.74844788,0.133809909,0.0598416107,0.88304362300000006
WT_heat_up,Sdc1,WT_37,37,WT,5,2.6694759,0.145391867,0.0650212194,-0.872066252
WT_heat_up,Sdc1,WT_39,39,WT,5,4.1626396,0.0255832484,0.0114411765,0.886605979
WT_heat_up,Sdc1,cGASKO_37,37,cGASKO,5,2.67996268,0.0861040446,0.0385068994,-0.859714755
WT_heat_up,Sdc1,cGASKO_39,39,cGASKO,5,4.12746352,0.0870782429,0.0389425741,0.845175029
WT_heat_up,Hsph1,WT_37,37,WT,5,6.90531627,0.112283297,0.0502146172,-0.767603566
WT_heat_up,Hsph1,WT_39,39,WT,5,7.92916312,0.0853360043,0.0381634213,0.876373021
WT_heat_up,Hsph1,cGASKO_37,37,cGASKO,5,6.78608576,0.0228949313,0.0102389245,-0.959050328
WT_heat_up,Hsph1,cGASKO_39,39,cGASKO,5,7.91291328,0.0786131276,0.0351568594,0.850280873
WT_heat_up,Fam83g,WT_37,37,WT,5,3.69402446,0.0695849166,0.0311193207,-0.801661807
WT_heat_up,Fam83g,WT_39,39,WT,5,5.3175331,0.202298471,0.0904706265,0.884632166
WT_heat_up,Fam83g,cGASKO_37,37,cGASKO,5,3.57252454,0.163897562,0.0732972181,-0.92786045
WT_heat_up,Fam83g,cGASKO_39,39,cGASKO,5,5.27927073,0.0836255501,0.0373984829,0.84489009
WT_heat_up,Gap43,WT_37,37,WT,5,4.6682076,0.262214727,0.117265991,-0.885664441
WT_heat_up,Gap43,WT_39,39,WT,5,6.56248162,0.129458302,0.0578955127,0.814873376
WT_heat_up,Gap43,cGASKO_37,37,cGASKO,5,4.71385863,0.0734952083,0.0328680563,-0.844682359
WT_heat_up,Gap43,cGASKO_39,39,cGASKO,5,6.67454267,0.0496271667,0.0221939437,0.915473424
WT_heat_up,Plek2,WT_37,37,WT,5,0.859123345,0.166538308,0.0744781956,-0.784598631
WT_heat_up,Plek2,WT_39,39,WT,5,2.71149842,0.0957632244,0.0428266159,0.796818564
WT_heat_up,Plek2,cGASKO_37,37,cGASKO,5,0.675494789,0.180669238,0.0807977394,-0.94136675
WT_heat_up,Plek2,cGASKO_39,39,cGASKO,5,2.86649962,0.0779540645,0.0348621175,0.929146816
WT_heat_up,C3,WT_37,37,WT,5,2.80869123,0.0296095364,0.0132417872,-0.904944715
WT_heat_up,C3,WT_39,39,WT,5,4.47559519,0.163041473,0.0729143634,0.886459514
WT_heat_up,C3,cGASKO_37,37,cGASKO,5,2.88219581,0.146580544,0.0655528123,-0.825950115
WT_heat_up,C3,cGASKO_39,39,cGASKO,5,4.43649162,0.224612211,0.100449635,0.844435315
WT_heat_up,Plek,WT_37,37,WT,5,5.7571942,0.150818347,0.0674480153,-0.849510786
WT_heat_up,Plek,WT_39,39,WT,5,6.91250123,0.094638219,0.0423234982,0.922034295
WT_heat_up,Plek,cGASKO_37,37,cGASKO,5,5.73696964,0.0685165008,0.0306415107,-0.880523075
WT_heat_up,Plek,cGASKO_39,39,cGASKO,5,6.83813387,0.0946215888,0.042316061,0.807999566
WT_heat_up,Crabp2,WT_37,37,WT,5,4.21772784,0.183211274,0.0819345726,-0.781231454
WT_heat_up,Crabp2,WT_39,39,WT,5,5.75863167,0.137058411,0.0612943846,0.874466576
WT_heat_up,Crabp2,cGASKO_37,37,cGASKO,5,4.06364318,0.136747007,0.0611551206,-0.946795107
WT_heat_up,Crabp2,cGASKO_39,39,cGASKO,5,5.73917459,0.101665868,0.0454663582,0.853559985
WT_heat_up,Ophn1,WT_37,37,WT,5,1.07344398,0.191819219,0.0857841624,-0.859398872
WT_heat_up,Ophn1,WT_39,39,WT,5,2.92304243,0.205457221,0.091883262499999993,0.935089934
WT_heat_up,Ophn1,cGASKO_37,37,cGASKO,5,1.0627608,0.07427,0.0332145538,-0.869763743
