signature,gene_symbol,source_contrast,gate,logFC,t,adj_P_Val,rank_within_signature,human_symbol,mapping_type,mapped_to_human
WT_heat_up,Gja5,WT_heat,fdr_logfc,1.80414773,29.281472,4.3442333e-19,1,GJA5,one2one,TRUE
WT_heat_up,Il1rn,WT_heat,fdr_logfc,1.88807746,25.3819625,3.85019562e-15,2,IL1RN,one2one,TRUE
WT_heat_up,Timp1,WT_heat,fdr_logfc,2.13418596,24.92499,1.0585101399999999e-17,3,TIMP1,one2one,TRUE
WT_heat_up,Sdc1,WT_heat,fdr_logfc,1.4931637,22.8929997,9.26684149e-17,4,SDC1,one2one,TRUE
WT_heat_up,Hsph1,WT_heat,fdr_logfc,1.02384685,22.7729697,4.98867215e-16,5,HSPH1,one2one,TRUE
WT_heat_up,Fam83g,WT_heat,fdr_logfc,1.62350864,20.740017,1.64888161e-14,6,FAM83G,one2one,TRUE
WT_heat_up,Gap43,WT_heat,fdr_logfc,1.89427402,20.3581775,1.0499846e-11,7,GAP43,one2one,TRUE
WT_heat_up,Plek2,WT_heat,fdr_logfc,1.85237508,19.4931247,2.3655634600000003e-15,8,PLEK2,one2one,TRUE
WT_heat_up,C3,WT_heat,fdr_logfc,1.66690396,19.1710302,8.856862690000001e-15,9,C3,one2one,TRUE
WT_heat_up,Plek,WT_heat,fdr_logfc,1.15530703,19.1630411,4.7024711e-13,10,PLEK,one2one,TRUE
WT_heat_up,Crabp2,WT_heat,fdr_logfc,1.54090383,18.7732146,1.94514729e-12,11,CRABP2,one2one,TRUE
WT_heat_up,Ophn1,WT_heat,fdr_logfc,1.84959845,17.9501728,1.1954099e-14,12,OPHN1,one2one,TRUE
WT_heat_up,Idi2,WT_heat,fdr_logfc,1.98855539,17.7332953,9.70588999e-12,13,IDI2,many2one,TRUE
WT_heat_up,Fah,WT_heat,fdr_logfc,1.25260085,17.0403144,3.90061305e-14,14,FAH,one2one,TRUE
WT_heat_up,Itga3,WT_heat,fdr_logfc,1.76789721,16.7832586,1.63956854e-10,15,ITGA3,one2one,TRUE
WT_heat_up,Ttc39c,WT_heat,fdr_logfc,1.24990735,16.6888195,5.20029996e-13,16,TTC39C,one2one,TRUE
WT_heat_up,Rpl10a-ps2,WT_heat,fdr_logfc,2.03682742,16.6281416,6.69020579e-14,17,NA,NA,FALSE
WT_heat_up,Slc4a11,WT_heat,fdr_logfc,1.33679051,16.5672892,2.01413802e-10,18,SLC4A11,one2one,TRUE
WT_heat_up,Il17f,WT_heat,fdr_logfc,1.61508516,16.2324957,1.00502834e-11,19,IL17F,one2one,TRUE
WT_heat_up,Epcam,WT_heat,fdr_logfc,1.13042729,16.2298958,6.67096177e-12,20,EPCAM,one2one,TRUE
WT_heat_up,Klrc1,WT_heat,fdr_logfc,1.32088664,16.1326895,3.53139476e-13,21,KLRC1,many2one,TRUE
WT_heat_up,Adora2a,WT_heat,fdr_logfc,1.15534483,16.0540334,3.88457859e-13,22,ADORA2A,one2one,TRUE
WT_heat_up,B3gnt5,WT_heat,fdr_logfc,1.08927805,15.9705185,4.4732976e-12,23,B3GNT5,one2one,TRUE
WT_heat_up,Ptpn5,WT_heat,fdr_logfc,1.15918281,15.9470768,3.97256534e-13,24,PTPN5,one2one,TRUE
WT_heat_up,Upp1,WT_heat,fdr_logfc,1.47522041,15.6588216,7.64981491e-12,25,UPP1,one2one,TRUE
WT_heat_up,Spp1,WT_heat,fdr_logfc,1.44437934,15.3649512,4.6933634e-10,26,SPP1,one2one,TRUE
WT_heat_up,Plk2,WT_heat,fdr_logfc,1.92048312,15.2155896,8.94835408e-10,27,PLK2,one2one,TRUE
WT_heat_up,Gm9745,WT_heat,fdr_logfc,1.97698543,15.186698,9.18958795e-13,28,IDI2,many2one,TRUE
WT_heat_up,Lta,WT_heat,fdr_logfc,1.2689511,15.1206149,1.46279852e-9,29,LTA,one2one,TRUE
WT_heat_up,Tanc2,WT_heat,fdr_logfc,1.10511958,14.8990566,5.75047675e-13,30,TANC2,one2one,TRUE
WT_heat_up,Ptger2,WT_heat,fdr_logfc,1.3007786,14.8694943,1.78444752e-10,31,PTGER2,one2one,TRUE
WT_heat_up,Dennd3,WT_heat,fdr_logfc,1.0739745,14.8657713,5.91245082e-13,32,DENND3,one2one,TRUE
WT_heat_up,Pik3ap1,WT_heat,fdr_logfc,1.13003874,14.780039,9.05402726e-12,33,PIK3AP1,one2one,TRUE
