"ID","term_size","k_obs","p_obs_recomputed","q_obs_recomputed","k_null_matched_mean","k_null_matched_q95","p_matched","frac_matched_reaching_q","k_null_uniform_mean","p_uniform","frac_uniform_reaching_q","arm","ontology","iea_variant","Description","p_adjust_hypergeometric","simplify_kept"
"GO:0001525",407,30,1.45118800533904e-12,2.44307500698828e-09,13.506,19,0.000499750124937531,0.3665,6.0885,0.000499750124937531,0,"WT_heat_up","BP","with_iea","angiogenesis",2.44307500698828e-09,TRUE
"GO:0048514",463,32,1.36261031717168e-12,2.44307500698828e-09,15.6485,21,0.000499750124937531,0.4705,6.9615,0.000499750124937531,0,"WT_heat_up","BP","with_iea","blood vessel morphogenesis",2.44307500698828e-09,FALSE
"GO:0001819",415,26,1.79115310126022e-09,1.24690889685849e-06,15.886,22,0.00449775112443778,0.6275,6.265,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of cytokine production",1.24690889685849e-06,TRUE
"GO:0006935",330,23,2.22199387619571e-09,1.24690889685849e-06,10.9225,16,0.000499750124937531,0.281,4.9545,0.000499750124937531,0,"WT_heat_up","BP","with_iea","chemotaxis",1.24690889685849e-06,TRUE
"GO:0030335",441,27,1.3981686383365e-09,1.24690889685849e-06,16.2615,22,0.00349825087456272,0.5855,6.5925,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of cell migration",1.24690889685849e-06,TRUE
"GO:0042330",330,23,2.22199387619571e-09,1.24690889685849e-06,10.9225,16,0.000499750124937531,0.281,4.9545,0.000499750124937531,0,"WT_heat_up","BP","with_iea","taxis",1.24690889685849e-06,FALSE
"GO:2000147",455,27,2.76000736008335e-09,1.32756354020009e-06,16.6305,22.05,0.00399800099950025,0.595,6.7995,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of cell motility",1.32756354020009e-06,FALSE
"GO:0040017",465,27,4.41143722142137e-09,1.85666364056572e-06,16.9525,23,0.00449775112443778,0.6055,6.964,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of locomotion",1.85666364056572e-06,TRUE
"GO:0045765",222,18,1.3460379915233e-08,5.03567768606549e-06,7.939,12,0.000499750124937531,0.244122061030515,3.3105,0.000499750124937531,0,"WT_heat_up","BP","with_iea","regulation of angiogenesis",5.03567768606549e-06,FALSE
"GO:1901342",227,18,1.90652932230485e-08,6.41928422820042e-06,8.157,13,0.000499750124937531,0.249124562281141,3.393,0.000499750124937531,0,"WT_heat_up","BP","with_iea","regulation of vasculature development",6.41928422820042e-06,FALSE
