"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","arm","ontology","iea_variant","n_query_annotated","n_universe_annotated","term_size","fold_enrichment","simplify_kept","cluster_id","cluster_size","cluster_representative","k_null_matched_mean","k_null_matched_q95","p_matched","frac_matched_reaching_q","k_null_uniform_mean","p_uniform","frac_uniform_reaching_q"
"GO:0008284","positive regulation of cell population proliferation","32/186","480/11390",0.0666666666666667,4.08243727598566,8.89027530304014,8.09709083578355e-12,2.14977761690053e-08,1.73533441491108e-08,"AREG/CCN1/CD40LG/CD70/CD80/CDKN1A/CSF2/EGFR/EGR1/EGR3/EPCAM/F3/FOSL1/GPR183/HBEGF/IL1A/IL2/IL23A/IL3/IL9/LAMC2/MST1R/NR4A1/NR4A3/PAK1/PDGFB/S1PR3/SPHK1/TGM1/TIMP1/TNFSF9/YAP1",32,"WT_heat_up","BP","no_iea",186,11390,480,4.08243727598566,TRUE,1,24,"positive regulation of cell population proliferation",NA,NA,NA,NA,NA,NA,NA
"GO:0001944","vasculature development","27/186","381/11390",0.0708661417322835,4.33959867919736,8.54270778743523,1.06623619930962e-10,1.41542855458352e-07,1.14255626410231e-07,"ADAM8/ADM/ANXA2/ANXA3/ATP2B4/BCAM/CALCA/CTH/EGR1/EGR3/EMILIN2/EPHA2/EPN2/F3/FASLG/GJA5/HK2/HSPG2/IL17F/IL1A/NR4A1/PDGFB/PTGS2/SERPINE1/SPHK1/STRA6/TGM2",27,"WT_heat_up","BP","no_iea",186,11390,381,4.33959867919736,TRUE,2,25,"vasculature development",NA,NA,NA,NA,NA,NA,NA
"GO:0035295","tube development","29/186","455/11390",0.0637362637362637,3.90298948363464,8.14243847555226,2.55169928327406e-10,2.25825386569754e-07,1.82289815464771e-07,"ADAM8/ADM/ALDH1A2/ANXA2/ANXA3/ATP2B4/BCAM/EGR3/EMILIN2/EPHA2/EPN2/F3/FASLG/GJA5/HK2/HSPG2/IL17F/IL1A/ITGA3/NR4A1/PAK1/PDGFB/PLXNB2/PTGS2/SERPINE1/SPHK1/STRA6/TGM2/TP73",29,"WT_heat_up","BP","no_iea",186,11390,455,3.90298948363464,TRUE,2,25,"vasculature development",NA,NA,NA,NA,NA,NA,NA
"GO:0001568","blood vessel development","25/186","360/11390",0.0694444444444444,4.25253882915173,8.07976449933529,8.57107914968983e-10,5.68905378560662e-07,4.59229398651802e-07,"ADAM8/ADM/ANXA2/ANXA3/ATP2B4/BCAM/EGR1/EGR3/EMILIN2/EPHA2/EPN2/F3/FASLG/GJA5/HK2/HSPG2/IL17F/IL1A/NR4A1/PDGFB/PTGS2/SERPINE1/SPHK1/STRA6/TGM2",25,"WT_heat_up","BP","no_iea",186,11390,360,4.25253882915173,FALSE,2,25,"vasculature development",NA,NA,NA,NA,NA,NA,NA
"GO:0006954","inflammatory response","29/186","485/11390",0.0597938144329897,3.6615674537191,7.71806141544124,1.13632558297889e-09,5.78302104301078e-07,4.66814583945682e-07,"ADAM8/ADM/ADORA2A/BCL6B/CAMK2N1/CCL20/CCL22/CCL3/CCL4/CD200/CD40LG/CLU/DAGLA/F3/HSPG2/IL1A/IL1RN/IL2/IL23A/IL9/PIK3AP1/PLA2G4C/PLK2/PTGER2/PTGS2/S1PR3/SERPINE1/SPHK1/TNFSF11",29,"WT_heat_up","BP","no_iea",186,11390,485,3.6615674537191,TRUE,3,19,"inflammatory response",NA,NA,NA,NA,NA,NA,NA
"GO:0048514","blood vessel morphogenesis","24/186","339/11390",0.0707964601769911,4.33533162051575,8.03250119726311,1.30689741084989e-09,5.78302104301078e-07,4.66814583945682e-07,"ADAM8/ADM/ANXA2/ANXA3/ATP2B4/BCAM/EGR3/EMILIN2/EPHA2/EPN2/F3/FASLG/GJA5/HK2/HSPG2/IL17F/IL1A/NR4A1/PDGFB/PTGS2/SERPINE1/SPHK1/STRA6/TGM2",24,"WT_heat_up","BP","no_iea",186,11390,339,4.33533162051575,FALSE,2,25,"vasculature development",NA,NA,NA,NA,NA,NA,NA
"GO:0035239","tube morphogenesis","26/186","413/11390",0.062953995157385,3.85508604754094,7.61491594602587,3.09953791337142e-09,1.17561045142873e-06,9.48971307011159e-07,"ADAM8/ADM/ANXA2/ANXA3/ATP2B4/BCAM/EGR3/EMILIN2/EPHA2/EPN2/F3/FASLG/GJA5/HK2/HSPG2/IL17F/IL1A/NR4A1/PAK1/PDGFB/PLXNB2/PTGS2/SERPINE1/SPHK1/STRA6/TGM2",26,"WT_heat_up","BP","no_iea",186,11390,413,3.85508604754094,FALSE,2,25,"vasculature development",NA,NA,NA,NA,NA,NA,NA
"GO:0001525","angiogenesis","22/186","311/11390",0.0707395498392283,4.33184662725167,7.67587039948078,6.83897540970375e-09,2.26968496409543e-06,1.83212551765221e-06,"ADAM8/ANXA2/ANXA3/ATP2B4/BCAM/EGR3/EMILIN2/EPHA2/EPN2/F3/FASLG/GJA5/HK2/HSPG2/IL17F/IL1A/NR4A1/PDGFB/PTGS2/SERPINE1/SPHK1/TGM2",22,"WT_heat_up","BP","no_iea",186,11390,311,4.33184662725167,FALSE,2,25,"vasculature development",NA,NA,NA,NA,NA,NA,NA
"GO:0001819","positive regulation of cytokine production","23/186","349/11390",0.0659025787965616,4.03564716393998,7.42117236634779,1.16284722171528e-08,3.43039930406009e-06,2.76907244843546e-06,"ADAM8/C3/CALCA/CCL3/CD200/CD40LG/CD80/CLU/CSF2/EGR1/F3/HSPA1A/IL17F/IL1A/IL2/IL23A/IL9/NR4A3/OAS3/PTGS2/SERPINE1/SPHK1/UAP1",23,"WT_heat_up","BP","no_iea",186,11390,349,4.03564716393998,TRUE,4,10,"positive regulation of cytokine production",NA,NA,NA,NA,NA,NA,NA
"GO:0006935","chemotaxis","19/186","264/11390",0.071969696969697,4.40717660475725,7.21671906324228,5.94740699749577e-08,1.43548777985011e-05,1.15874838726329e-05,"ADAM8/C3/CALCA/CCL20/CCL22/CCL3/CCL4/EGR3/EPHA2/F3/FOSL1/GPR183/HBEGF/NR4A1/PDGFB/PLAUR/SEMA4A/SERPINE1/TNFSF11",19,"WT_heat_up","BP","no_iea",186,11390,264,4.40717660475725,TRUE,5,2,"chemotaxis",NA,NA,NA,NA,NA,NA,NA
